Date,NTAP
2015-01-05,-0.03400939012323745
2015-01-06,-0.0089885404194332
2015-01-07,0.00518654025680898
2015-01-08,0.020639867478082552
2015-01-09,0.0024658533530153015
2015-01-12,-0.019188709795380343
2015-01-13,-0.013794387356848792
2015-01-14,-0.01093591015602935
2015-01-15,-0.01105682661854046
2015-01-16,0.0075405994930031195
2015-01-20,-0.005677732808506697
2015-01-21,-0.000519245862431239
2015-01-22,0.029862675890143242
2015-01-23,-0.0045389948742469155
2015-01-26,-0.01469068481646385
2015-01-27,-0.02133737234496602
2015-01-28,-0.0015754488456246607
2015-01-29,0.0013155133957742926
2015-01-30,-0.0068311983725865
2015-02-02,0.012962887089322361
2015-02-03,0.025332654267030463
2015-02-04,-0.008660131765614976
2015-02-05,-0.0033398387844049138
2015-02-06,0.002062227044733689
2015-02-09,-0.0005146398840401023
2015-02-10,0.015186425174528617
2015-02-11,0.008874461689434288
2015-02-12,-0.07263126764504824
2015-02-13,0.0357725213156761
2015-02-17,-0.011250326224346185
2015-02-18,0.0002642784312627544
2015-02-19,0.0013224921952739166
2015-02-20,0.009247586861697021
2015-02-23,0.008114542729495744
2015-02-24,0.0015584175431404557
2015-02-25,0.0012965421947856992
2015-02-26,0.0007765053866353178
2015-02-27,0.0
2015-03-02,-0.001811041361022836
2015-03-03,-0.014256589569593636
2015-03-04,-0.006047382170655702
2015-03-05,0.019841071705464897
2015-03-06,-0.00907863297911815
2015-03-09,0.006282363299625615
2015-03-10,-0.01300778114265888
2015-03-11,-0.003162415330065449
2015-03-12,-0.010840716805876172
2015-03-13,-0.015771382247261267
2015-03-16,0.009234157517276076
2015-03-17,-0.010226245411128376
2015-03-18,0.014138278160759299
2015-03-19,-0.016085913475858526
2015-03-20,0.016894037959887198
2015-03-23,-0.018220946599468935
2015-03-24,-0.021561155439105417
2015-03-25,-0.0030684065254218407
2015-03-26,-0.005316205104025085
2015-03-27,-0.012658203023770187
2015-03-30,0.007977335584811618
2015-03-31,0.0022614115140493496
2015-04-01,-0.00535846194896572
2015-04-02,0.010207066839259982
2015-04-06,0.011226672421282613
2015-04-07,-0.006106222100655367
2015-04-08,0.004909413269940988
2015-04-09,-0.002233305218379833
2015-04-10,-0.007554492824799031
2015-04-13,-0.0016917335919625076
2015-04-14,0.012990909869740275
2015-04-15,0.023975337923063167
2015-04-16,-0.010073391320871039
2015-04-17,-0.010726186945445693
2015-04-20,0.0005561185337956687
2015-04-21,0.00027773255642582484
2015-04-22,0.003888897341633335
2015-04-23,0.004150686573649587
2015-04-24,-0.004684744268077634
2015-04-27,0.006921550613427252
2015-04-28,0.006323765365530809
2015-04-29,0.0054648509140102774
2015-04-30,-0.014946002096985045
2015-05-01,0.012137918699395955
2015-05-04,0.0005453404699777842
2015-05-05,-0.021792412455341803
2015-05-06,-0.014481029495226228
2015-05-07,0.005086604711664444
2015-05-08,0.00224893139874327
2015-05-11,-0.0193550033193175
2015-05-12,-0.0028602158053916416
2015-05-13,0.01262183053620003
2015-05-14,0.018696793592647643
2015-05-15,-0.015572686770752964
2015-05-18,-0.016949597538687633
2015-05-19,0.015804622157408854
2015-05-20,-0.0005655218716600352
2015-05-21,-0.10076418817265631
2015-05-22,0.04312248732026536
2015-05-26,-0.0175013542113599
2015-05-27,0.014127857640678698
2015-05-28,0.007267971528886807
2015-05-29,0.004209418907339613
2015-06-01,-0.007185728630627275
2015-06-02,0.0054281532992708215
2015-06-03,-0.00299919454026909
2015-06-04,0.018952772227027292
2015-06-05,0.0020670598773417925
2015-06-08,-0.02298190416484258
2015-06-09,-0.0018092847768047537
2015-06-10,0.013292886402383797
2015-06-11,0.00417405589936215
2015-06-12,-0.005938350565124595
2015-06-15,0.0020909905888397695
2015-06-16,0.0
2015-06-17,0.0068555973416222216
2015-06-18,-0.0002960494892026988
2015-06-19,0.004738194567325271
2015-06-22,0.013556972923965072
2015-06-23,0.00465255623577443
2015-06-24,-0.03965264374750499
2015-06-25,-0.015973538085202743
2015-06-26,-0.008882042171330151
2015-06-29,-0.0210136851733832
2015-06-30,-0.00378769713099647
2015-07-01,0.0009505442148343146
2015-07-02,-0.0028492384430335305
2015-07-06,-0.006349007273745211
2015-07-07,0.009584639238416903
2015-07-08,-0.026098095231521845
2015-07-09,-0.008169992014269267
2015-07-10,0.00823729061279499
2015-07-13,0.01013074822012272
2015-07-14,-0.0006472165264563845
2015-07-15,0.008093531421459854
2015-07-16,0.002568794793655904
2015-07-17,-0.0025622129942560745
2015-07-20,-0.0064227783565348195
2015-07-21,-0.0016161539248223944
2015-07-22,0.008417109931730282
2015-07-23,0.00802573856446176
2015-07-24,-0.009554002658969107
2015-07-27,-0.009646558312589204
2015-07-28,0.0048702604073112
2015-07-29,0.0003228715261949233
2015-07-30,0.01970273568182712
2015-07-31,-0.013303504241746755
2015-08-03,-0.014767412754664977
2015-08-04,-0.003584245507768924
2015-08-05,0.00948341651200768
2015-08-06,-0.005830980361164251
2015-08-07,-0.005539011120178516
2015-08-10,0.03210989765909278
2015-08-11,-0.02507941219291554
2015-08-12,0.009117796385958554
2015-08-13,-0.011939255723492637
2015-08-14,0.0042453014687975354
2015-08-17,-0.0068292112166878916
2015-08-18,-0.008513491704860932
2015-08-19,-0.016512586090965176
2015-08-20,0.033579824697943295
2015-08-21,-0.01851885211363058
2015-08-24,-0.01125428434082143
2015-08-25,-0.026782533539940312
2015-08-26,0.05194318248961771
2015-08-27,0.026487888255568803
2015-08-28,0.007327528578704001
2015-08-31,0.010752818065233205
2015-09-01,-0.03128955337814521
