Date,EXPD
2015-01-05,-0.031067148637168973
2015-01-06,-0.01138462575533894
2015-01-07,0.00023505677149882054
2015-01-08,0.027255352521805554
2015-01-09,-0.005946827647336672
2015-01-12,0.0034516227885323936
2015-01-13,0.0029811634833623035
2015-01-14,-0.0054872817037365795
2015-01-15,-0.00735634234413951
2015-01-16,0.004400007892935376
2015-01-20,0.004150523029171627
2015-01-21,-0.0018366731434160677
2015-01-22,0.029675348198766605
2015-01-23,-0.010500439434092068
2015-01-26,0.021449362350650425
2015-01-27,-0.010609917663322421
2015-01-28,-0.009606830708394298
2015-01-29,0.00541395617304552
2015-01-30,-0.019968681537430033
2015-02-02,0.008012756228689799
2015-02-03,0.006359468187574935
2015-02-04,-0.005416301107922794
2015-02-05,0.01679138975899419
2015-02-06,0.0051329556424482
2015-02-09,-0.007548938003131611
2015-02-10,0.0064877988795055686
2015-02-11,0.0020002919439494615
2015-02-12,0.005323689531537612
2015-02-13,0.01081226430575044
2015-02-17,0.0010914557509265066
2015-02-18,-0.005669515414355342
2015-02-19,0.0002192389667368122
2015-02-20,-0.002192675517266096
2015-02-23,-0.0008785943182185729
2015-02-24,0.05300196514628097
2015-02-25,0.005847923330614124
2015-02-26,0.013081396931297729
2015-02-27,-0.010043281622679756
2015-03-02,-0.001035007516718367
2015-03-03,-0.0035233597930194316
2015-03-04,-0.0018718286740124768
2015-03-05,-0.00041673188060797894
2015-03-06,-0.006462720239478914
2015-03-09,0.0035672528934767023
2015-03-10,-0.012962634597129652
2015-03-11,0.00783742579990232
2015-03-12,0.014291620504923719
2015-03-13,-0.004558676229233227
2015-03-16,0.0203997936063256
2015-03-17,-0.0063241115879590915
2015-03-18,0.010059598882655507
2015-03-19,-0.0067073694385338944
2015-03-20,0.008185183072468849
2015-03-23,-0.002232612999705119
2015-03-24,0.0032545985414436096
2015-03-25,-0.02331692309709521
2015-03-26,-0.002283505550204734
2015-03-27,-0.0018728798273023317
2015-03-30,0.009797600838875598
2015-03-31,-0.005367097276247734
2015-04-01,-0.0066419584626837835
2015-04-02,-0.01713323867109262
2015-04-06,-0.0027635083877323163
2015-04-07,-0.007247917084268196
2015-04-08,0.0015028946531647769
2015-04-09,0.0
2015-04-10,0.0049312744089275995
2015-04-13,-0.003413614221040251
2015-04-14,0.0021411325224363065
2015-04-15,-0.002563794767230121
2015-04-16,-0.00621118593690928
2015-04-17,-0.017241333849380203
2015-04-20,0.021272120689518115
2015-04-21,0.007515223868721721
2015-04-22,-0.006393624553544641
2015-04-23,0.0010721173478784873
2015-04-24,-0.004499306243434642
2015-04-27,-0.0017219159773845805
2015-04-28,0.005605762018289218
2015-04-29,-0.010077180154573928
2015-04-30,-0.007363991584009577
2015-05-01,0.013528221692977516
2015-05-04,0.011840686077613016
2015-05-05,-0.006170311034026987
2015-05-06,0.029972300635623395
2015-05-07,-0.0004157832332550848
2015-05-08,-0.0004158653210571961
2015-05-11,-0.002704476434341463
2015-05-12,-0.004588740950871806
2015-05-13,-0.014249963671877253
2015-05-14,0.01126683976639442
2015-05-15,0.002732902983551444
2015-05-18,0.005241230623399318
2015-05-19,-0.010219221412788526
2015-05-20,-0.004003210154355008
2015-05-21,0.0
2015-05-22,-0.009731195314310437
2015-05-26,-0.006409206885150898
2015-05-27,0.010105441715446695
2015-05-28,-0.013727953958033612
2015-05-29,-0.0030447002393739764
2015-06-01,0.011125571684786228
2015-06-02,0.003451840053674271
2015-06-03,0.03891639071612896
2015-06-04,-0.015728465158692084
2015-06-05,0.00820031797690901
2015-06-08,-0.024191882783713203
2015-06-09,0.0
2015-06-10,0.015601690943068292
2015-06-11,0.016413890490239558
2015-06-12,-0.004140623190542092
2015-06-15,-0.002910505494236104
2015-06-16,-0.005212922007327592
2015-06-17,0.0020961864674418074
2015-06-18,0.012758765796208715
2015-06-19,-0.007848079660695007
2015-06-22,0.006869401050939139
2015-06-23,-0.009303366258104018
2015-06-24,-0.01836388234693731
2015-06-25,-0.003826415744790035
2015-06-26,0.002347491039144556
2015-06-29,-0.022993628615261663
2015-06-30,0.0047940340741323695
2015-07-01,0.004120813115360944
2015-07-02,-0.0028078883842125313
2015-07-06,-0.01776074111667114
2015-07-07,-0.00022038374690425133
2015-07-08,-0.019850002735082195
2015-07-09,0.006300712702448363
2015-07-10,0.01006289186216236
2015-07-13,0.016382496373177347
2015-07-14,-0.005009734434208046
2015-07-15,-0.01204055911159052
2015-07-16,-0.0013297089157655595
2015-07-17,-0.005546708422271007
2015-07-20,0.0035698675740785113
2015-07-21,0.01711877315892818
2015-07-22,-0.010491993201964811
2015-07-23,-0.01656718304921756
2015-07-24,-0.005839918524361387
2015-07-27,0.003388929887563785
2015-07-28,0.02026568406910978
2015-07-29,0.03001519836827593
2015-07-30,0.00021461502292163814
2015-07-31,0.00407002973963122
2015-08-03,0.0044806526355403165
2015-08-04,0.012744128303318725
2015-08-05,0.018036909547455293
2015-08-06,-0.012154729494761707
2015-08-07,0.002085422946054516
2015-08-10,0.013943941965740114
2015-08-11,-0.0002054065532344218
2015-08-12,-0.004311130239644245
2015-08-13,0.004536134861571783
2015-08-14,0.011494045212403048
2015-08-17,-0.0006087773570370159
2015-08-18,0.008324878566541072
2015-08-19,0.0026179944158066792
2015-08-20,-0.005824510020268181
2015-08-21,-0.02626272288285103
2015-08-24,-0.030290229036145422
2015-08-25,0.016046038037746735
2015-08-26,0.030532720241754907
2015-08-27,0.020024559249188778
2015-08-28,-0.005208456834951969
2015-08-31,-0.013894561811612971
2015-09-01,-0.019399398277318958
