Date,AWK
2015-01-05,-0.015387446114111691
2015-01-06,0.002636239746572455
2015-01-07,0.012769644168649341
2015-01-08,0.003893843584472645
2015-01-09,0.002955403785654065
2015-01-12,-0.0031305940046373326
2015-01-13,0.0022163993128685444
2015-01-14,0.017696212472312123
2015-01-15,0.0007244890973299167
2015-01-16,0.008325677591439318
2015-01-20,0.007718526953260474
2015-01-21,0.007481536019622537
2015-01-22,-0.0005304802560481825
2015-01-23,0.0005307618147116777
2015-01-26,0.005304140081236586
2015-01-27,-0.0010555274663667236
2015-01-28,-0.0022884306603531135
2015-01-29,0.012175626827786168
2015-01-30,-0.021269321503597727
2015-02-02,0.010153531047227382
2015-02-03,-0.0031742146042613717
2015-02-04,-0.01574397296180341
2015-02-05,0.01861613985797117
2015-02-06,-0.0271474769953024
2015-02-09,-0.016231806941038096
2015-02-10,0.006674040820344285
2015-02-11,-0.013996401871219089
2015-02-12,0.0013075127262831554
2015-02-13,-0.01809361451617697
2015-02-17,0.00208965271081496
2015-02-18,0.02578218435485602
2015-02-19,-0.005729119996735976
2015-02-20,0.002602127464508719
2015-02-23,0.006674040820344285
2015-02-24,-0.0018413519247518773
2015-02-25,0.004796587382372319
2015-02-26,-0.01505666132313066
2015-02-27,0.008202782423254229
2015-03-02,-0.014977890023363916
2015-03-03,0.006382627683374276
2015-03-04,-0.003357561829406386
2015-03-05,0.00917047233263113
2015-03-06,-0.03041508147708183
2015-03-09,0.00019118746929169816
2015-03-10,-0.0005732746246436271
2015-03-11,-0.0013400717182570077
2015-03-12,0.014945660783030501
2015-03-13,-0.013403467188921825
2015-03-16,0.011098014802641165
2015-03-17,0.005866995838981204
2015-03-18,0.02069566006839829
2015-03-19,0.0016591480573071582
2015-03-20,0.01251406868458016
2015-03-23,-0.007633793280870216
2015-03-24,-0.00567753550123129
2015-03-25,-0.006631271289216256
2015-03-26,-0.008715207333791053
2015-03-27,0.011971933264267376
2015-03-30,0.003881590400007129
2015-03-31,-0.0018410130400016156
2015-04-01,0.0046113222649342145
2015-04-02,0.007896169143097875
2015-04-06,0.005283174935101664
2015-04-07,-0.00906102789844132
2015-04-08,-0.009510324345075927
2015-04-09,-0.005354472476147065
2015-04-10,0.005754731989389583
2015-04-13,-0.009044128791021122
2015-04-14,0.005960192110685325
