Date,MO
2015-01-05,-0.005718125925408213
2015-01-06,0.0059561349859342805
2015-01-07,0.018375178115024093
2015-01-08,0.01684036474193351
2015-01-09,-0.0023658495454657036
2015-01-12,0.006323523458419578
2015-01-13,0.007855635633120972
2015-01-14,0.007989090634191509
2015-01-15,0.014305392512577342
2015-01-16,0.011053521012566847
2015-01-20,0.014703141769722095
2015-01-21,0.00817422977711213
2015-01-22,0.007186130941861935
2015-01-23,-0.008598196612187192
2015-01-26,0.004612944439561062
2015-01-27,0.0022043240934928043
2015-01-28,-0.010080730265753957
2015-01-29,0.007036014741122365
2015-01-30,-0.02371765936463177
2015-02-02,0.013182540190202596
2015-02-03,0.008549929053380367
2015-02-04,-0.004238723739441008
2015-02-05,-0.006662738615750841
2015-02-06,-0.006335037757500439
2015-02-09,-0.0031875025015922764
2015-02-10,0.011474944554756838
2015-02-11,0.018411483706784137
2015-02-12,0.014243998580298234
2015-02-13,-0.014043956484077302
2015-02-17,0.006939168243543126
2015-02-18,0.0018137414036427657
2015-02-19,0.004344732405999752
2015-02-20,0.0023432245104726412
2015-02-23,-0.0017978729636890511
2015-02-24,0.003782481795946202
2015-02-25,-0.0014356340487420294
2015-02-26,0.008087817162982347
2015-02-27,0.00356557568040361
2015-03-02,0.003730536263839568
2015-03-03,-0.0007074765437126151
2015-03-04,-0.011867277514414298
2015-03-05,-0.005197937525406426
2015-03-06,-0.03837846686127233
2015-03-09,0.008618885866228387
2015-03-10,-0.01170334043552157
2015-03-11,-0.018421023363437983
2015-03-12,0.005996261901000333
2015-03-13,-0.011920828255443161
2015-03-16,0.013621040293966269
2015-03-17,-0.009022749154448673
2015-03-18,-0.00542406913711202
2015-03-19,-0.0013635750131991697
2015-03-20,0.0029257605701136224
2015-03-23,0.00388939361165197
2015-03-24,-0.009879736624630042
2015-03-25,-0.018783078052143187
2015-03-26,-0.0029910275826149357
2015-03-27,0.006800164644853446
2015-03-30,0.0037740548770248683
2015-03-31,-0.010092856036493458
2015-04-01,0.005597791539968533
2015-04-02,0.01769363320206785
2015-04-06,0.005860811379071018
2015-04-07,0.004078303660702165
2015-04-08,-0.001547489512189082
2015-04-09,0.004649448370897424
2015-04-10,0.012533747564641873
2015-04-13,-0.014092500498129157
2015-04-14,0.006760458518633161
2015-04-15,-0.009784887408777476
2015-04-16,0.008525351597568731
2015-04-17,-0.005763547941928904
2015-04-20,0.01700457543798506
2015-04-21,-0.010070193368846403
2015-04-22,0.000383777641525862
2015-04-23,0.004413065741932121
2015-04-24,-0.005348573733737316
2015-04-27,-0.012867054135344946
2015-04-28,0.006030969280798493
2015-04-29,-0.029201159801021226
