Date,MMC
2015-01-05,-0.007021016519649925
2015-01-06,-0.01343478137640286
2015-01-07,0.013259076643147738
2015-01-08,0.0167992991260848
2015-01-09,-0.013739224783656745
2015-01-12,-0.010756454739659582
2015-01-13,0.001960896392933398
2015-01-14,-0.004269404080702532
2015-01-15,-0.004645669032813049
2015-01-16,0.018309118596327556
2015-01-20,0.0015865232578997635
2015-01-21,-0.004047954168087009
2015-01-22,0.014917708043190148
2015-01-23,-0.008749073923427497
2015-01-26,-0.0010592071456053676
2015-01-27,-0.011309408504388219
2015-01-28,-0.02770345124146989
2015-01-29,0.00477979417641583
2015-01-30,-0.01628279864119464
2015-02-02,0.015436546703823772
2015-02-03,0.009340371823155946
2015-02-04,0.003991983682015032
2015-02-05,0.008856090390121585
2015-02-06,-0.006986890622792674
2015-02-09,-0.0023453227560964462
2015-02-10,0.0034356531535328916
2015-02-11,0.010813003515334207
2015-02-12,0.00784455345475843
2015-02-13,-0.0038915455378675246
2015-02-17,0.0035512503536516693
2015-02-18,0.0083176538035874
2015-02-19,0.0019302050250153968
2015-02-20,0.0007006424611111228
2015-02-23,-0.0021004557148719405
2015-02-24,0.00806877502899117
2015-02-25,-0.0034799689205819995
2015-02-26,-0.004540021224601176
2015-02-27,-0.002105197658767488
2015-03-02,0.0061526981906636635
2015-03-03,-0.004018335718192767
2015-03-04,-0.00982291931112711
2015-03-05,0.009566154238850766
2015-03-06,-0.011229948926192335
2015-03-09,0.003194213779170063
2015-03-10,-0.015920782388021082
2015-03-11,0.0016178600973395518
2015-03-12,0.013460089627822969
2015-03-13,-0.006375257914894905
2015-03-16,0.01907006418932644
2015-03-17,-0.0010494691973954584
2015-03-18,0.011029442659167055
2015-03-19,-0.004156047911349048
2015-03-20,0.006086048692204971
2015-03-23,-0.0029380633306040904
2015-03-24,-0.009013541429770178
2015-03-25,-0.021864793182750586
2015-03-26,-0.005722414345471494
2015-03-27,0.00035979152153253757
2015-03-30,0.01672034338855788
2015-03-31,-0.00813424873272195
2015-04-01,0.0014262676279548359
2015-04-02,0.006943192585963098
2015-04-06,0.007602605757884406
2015-04-07,-0.004386819120175245
2015-04-08,0.009564231316933958
2015-04-09,-0.002806949276360493
2015-04-10,0.0049261682973720244
2015-04-13,0.0007004819914966376
2015-04-14,0.004723272510350318
2015-04-15,0.0001740960313074691
2015-04-16,-0.004004303652355157
2015-04-17,-0.017828868118805574
2015-04-20,0.00800858506200175
2015-04-21,-0.001059145587222643
2015-04-22,-0.002651314586700315
2015-04-23,0.0023037585305729635
2015-04-24,0.0070721642238003035
2015-04-27,-0.004915789895681866
2015-04-28,0.004410554159080204
2015-04-29,-0.0007027400710298837
2015-04-30,-0.012831246725203194
2015-05-01,0.008903026050404828
2015-05-04,0.006882978921549432
2015-05-05,-0.01016634297260699
2015-05-06,-0.000354272434535563
2015-05-07,0.012754620812283735
2015-05-08,0.013818601583585721
2015-05-11,-0.0005176690264714345
2015-05-12,-0.007940472720511238
2015-05-13,-0.0008702698026351596
2015-05-14,0.012887726215711659
2015-05-15,-0.005158497383795924
2015-05-18,0.01088850444721956
2015-05-19,0.005300101631295906
2015-05-20,0.004761730146860765
2015-05-21,0.0003386216727416791
2015-05-22,-0.0016921503925696468
2015-05-26,-0.008813634225544598
2015-05-27,0.006498033648456136
2015-05-28,-0.0023784384997908026
2015-05-29,-0.008344691213114541
2015-06-01,-0.0012019292738131293
2015-06-02,0.001203375646229743
2015-06-03,0.006353914035106101
2015-06-04,-0.01211581082223434
2015-06-05,-0.0006910862524360795
2015-06-08,-0.002420042166936698
2015-06-09,0.00398549039668894
2015-06-10,0.016051162358713622
2015-06-11,0.00815328213688038
2015-06-12,-0.0038749779647896387
2015-06-15,-0.005074733344710536
2015-06-16,0.0035705483355343848
2015-06-17,0.0030488657703033883
2015-06-18,0.010640476772520335
2015-06-19,-0.006851678871889533
2015-06-22,-0.005047650611677557
2015-06-23,0.0005071950850157325
2015-06-24,-0.009973291373765791
2015-06-25,-0.005804830570896091
2015-06-26,0.0013738678109029845
2015-06-29,-0.025896050238585544
2015-06-30,-0.0017606705363778508
2015-07-01,0.009171073432367338
2015-07-02,-0.0005245229170723897
2015-07-06,-0.0019231729816904242
2015-07-07,0.007183139863151
2015-07-08,-0.015739718504125033
2015-07-09,0.005685927165467675
2015-07-10,0.010070331330862992
2015-07-13,0.00857093384749641
2015-07-14,0.0022548550355054875
2015-07-15,-0.0017307280840400674
2015-07-16,0.014907384678848112
2015-07-17,-0.003074363336490138
2015-07-20,0.0013707782780667532
2015-07-21,-0.00017129656327075082
2015-07-22,0.0025671016161614713
2015-07-23,-0.002560528479363944
2015-07-24,-0.003250856900516852
2015-07-27,-0.00309035145951686
2015-07-28,-0.012054422852044389
2015-07-29,0.010109773325027493
2015-07-30,0.003278734856169585
2015-07-31,-0.003440074175553698
2015-08-03,-0.0010353426742966132
2015-08-04,0.0003454197952665883
2015-08-05,0.006735743440852815
2015-08-06,-0.007891258980596394
2015-08-07,-0.0003460313188463626
2015-08-10,0.01331934328805362
2015-08-11,-0.007511055699067182
2015-08-12,-0.006536039770921098
2015-08-13,-0.0005193237386640348
2015-08-14,0.007448605102847727
2015-08-17,0.0024071535650245224
2015-08-18,-0.00017165968452026448
2015-08-19,-0.010636500291956952
2015-08-20,-0.016993324787860975
2015-08-21,-0.02416652314562162
2015-08-24,-0.0479030804283499
2015-08-25,-0.015188761513912907
2015-08-26,0.028725797438007072
2015-08-27,0.023987880022190877
2015-08-28,-0.009334026441674692
2015-08-31,-0.007389168531733992
