Date,NFLX
2015-01-05,-0.050897019048167125
2015-01-06,-0.017120547648533102
2015-01-07,0.005191848349365591
2015-01-08,0.022188199808052644
2015-01-09,-0.015457747715812209
2015-01-12,-0.03176531111707226
2015-01-13,0.015556901182672167
2015-01-14,0.0013897802494511335
2015-01-15,-0.0014803364378535022
2015-01-16,0.04194461890703427
2015-01-20,0.03397164621746662
2015-01-21,0.1733944835430865
2015-01-22,0.04681394528740923
2015-01-23,0.0210531059113499
2015-01-26,0.020801889723560008
2015-01-27,0.017041444419216845
2015-01-28,-0.025783327389168997
2015-01-29,0.0030285312727749147
2015-01-30,-0.004506577344188578
2015-02-02,-0.0016523390013594152
2015-02-03,0.03593534520831687
2015-02-04,-0.017968049346681725
2015-02-05,0.0004456133330745793
2015-02-06,-0.010135626680492282
2015-02-09,-0.0029030279069625076
2015-02-10,0.024555898198424853
2015-02-11,0.002070701253726659
2015-02-12,0.004045026662377493
2015-02-13,0.020515374399239228
2015-02-17,0.008281502094007687
2015-02-18,0.010851951180708586
2015-02-19,-0.0009682646837457787
2015-02-20,0.007585283236195561
2015-02-23,-0.013299843981912196
2015-02-24,0.00644278292183742
2015-02-25,0.007265019359139924
2015-02-26,0.00982591014103229
2015-02-27,-0.016810602651547435
2015-03-02,0.011244212248408436
2015-03-03,-0.011535645081026114
2015-03-04,-0.010406310634993199
2015-03-05,-0.004512836277128396
2015-03-06,-0.028931955590708935
2015-03-09,-0.01869542791056833
2015-03-10,-0.023719261846897544
2015-03-11,0.011791470790708747
2015-03-12,0.018469325991107732
2015-03-13,-0.022127081695375583
2015-03-16,-0.03747716489467712
2015-03-17,-0.008175965509069294
2015-03-18,0.010991108078336254
2015-03-19,0.004939515562828234
2015-03-20,0.007267006829421385
2015-03-23,-0.0077048690143588505
2015-03-24,0.031247019487322225
2015-03-25,-0.03771559615699793
2015-03-26,-0.00827501225768279
2015-03-27,-0.008344123294703576
2015-03-30,0.01880558285087508
2015-03-31,-0.013914857132602099
2015-04-01,-0.008567492207307237
2015-04-02,0.0023237685500410166
2015-04-06,0.01987542223833838
2015-04-07,0.002723085487407406
2015-04-08,0.04224719126630516
2015-04-09,-0.004191689840725932
2015-04-10,0.03428892991499177
2015-04-13,0.044239715363500354
