Date,LDOS
2015-01-05,-0.015762856618659504
2015-01-06,-0.0018842371298074534
2015-01-07,0.016281633449979793
2015-01-08,0.002785845051980873
2015-01-09,-0.018985687104039584
2015-01-12,-0.00920429330885486
2015-01-13,0.02394723036755586
2015-01-14,-0.013229256420799973
2015-01-15,-0.004069815992816972
2015-01-16,0.01923077792337713
2015-01-20,-0.009198511805439291
2015-01-21,-0.0026182613452583325
2015-01-22,0.02458241084250834
2015-01-23,-0.005357396930134928
2015-01-26,0.005854881551163427
2015-01-27,-0.011874370742409712
2015-01-28,0.0044767694478502484
2015-01-29,0.0028150641365887186
2015-01-30,-0.031578957400227425
2015-02-02,0.010386704497428179
2015-02-03,0.021993561230124303
2015-02-04,-0.01590673701236822
2015-02-05,-0.006417908791096605
2015-02-06,0.002871111864198417
2015-02-09,0.00047689949389884134
2015-02-10,0.004291768202670854
2015-02-11,0.012820580548947191
2015-02-12,0.026957553876869822
2015-02-13,0.015065041606540985
2015-02-17,-0.004947409896807198
2015-02-18,0.012429454557172814
2015-02-19,0.016071278918095677
2015-02-20,0.009226984690884787
2015-02-23,-0.009360107605729584
2015-02-24,-0.0021975703323047213
2015-02-25,-0.008588102622712368
2015-02-26,0.0022210013656669414
2015-02-27,-0.0022160794501816516
2015-03-02,0.01732548136314982
2015-03-03,-0.010480069659111746
2015-03-04,-0.0048546875018368185
2015-03-05,-0.004434471622091762
2015-03-06,-0.017149197684822703
2015-03-09,0.008157710335876533
2015-03-10,-0.01573376832827944
2015-03-11,0.00844942305228713
2015-03-12,0.010416421972713863
2015-03-13,-0.01725667402703812
2015-03-16,0.0068416432636968505
2015-03-17,-0.007248390616928835
2015-03-18,0.00205370889945522
2015-03-19,0.02641144654428218
2015-03-20,0.026176135970609637
2015-03-23,0.010808011213476743
2015-03-24,-0.022027238646291303
2015-03-25,-0.09687300807014076
2015-03-26,0.006537639957050034
2015-03-27,0.010103658661622994
2015-03-30,0.005953432079031984
2015-03-31,-0.006628685018231106
2015-04-01,0.0004768930563026075
2015-04-02,0.00428737874978613
2015-04-06,0.004032317712590272
2015-04-07,0.0023625866840761844
2015-04-08,0.00047146269472952973
2015-04-09,0.005653631202427345
2015-04-10,-0.0018742917080926125
2015-04-13,-0.008039409397426422
2015-04-14,-0.0007154380013172368
2015-04-15,-0.001669412787261182
2015-04-16,0.0038226061608976902
2015-04-17,-0.02570751778063396
2015-04-20,0.017590504021683273
2015-04-21,0.0024009756250564784
2015-04-22,0.00215577677548362
2015-04-23,0.0052577873238595085
2015-04-24,0.0021399622738931257
2015-04-27,-0.0011860258525888678
2015-04-28,0.011876336620745054
2015-04-29,-0.01361481790091612
2015-04-30,-0.009043442292214432
2015-05-01,0.006003954829607139
2015-05-04,0.007400751079335022
2015-05-05,-0.017536014373465747
2015-05-06,-0.0036179675357466134
2015-05-07,0.021302255343352394
2015-05-08,0.012325568587847835
2015-05-11,0.003980210590740718
2015-05-12,-0.07579286450237765
2015-05-13,0.0217006274562499
2015-05-14,0.012349034431077266
2015-05-15,0.009514343680111947
2015-05-18,0.022474459901425048
2015-05-19,0.0028360794175752435
2015-05-20,0.008013248727619215
2015-05-21,-0.009118598063818761
2015-05-22,-0.003539207538096667
2015-05-26,-0.014444574895141504
2015-05-27,0.021863871606599083
2015-05-28,-0.007288362250384983
2015-05-29,0.006631525538931982
2015-06-01,0.006353054814071557
2015-06-02,-0.002338102067645842
2015-06-03,0.012421274064263965
2015-06-04,-0.01134265956008318
2015-06-05,-0.002809808885366971
2015-06-08,-0.007748272223809027
2015-06-09,-0.006625617607233458
2015-06-10,0.01333961842517839
2015-06-11,0.005876711673710178
2015-06-12,-0.010750242478337557
2015-06-15,-0.012284289032360896
2015-06-16,0.008849388982097084
2015-06-17,-0.00165949107367247
2015-06-18,0.009023746000230481
2015-06-19,-0.006824374548239476
2015-06-22,0.0059237624327219685
2015-06-23,-0.007302900563183612
2015-06-24,-0.010915989785593716
2015-06-25,-0.0007197742393956208
2015-06-26,-0.0036015381180085626
2015-06-29,-0.02578292396945503
2015-06-30,-0.0014840557481810013
2015-07-01,0.01114696082264155
2015-07-02,-0.010044462820232525
2015-07-06,-0.0022270321196637965
2015-07-07,0.0017361222273248877
2015-07-08,-0.01980670145368968
2015-07-09,-0.0007580075150223076
2015-07-10,0.014914229382209765
2015-07-13,0.008034152702355968
2015-07-14,0.003486821627977532
2015-07-15,0.0009932435847752608
2015-07-16,0.003471258143245004
2015-07-17,-0.005436443845054595
2015-07-20,-0.0017392328286693903
2015-07-21,0.001991311339569757
2015-07-22,-0.005713125119754747
2015-07-23,-0.0027477156713218154
2015-07-24,-0.031062016592009245
2015-07-27,-0.016287724105383372
2015-07-28,0.01156400726964324
2015-07-29,0.049623140453995074
2015-07-30,0.0022277772384682315
2015-07-31,0.007656203429970088
2015-08-03,0.004902021583808924
2015-08-04,-0.013414592753497878
2015-08-05,0.08800978131412296
2015-08-06,-0.017723653778036863
2015-08-07,0.028221668570661773
2015-08-10,0.007424090450519172
2015-08-11,-0.0031267166415799297
2015-08-12,-0.0026879156191080833
2015-08-13,-0.004043571683728486
2015-08-14,0.00857064617360992
2015-08-17,0.006931875553158662
2015-08-18,-0.0006664672153086082
2015-08-19,-0.0028888535372513235
2015-08-20,-0.019612062296143984
2015-08-21,-0.02318718833561617
2015-08-24,-0.05026742890889169
2015-08-25,-0.02156370019231435
2015-08-26,0.0358130091698583
2015-08-27,0.016924439433664062
2015-08-28,0.009034730351253462
2015-08-31,-0.008482190083681118
2015-09-01,-0.04087464035301336
