Date,JKHY
2015-01-05,-0.00932295801924099
2015-01-06,-0.003569672822535064
2015-01-07,0.008793165892582833
2015-01-08,0.02066184214226685
2015-01-09,-0.010912337756692758
2015-01-12,0.007355269255132413
2015-01-13,0.008094932924475273
2015-01-14,-0.005195837816053039
2015-01-15,-0.01044615688544881
2015-01-16,0.01615479780144069
2015-01-20,-0.006925895976012675
2015-01-21,0.0017436355037243612
2015-01-22,0.02452509782349166
2015-01-23,-0.009420874539717294
2015-01-26,-0.0020267852413060616
2015-01-27,-0.012810603477529381
2015-01-28,-0.009020350759564755
2015-01-29,0.0004792697990678718
2015-01-30,-0.02043097846850883
2015-02-02,0.009450632842204376
2015-02-03,0.018886259899460356
2015-02-04,-0.010773092124754635
2015-02-05,0.027386579976819148
2015-02-06,-0.008885831365595065
2015-02-09,-0.005976384702031101
2015-02-10,0.0175629014205545
2015-02-11,0.003576854422153053
2015-02-12,0.011155584376218997
2015-02-13,0.007968403708724425
2015-02-17,0.0053200597461637855
2015-02-18,0.00998082307302428
2015-02-19,-0.0013474564277973222
2015-02-20,0.008395572513498983
2015-02-23,-0.006541297015632663
2015-02-24,0.006135416967988361
2015-02-25,-0.005651983915458625
2015-02-26,-0.006282809744244888
2015-02-27,-0.010275184444453744
2015-03-02,0.02366457640824815
2015-03-03,-0.0070097297436524375
2015-03-04,-0.005557543846019808
2015-03-05,0.012082642354920958
2015-03-06,-0.009401738147942873
2015-03-09,0.006930107491562865
2015-03-10,-0.013016101743963726
2015-03-11,0.007579344762245421
2015-03-12,0.01594675071622209
2015-03-13,-0.013623093040616374
2015-03-16,0.01591310123400036
2015-03-17,0.00014744825513712811
2015-03-18,0.017435243013890434
2015-03-19,0.007116095804391431
2015-03-20,0.008940129026731247
2015-03-23,0.0005718249676291975
2015-03-24,-0.008998737301710857
2015-03-25,-0.013116080928684215
2015-03-26,0.005403758757634991
2015-03-27,-0.0023245943829285354
2015-03-30,0.014414898188074732
2015-03-31,0.0031576193237154992
2015-04-01,-0.004006183298360777
2015-04-02,0.001149316423433966
2015-04-06,0.005739675290934887
2015-04-07,-0.01084367050922519
2015-04-08,-0.003749649390874299
2015-04-09,-0.009410999441977319
2015-04-10,-0.00569987866476207
2015-04-13,0.001763506241607482
2015-04-14,0.0038153969741767657
2015-04-15,-0.011547781089297438
2015-04-16,-0.004288801522285057
2015-04-17,-0.009505565663076587
2015-04-20,0.006147810160262779
2015-04-21,0.00894205970501516
2015-04-22,0.00487447740771918
2015-04-23,0.0016169652004058843
2015-04-24,-0.010126436464067412
2015-04-27,-0.002965112970599315
2015-04-28,0.010408822743323887
2015-04-29,-0.007211269180707136
2015-04-30,-0.014082104735381962
2015-05-01,0.006765890114170281
2015-05-04,0.003584146884898276
2015-05-05,-0.013690440585804708
2015-05-06,0.012220877208673375
2015-05-07,-0.01624690455474498
2015-05-08,-0.013939227422889444
2015-05-11,0.0010756020963527124
2015-05-12,-0.0023025082588169488
2015-05-13,0.00015383708957772413
2015-05-14,0.00922913770904188
2015-05-15,-0.008839860154217782
2015-05-18,0.01014929388422492
2015-05-19,-0.0010659425951331514
2015-05-20,-0.003809524436152678
2015-05-21,-0.001996488114792916
2015-05-22,0.0016926799484169308
2015-05-26,-0.01382498008877553
2015-05-27,0.014797663325155863
2015-05-28,-0.0009210063587135053
2015-05-29,-0.00015363155255088135
2015-06-01,0.0003073103176629566
2015-06-02,0.0
2015-06-03,0.009830909025441814
2015-06-04,-0.011560488291095683
2015-06-05,0.006155465872599297
2015-06-08,-0.0052002386943045265
2015-06-09,-0.003843807796648946
2015-06-10,0.006637077965020666
2015-06-11,0.010885964358099853
2015-06-12,-0.00606696718377453
2015-06-15,-0.007324996844625842
2015-06-16,0.010146183217109916
2015-06-17,-0.007000436320450554
2015-06-18,0.013639613597453693
2015-06-19,0.0
2015-06-22,-0.0018142463763356487
2015-06-23,-0.004695424758935585
2015-06-24,0.0018260527949054417
2015-06-25,0.003949911339987899
2015-06-26,-0.0006053579186828806
2015-06-29,-0.010446763241385826
2015-06-30,-0.010097796285103322
2015-07-01,0.015146844681573013
2015-07-02,-0.0006090713851832907
2015-07-06,0.0024375737436332923
2015-07-07,0.0021273719681060843
2015-07-08,-0.0033358697675608395
2015-07-09,0.0038037731581572753
2015-07-10,0.013491010980223095
2015-07-13,0.004337175198346532
2015-07-14,0.007445926719398921
2015-07-15,0.005617207096301646
2015-07-16,0.013229741233653503
2015-07-17,-0.007399093821440661
2015-07-20,0.00920797485969338
2015-07-21,-0.0020274293772641894
2015-07-22,0.011464026043063624
2015-07-23,-0.00459074095157519
2015-07-24,0.0005764038918731895
2015-07-27,-0.0095071060425711
2015-07-28,0.004944360695319228
2015-07-29,0.012300925964828124
2015-07-30,0.002001466959500986
2015-07-31,-0.003281455551204182
2015-08-03,-0.0021471869702025526
2015-08-04,0.0037301242718692507
2015-08-05,0.006859628473365298
2015-08-06,-0.010361834212850418
2015-08-07,0.007458191027481131
2015-08-10,0.012386263053782098
2015-08-11,-0.012374983177864007
2015-08-12,0.008543313615874348
2015-08-13,0.006776706371324437
2015-08-14,-0.0012618987577456275
2015-08-17,0.005756617833781341
2015-08-18,-0.0005584784790939601
2015-08-19,-0.0051680766400376
2015-08-20,-0.015164514696215381
2015-08-21,-0.026661191968382125
2015-08-24,-0.03398237405439841
2015-08-25,-0.0010615927948383064
2015-08-26,0.04295696006178651
2015-08-27,-0.012952896129636349
2015-08-28,0.014154816393834091
2015-08-31,-0.011921865441235413
2015-09-01,-0.034579376911126336
