Date,AVB
2015-01-05,0.006754638516402789
2015-01-06,0.013598774869325592
2015-01-07,0.01158384753507713
2015-01-08,0.0092894034255111
2015-01-09,0.0030681345863998732
2015-01-12,0.00865633009843636
2015-01-13,-0.001029990463508046
2015-01-14,0.012886704849495834
2015-01-15,0.003675546581463074
2015-01-16,0.008901558058044268
2015-01-20,-0.01960016314762003
2015-01-21,0.0078030894861729205
2015-01-22,0.011416531695363386
2015-01-23,-0.0003356319878664582
2015-01-26,0.007657906479836107
2015-01-27,-0.00449335395427819
2015-01-28,-0.010642920974747283
2015-01-29,-0.014924971770096551
2015-01-30,-0.010921137354626742
2015-02-02,-0.0019654752469553394
2015-02-03,0.005966156240230447
2015-02-04,-0.0019574179830509353
2015-02-05,0.009576415622083667
2015-02-06,-0.03337153603627152
2015-02-09,-0.004256520219697579
2015-02-10,0.009736756296610638
2015-02-11,0.002116589138877023
2015-02-12,0.017307914725319895
2015-02-13,-0.014821708976667014
2015-02-17,-0.00046891841305440884
2015-02-18,0.01440833106980799
2015-02-19,-0.02407601315265695
2015-02-20,0.011654795545642083
2015-02-23,0.014385909137951014
2015-02-24,-0.02628899326887446
2015-02-25,-0.00544684580930177
2015-02-26,-0.010417670522971934
2015-02-27,0.012693016432278714
2015-03-02,0.007841152760601489
2015-03-03,-0.004950956713178689
2015-03-04,-0.004027473003130555
2015-03-05,0.010645755995144501
2015-03-06,-0.031131000897272942
2015-03-09,0.011115336376790186
2015-03-10,0.0022227003151118474
2015-03-11,0.0026970357413114154
2015-03-12,0.02349226000128346
2015-03-13,-0.003153777066950858
2015-03-16,0.017225547014109388
2015-03-17,-0.004377481604421418
2015-03-18,0.016198318086391605
2015-03-19,-0.004953089012765366
2015-03-20,0.02883474588420576
2015-03-23,0.005838641475265138
2015-03-24,-0.0032623599773003997
2015-03-25,-0.01891332944959867
2015-03-26,-0.005201107393867921
2015-03-27,-0.0033775268592154406
2015-03-30,0.011658652922791113
2015-03-31,-0.01078641659472257
2015-04-01,-0.007689912106078278
2015-04-02,0.01058340685242265
2015-04-06,0.006123850897618022
2015-04-07,-0.018315488092747523
2015-04-08,0.007474563079080898
2015-04-09,-0.026742947369626013
2015-04-10,-0.005435989570791722
2015-04-13,-0.0035056401978550422
2015-04-14,0.010791972357972801
2015-04-15,-0.009025009834562225
2015-04-16,0.006190158641446786
2015-04-17,-0.004318101721714096
2015-04-20,-0.000356877567342484
2015-04-21,0.004754787256709747
2015-04-22,0.009405511486288098
2015-04-23,0.0034576485556581105
2015-04-24,0.00023379872048789885
2015-04-27,0.0016347089389581182
2015-04-28,-0.002098766209920111
2015-04-29,-0.020094451517209122
2015-04-30,-0.02032732475205168
2015-05-01,0.020019208052353132
2015-05-04,0.007934035462775935
2015-05-05,-0.031131520206606922
2015-05-06,-0.0016495731172271322
2015-05-07,0.015603202633410751
2015-05-08,0.01524233818063414
2015-05-11,-0.023381057847821962
2015-05-12,0.004132108877616059
2015-05-13,-0.00701975517114406
2015-05-14,0.018892006343660395
2015-05-15,0.0075363785609283696
2015-05-18,-0.0036213334427703803
2015-05-19,-0.0013105579967660486
2015-05-20,-0.0009548249559935273
2015-05-21,-0.01110671030494137
2015-05-22,0.0038645303218909355
2015-05-26,-0.008481751048591613
2015-05-27,0.015834566056943222
2015-05-28,0.002030385415327851
2015-05-29,-0.007629020843251344
2015-06-01,0.01075086091983124
2015-06-02,-0.017470132031795038
2015-06-03,-0.023888531533530766
2015-06-04,-0.00241633272246522
2015-06-05,0.0002485059733152717
2015-06-08,-0.0006206122333036745
2015-06-09,-0.001864389143445444
2015-06-10,0.00429515208688569
2015-06-11,0.010040821784317755
2015-06-12,-0.002577596983793895
2015-06-15,0.0013540164403114119
2015-06-16,0.010751998872280177
2015-06-17,0.01282587771026611
2015-06-18,0.010022828931375516
2015-06-19,-0.014439586595932918
2015-06-22,-0.005727611068800487
2015-06-23,-0.013400985661657816
2015-06-24,-0.0023356591704269958
2015-06-25,-0.005051708381421438
2015-06-26,0.010420888079732293
2015-06-29,-0.017539602820569544
2015-06-30,0.004966119583625472
2015-07-01,0.019265583043901247
2015-07-02,0.006320874845570312
2015-07-06,0.0059155045040861776
2015-07-07,0.01503489368386024
2015-07-08,-0.004658582345243856
2015-07-09,0.00018019130480095846
2015-07-10,0.003719502876266434
2015-07-13,0.00035866510066706603
2015-07-14,0.004959363747752743
2015-07-15,0.002556526225448774
2015-07-16,0.007235221558548499
2015-07-17,-0.0037090061045270684
2015-07-20,0.0011225233481468866
2015-07-21,-0.004663578592017936
2015-07-22,0.008421870526721609
2015-07-23,-0.008586660188493633
2015-07-24,0.004152627779255624
2015-07-27,-0.003899273911650014
2015-07-28,0.007591655250130724
2015-07-29,0.00429724263701714
2015-07-30,0.0035747990019614484
2015-07-31,0.0064826103977631
2015-08-03,0.009458362245317264
2015-08-04,-0.0075878584011553896
2015-08-05,-0.001563763877435731
2015-08-06,0.002262403580816752
2015-08-07,0.006251140848108738
2015-08-10,-0.0005175140926850785
2015-08-11,0.008402148908569496
2015-08-12,0.0027393838422531402
2015-08-13,0.002162603173739841
2015-08-14,0.005906585065022396
2015-08-17,0.00829935394448178
2015-08-18,0.006215510510442668
2015-08-19,-0.008680982519501113
2015-08-20,-0.004154437768314034
2015-08-21,-0.022322439439555808
2015-08-24,-0.045490833655975504
2015-08-25,-0.01854409146087166
2015-08-26,0.02467950670133634
2015-08-27,0.012913534816433536
2015-08-28,0.00041531714305875767
2015-08-31,-0.021634541098604076
2015-09-01,-0.01962946074982741
