Date,CEG
2022-01-20,0.07142849110085359
2022-01-21,0.0
2022-01-24,-0.04888882008075568
2022-01-25,-0.02107501657880584
2022-01-26,0.031553106877938886
2022-01-27,0.05876920866016566
2022-01-28,0.021634468579748933
2022-01-31,0.026738001231754627
2022-02-01,0.037083243200336735
2022-02-02,0.06488550402975535
2022-02-03,0.011507309143862443
2022-02-04,-0.06490121022412043
2022-02-07,-0.0811726094293328
2022-02-08,-0.012372481802887192
2022-02-09,0.03978005134868812
2022-02-10,-0.005495506603443445
2022-02-11,0.022104249236045037
2022-02-14,0.00041586834431606157
2022-02-15,-0.0022865296177908556
2022-02-16,-0.016666745934503013
2022-02-17,-0.04046609936279222
2022-02-18,0.002649560876153201
2022-02-22,-0.041180134528083
2022-02-23,-0.010335360424089002
2022-02-24,0.031921437420153076
2022-02-25,-0.009250894178452596
2022-02-28,0.04714184689596701
2022-03-01,0.03936489214074168
2022-03-02,0.03494453204577974
2022-03-03,0.0012132030440252795
2022-03-04,0.02988698361914488
2022-03-07,0.012745098642549468
2022-03-08,0.012971782131665943
2022-03-09,-0.018921914643265203
2022-03-10,-0.000194897819658979
2022-03-11,-0.03897103246185818
2022-03-14,0.033049435864149324
2022-03-15,0.006673330294891366
2022-03-16,0.00935841240180113
2022-03-17,-0.015066460249532954
2022-03-18,-0.03883130389608713
2022-03-21,0.0042846775429135064
2022-03-22,0.039008610588852966
2022-03-23,-0.002932871450766039
2022-03-24,0.02784840668896038
2022-03-25,0.02652153975435101
2022-03-28,0.055390400418744656
2022-03-29,-0.007925470384146815
2022-03-30,0.02077063275037716
2022-03-31,-0.02173911708559273
2022-04-01,0.03146675125388265
2022-04-04,0.0062046665670432155
2022-04-05,0.010620067172504521
2022-04-06,0.010169410830340064
2022-04-07,0.02197993886423455
2022-04-08,0.05105890397300583
2022-04-11,-0.052171230022551196
2022-04-12,0.01961111004432703
2022-04-13,0.037659535680032885
2022-04-14,-0.025700855766339847
2022-04-18,0.01215031337761907
2022-04-19,0.05370404510013205
2022-04-20,-0.01948727569340747
2022-04-21,-0.041889838284808856
2022-04-22,-0.0038294033725442267
2022-04-25,-0.0025628541182186604
2022-04-26,-0.03725708914283876
2022-04-27,0.0023352562905332164
2022-04-28,0.02030279049685957
2022-04-29,-0.03425214591025105
2022-05-02,-0.017057975183990548
2022-05-03,0.02577339705959769
2022-05-04,0.035343299432125
2022-05-05,-0.026694686406920187
2022-05-06,0.0018283601701938323
2022-05-09,-0.04396876220297641
2022-05-10,-0.010065996140414923
2022-05-11,0.005785381634008102
2022-05-12,-0.06568346259467561
2022-05-13,0.021320320513299018
2022-05-16,0.036257222772039466
2022-05-17,0.048241681851012075
2022-05-18,-0.034389706686645094
2022-05-19,-0.000872825170761149
2022-05-20,-0.010134574213032543
2022-05-23,-0.0008827389916685746
2022-05-24,0.0031801978921941476
2022-05-25,0.04209229881058252
2022-05-26,0.05577156692990837
2022-05-27,0.06611157556642744
2022-05-31,-0.06786766416024015
2022-06-01,0.02528983996108658
2022-06-02,0.0015711327219485316
2022-06-03,0.02227443681142871
2022-06-06,0.018720300553846103
2022-06-07,0.0024100169557106366
2022-06-08,-0.02674694855890125
2022-06-09,-0.05496371473874162
2022-06-10,-0.02319862373416648
2022-06-13,-0.07208564772951087
2022-06-14,-0.01874554233902359
2022-06-15,0.06906680127775089
2022-06-16,0.0010310353543656614
2022-06-17,-0.00274646142701529
2022-06-21,0.039242872748891156
2022-06-22,-0.019377383494522005
2022-06-23,-0.009457790449384551
2022-06-24,0.010741639478766274
2022-06-27,0.0023616555289101004
2022-06-28,-0.02255130967797425
2022-06-29,-0.013257509013835267
2022-06-30,-0.0008724365433184778
2022-07-01,0.005937830819732648
2022-07-05,-0.04618054161301688
2022-07-06,0.033126793511109254
2022-07-07,0.04140261553346014
2022-07-08,0.00913553487565899
2022-07-11,0.003185218183738625
2022-07-12,-0.010193963985133503
2022-07-13,0.009961249181348553
2022-07-14,-0.031761991567382464
2022-07-15,-0.03901921585620127
2022-07-18,-0.015271298185851712
2022-07-19,0.0034663461960693365
2022-07-20,-0.016908969143114794
2022-07-21,0.0016644290677525486
2022-07-22,-0.002954156488713666
2022-07-25,0.017777746211805612
2022-07-26,0.009825212460312871
2022-07-27,0.0005406322089729354
2022-07-28,0.16315500818509165
2022-07-29,0.023378155921385924
2022-08-01,-0.0121028352006608
2022-08-02,0.00826960900710394
2022-08-03,0.020200363083938022
2022-08-04,0.004317417273001833
2022-08-05,0.10139355794459592
2022-08-08,0.021399722923726605
2022-08-09,-0.0022400342250084027
2022-08-10,0.018489339851759157
2022-08-11,0.022173183491740467
2022-08-12,0.03572274313890089
2022-08-15,-0.0036810598169824127
2022-08-16,0.00246323501465473
2022-08-17,-0.02088470660234354
2022-08-18,0.023839383596525376
2022-08-19,-0.009313834990754999
2022-08-22,-0.014720165029455168
2022-08-23,0.001255486684768714
2022-08-24,0.007774374532930173
2022-08-25,0.029488537862873532
2022-08-26,-0.02308425804706804
2022-08-29,0.0021030434248454632
2022-08-30,-0.016172964067582063
2022-08-31,0.02384257141795465
2022-09-01,0.011398428862881449
2022-09-02,-0.01757145997845444
2022-09-06,0.014678687766234377
2022-09-07,0.007780208954563328
2022-09-08,0.03486128686858203
2022-09-09,0.020048967625339698
2022-09-12,0.007084619738832121
2022-09-13,-0.01985698164623506
2022-09-14,0.019333151709668428
2022-09-15,-0.01419636877070396
2022-09-16,-0.014170376301185006
2022-09-19,0.04429108856902908
2022-09-20,-0.01801702001383021
2022-09-21,-0.005355984092850097
