Date,MLM
2015-01-05,-0.040775657686686784
2015-01-06,-0.009592679989646857
2015-01-07,0.02335950035635026
2015-01-08,0.03841510292740247
2015-01-09,-0.01903301845176253
2015-01-12,0.0028240577127778277
2015-01-13,-0.012172120787882323
2015-01-14,-0.019218254064529816
2015-01-15,-0.019501018920090152
2015-01-16,0.03212830631644703
2015-01-20,0.005465984603618024
2015-01-21,0.016769490224499473
2015-01-22,0.005527888086751087
2015-01-23,-0.010183992462128755
2015-01-26,0.023673107763862777
2015-01-27,-0.007649414680116373
2015-01-28,-0.03603101199481973
2015-01-29,0.022966170838069955
2015-01-30,-0.020723675974589906
2015-02-02,0.05197697144410096
2015-02-03,0.01641080885922186
2015-02-04,-0.001909314407761431
2015-02-05,0.022786170209311507
2015-02-06,0.003146433211016264
2015-02-09,0.010087053248658329
2015-02-10,0.15172938074952214
2015-02-11,0.020766025672028787
2015-02-12,0.014205496773658677
2015-02-13,0.022170363498611456
2015-02-17,-0.01074157301830203
2015-02-18,0.008908904365193315
2015-02-19,0.0003456171079896375
2015-02-20,-0.012138081433773151
2015-02-23,0.0013262195386845033
2015-02-24,-0.000976108876227566
2015-02-25,-0.00558281778043157
2015-02-26,-0.0032377384137480814
2015-02-27,0.00494271798198298
2015-03-02,0.007166656532611615
2015-03-03,-0.0024423398627081427
2015-03-04,-0.0011885192122146337
2015-03-05,-0.002590025574706778
2015-03-06,-0.012424820416346738
2015-03-09,-0.005828456487581901
2015-03-10,-0.016086583499513085
2015-03-11,0.009228757343188398
2015-03-12,0.03311989767288259
2015-03-13,-0.011708517534234408
2015-03-16,0.003949038119892334
2015-03-17,-0.00014051966473338506
2015-03-18,0.0009837758929920337
2015-03-19,-0.02673854887544258
2015-03-20,-0.0012986849502352182
2015-03-23,0.008086893256748606
2015-03-24,0.007663683033587221
2015-03-25,-0.005188625929768431
2015-03-26,0.015432241808360558
2015-03-27,-0.0027436164693367404
2015-03-30,0.007831899218923244
2015-03-31,-0.021282570418762026
2015-04-01,-0.01216025489124295
2015-04-02,-0.005358248747667993
2015-04-06,0.014414387065095235
2015-04-07,-0.025333625630086787
2015-04-08,0.0027982269529469583
2015-04-09,0.006020736045537101
2015-04-10,0.01116697827625912
2015-04-13,-0.0038972473518240625
2015-04-14,0.0013763100681014606
2015-04-15,0.028873983323411512
2015-04-16,-0.0011959545174167197
2015-04-17,-0.012464425641317223
2015-04-20,-0.0019249434870857174
2015-04-21,-0.01143083958130875
2015-04-22,-0.008166299422169176
2015-04-23,0.007286077941103253
2015-04-24,0.002097809225464875
2015-04-27,-0.0188407587117434
2015-04-28,0.0013245698267740913
2015-04-29,0.0014693245818244716
2015-04-30,0.046588407545144817
2015-05-01,0.036312716637015185
2015-05-04,0.003788111138224304
2015-05-05,-0.010176321777709996
2015-05-06,0.01504665500643565
2015-05-07,0.009994024340379992
2015-05-08,0.028622640901923457
2015-05-11,-0.007166686270544398
2015-05-12,-0.01970309825024663
2015-05-13,0.02135989724927101
2015-05-14,0.0045463651218145
2015-05-15,0.004202159407961759
2015-05-18,-6.41355019087575e-05
2015-05-19,-0.006760869507312917
2015-05-20,-0.004926349334323343
2015-05-21,0.007035600255875352
2015-05-22,-0.014749949660975648
2015-05-26,-0.007550628159676331
2015-05-27,0.011511789257611982
2015-05-28,-0.009312055767350835
2015-05-29,-0.013636767357233959
2015-06-01,-0.013085434003809016
2015-06-02,0.015775508525259108
2015-06-03,-0.010175902590285002
2015-06-04,0.0009472054091836934
2015-06-05,0.0006759987653153221
2015-06-08,0.0038488738104742737
2015-06-09,-0.00040374899312523027
2015-06-10,0.02052366417215512
2015-06-11,0.0019119102245572783
2015-06-12,-0.02671935810978132
2015-06-15,-0.01203574499085347
2015-06-16,-0.002395470530866639
2015-06-17,-0.005283097315583296
2015-06-18,0.016346556188597594
2015-06-19,0.006039514383844091
2015-06-22,0.0015511059520141313
2015-06-23,-0.0023567907541508504
2015-06-24,-0.014986820016995472
2015-06-25,-0.00472907498279862
2015-06-26,-0.0023412802681022082
2015-06-29,-0.019050556984499867
2015-06-30,-0.004291273327041489
2015-07-01,0.016605895516852653
2015-07-02,0.0009731975453348696
2015-07-06,0.0031945729050979477
2015-07-07,0.003945740554962773
2015-07-08,-0.0029647727686537007
2015-07-09,0.015005934508456109
2015-07-10,0.04176694751488852
2015-07-13,0.0030079750683587037
2015-07-14,-0.009780527599430044
2015-07-15,-0.005992703684109202
2015-07-16,0.018814449474454653
2015-07-17,0.017816454853977648
2015-07-20,0.023637553160138713
2015-07-21,6.272853038802317e-05
2015-07-22,0.0037438035000119108
2015-07-23,-0.009698568328079804
2015-07-24,-0.009103774533097408
2015-07-27,-0.026800564922480064
2015-07-28,0.015689519453869538
2015-07-29,0.008782155138078007
2015-07-30,0.0005719486554960351
2015-07-31,-0.004128169453243902
2015-08-03,-0.0019133041678984775
2015-08-04,0.056925525008311606
2015-08-05,0.028471586775652424
2015-08-06,-0.014223550602927015
2015-08-07,-0.0008346511906867082
2015-08-10,0.026375225074791953
2015-08-11,-0.005813758790948476
2015-08-12,0.009415342124962311
2015-08-13,-0.0026650741048939164
2015-08-14,0.01672986443541724
2015-08-17,0.0005139905667501665
2015-08-18,0.0032547322025004988
2015-08-19,-0.02732075813422319
2015-08-20,-0.0230558922614853
2015-08-21,-0.03180569399584188
2015-08-24,-0.04219232776359494
2015-08-25,-0.0031007254463095713
2015-08-26,0.023325260936045256
2015-08-27,0.044637007236343784
2015-08-28,0.005529405821695921
2015-08-31,0.013897167901289587
2015-09-01,-0.02431462901528858
