Date,COF
2015-01-05,-0.02303321219898935
2015-01-06,-0.018612544076433868
2015-01-07,0.011379652230358417
2015-01-08,0.009750950436842931
2015-01-09,-0.017332816098854398
2015-01-12,-0.0039061775876765292
2015-01-13,-0.008474218191015792
2015-01-14,-0.020920987364598354
2015-01-15,0.002605783507105386
2015-01-16,-0.0038984263792315454
2015-01-20,0.009654006370691581
2015-01-21,-0.0023257214049889896
2015-01-22,-0.01308145091883628
2015-01-23,0.018372752816237625
2015-01-26,0.007603353484209485
2015-01-27,-0.018161427919162754
2015-01-28,-0.030220011359406662
2015-01-29,0.0068502298149033525
2015-01-30,-0.023345834449504443
2015-02-02,0.016528356304867486
2015-02-03,0.01464638322680134
2015-02-04,-0.002781172195238768
2015-02-05,0.010400063706212048
2015-02-06,0.005806385150638249
2015-02-09,0.006559832777953911
2015-02-10,0.004431839082572386
2015-02-11,0.003373874809432076
2015-02-12,0.025478151928640447
2015-02-13,-0.005170637308190562
2015-02-17,0.014198804766259121
2015-02-18,-0.008250148274554281
2015-02-19,0.0010089177408514338
2015-02-20,0.012213181996952649
2015-02-23,-0.004104946951781097
2015-02-24,0.0054958610372244365
2015-02-25,-0.010434854490917966
2015-02-26,-0.006402208503920259
2015-02-27,-0.005558815415817708
2015-03-02,0.005589888574598856
2015-03-03,-0.0001265775469131425
2015-03-04,-0.006191322365927898
2015-03-05,0.003051431485701084
2015-03-06,0.0011414336804249636
2015-03-09,0.010888555160639024
2015-03-10,-0.026553459762767906
2015-03-11,0.006562372961272933
2015-03-12,0.041160464925855456
2015-03-13,-0.017802424691080287
2015-03-16,0.018374869410095362
2015-03-17,0.00036846663238798705
2015-03-18,0.0014724189468426907
2015-03-19,-0.012252456408433421
2015-03-20,0.006326661757616092
2015-03-23,0.0014787930040833785
2015-03-24,-0.013661557993644324
2015-03-25,-0.016221675064372998
2015-03-26,-0.004185534578328154
2015-03-27,0.0017832443589489433
2015-03-30,0.006992663626993023
2015-03-31,-0.00479783471350026
2015-04-01,0.013321499588099028
2015-04-02,0.005509051854556413
2015-04-06,0.00012451973827221074
2015-04-07,-0.00809266052698221
2015-04-08,0.006527157038509479
2015-04-09,0.0021198879139723292
2015-04-10,0.0031111708535842553
2015-04-13,0.0059545873956525774
2015-04-14,0.0032061435019730133
2015-04-15,0.018069824593882178
2015-04-16,0.0022942847537232858
2015-04-17,-0.012167205559854288
2015-04-20,0.002317339639692273
2015-04-21,-0.008030204126580065
2015-04-22,0.0028212105837677193
2015-04-23,0.0012230007561884193
2015-04-24,-0.017346883513688294
2015-04-27,-0.0009945478611262937
2015-04-28,0.004604019037255158
2015-04-29,-0.0045829191900579325
2015-04-30,0.006097325994184555
2015-05-01,0.013358198627324569
2015-05-04,0.004027788636717711
2015-05-05,0.0001214559158162487
2015-05-06,0.004497244215384111
2015-05-07,-0.0026748005526485708
2015-05-08,0.013899119610596422
2015-05-11,0.0018037666450525514
2015-05-12,-0.004801530606234561
2015-05-13,0.008925445207468519
2015-05-14,0.009803064800951278
2015-05-15,-0.00520912905486115
2015-05-18,0.00630698069603941
2015-05-19,0.010052263657531979
2015-05-20,-0.0007023278086051299
2015-05-21,-0.002812145398921495
2015-05-22,-0.0010574206802473896
2015-05-26,-0.01258553573915644
2015-05-27,0.00810033224036033
2015-05-28,-0.0038994885687435588
2015-05-29,-0.008778602158598492
2015-06-01,-0.0020337670309328315
2015-06-02,0.006715055336429243
2015-06-03,0.004169256518642417
2015-06-04,-0.013167087210776862
2015-06-05,0.021036501800359764
2015-06-08,0.0
2015-06-09,0.007416756401169122
2015-06-10,0.01589319968752334
2015-06-11,0.008397476620949362
2015-06-12,-0.001026870116834444
2015-06-15,-0.0009131298074037675
2015-06-16,0.0066292295619985175
2015-06-17,-0.002611879170984821
2015-06-18,0.007741609427764029
2015-06-19,-0.0011296285550866925
2015-06-22,0.010178465731222719
2015-06-23,0.0006718915312606821
2015-06-24,-0.0032445256006277123
2015-06-25,-0.0026937832958667807
2015-06-26,0.0023636979273125025
2015-06-29,-0.014709103767653331
2015-06-30,0.002506738257098906
2015-07-01,0.007161508564908159
2015-07-02,-0.0031601454374998728
2015-07-06,-0.0064535251064579136
2015-07-07,0.0015952730914787772
2015-07-08,-0.019114769810429144
2015-07-09,0.006031313805887839
2015-07-10,0.010838742181784156
2015-07-13,0.015512501136447865
2015-07-14,-0.00011239816684871506
2015-07-15,0.012132123802724548
2015-07-16,0.009545036195357959
2015-07-17,0.0003299390217832432
2015-07-20,0.00494543689195126
2015-07-21,0.002952559633981
2015-07-22,-0.0006539816823121214
2015-07-23,-0.0096015777087195
2015-07-24,-0.13121103898630104
2015-07-27,-0.0031700076682665834
2015-07-28,0.0005087208284775269
2015-07-29,0.012333356190806777
2015-07-30,0.023611987743290097
2015-07-31,-0.0024539704690735853
2015-08-03,0.00405864530937361
2015-08-04,-0.003062101604872969
2015-08-05,0.005898212886127796
2015-08-06,-0.00392835733933905
2015-08-07,-0.003943850192186793
2015-08-10,0.020663306503981405
2015-08-11,-0.019638739864952348
2015-08-12,-0.0030916877920148522
2015-08-13,0.0017368186997215318
2015-08-14,0.006315213439363809
2015-08-17,0.004675408396305647
2015-08-18,-0.0047765034796183325
2015-08-19,-0.014028742877630451
2015-08-20,-0.013480117825860671
2015-08-21,-0.0306173070460789
2015-08-24,-0.04032909118784245
2015-08-25,-0.017407835313372533
2015-08-26,0.03460217076262584
2015-08-27,0.03491644924907433
2015-08-28,-0.0005172465869276444
2015-08-31,0.005561743796439256
2015-09-01,-0.044115670364044623
