Date,BAC
2015-01-05,-0.029050028393935556
2015-01-06,-0.029919591947537016
2015-01-07,0.004745052597000088
2015-01-08,0.02066120517215886
2015-01-09,-0.017929749102759462
2015-01-12,-0.01766797046972557
2015-01-13,-0.013788845529473015
2015-01-14,-0.024923977884738435
2015-01-15,-0.052368900395049045
2015-01-16,0.011842046285071683
2015-01-20,-0.007802611539323823
2015-01-21,0.009829535263200517
2015-01-22,0.04412742592163066
2015-01-23,-0.02237425993142339
2015-01-26,0.0076288504249748534
2015-01-27,-0.013880234757555399
2015-01-28,-0.027510902878871257
2015-01-29,0.015131360172634833
2015-01-30,-0.018146484200562085
2015-02-02,0.02046224990018808
2015-02-03,0.02781363927993019
2015-02-04,-0.006293410117765741
2015-02-05,0.011399942589133794
2015-02-06,0.03256068897984865
2015-02-09,-0.008490002112712114
2015-02-10,0.004281386086382399
2015-02-11,-0.0036537010341893827
2015-02-12,0.018948255565788052
2015-02-13,-0.0035989065190166203
2015-02-17,0.0012039207528362628
2015-02-18,-0.01984395162766439
2015-02-19,-0.005521410410299743
2015-02-20,0.010487463309465594
2015-02-23,-0.010988958341000665
2015-02-24,0.011111057286648185
2015-02-25,0.00671541404969056
2015-02-26,-0.02728917404493514
2015-02-27,-0.014339243995465711
2015-03-02,0.01265028726278783
2015-03-03,0.0018738570611940286
2015-03-04,-0.009380894193108724
2015-03-05,0.010101004054050788
2015-03-06,0.013750065933701316
2015-03-09,-0.003082648568270785
2015-03-10,-0.0235002212679839
2015-03-11,0.0202660517490747
2015-03-12,-0.0012417582773338598
2015-03-13,0.0
2015-03-16,0.002485867631821348
2015-03-17,-0.002479703417359591
2015-03-18,-0.006836430661244175
2015-03-19,-0.023153891600622645
2015-03-20,0.014734097302189886
2015-03-23,-0.007575678209416958
2015-03-24,-0.006997488423289511
2015-03-25,-0.012812215604601107
2015-03-26,0.0006489672521139411
2015-03-27,-0.007133625687816947
2015-03-30,0.013716476347582995
2015-03-31,-0.008376321089228034
2015-04-01,0.001299621327591538
2015-04-02,0.00843618968150528
2015-04-06,-0.0019308435514828748
2015-04-07,-0.003223686814951221
2015-04-08,0.009702567754436231
2015-04-09,0.006405993901765328
2015-04-10,0.0006367255511421366
2015-04-13,0.005089205875320468
2015-04-14,0.00126559667857018
2015-04-15,-0.011377995708404365
2015-04-16,0.009590900705995997
2015-04-17,-0.014566133205437315
2015-04-20,0.0006423302326985514
2015-04-21,-0.004495328585536362
2015-04-22,0.01548347439588027
2015-04-23,-0.0031764301353304214
2015-04-24,-0.003186854181174703
2015-04-27,-0.0051149348366851255
2015-04-28,0.005783714490915193
2015-04-29,0.021086442546039086
2015-04-30,-0.0031288721944496833
2015-05-01,0.011299576698372338
2015-05-04,0.020484045131515805
2015-05-05,-0.005474412952342189
2015-05-06,-0.003669794740159049
2015-05-07,-0.0030693294298863583
2015-05-08,0.012931135470445998
2015-05-11,0.002431392933864629
2015-05-12,-0.003638494986556773
2015-05-13,0.0024345694139416008
2015-05-14,0.003035928803928778
2015-05-15,-0.010290585392607965
2015-05-18,0.009785925981936616
2015-05-19,0.015747733577740508
2015-05-20,-0.0017890140921525965
2015-05-21,-0.0005971943760065823
2015-05-22,0.0011956692626915455
2015-05-26,-0.014925186186231065
2015-05-27,0.014544867303624143
2015-05-28,-0.004181281135589798
2015-05-29,-0.010197705375857513
2015-06-01,0.00303004898551662
2015-06-02,0.010271932880383972
2015-06-03,0.015596947561495211
2015-06-04,-0.008860210340123076
2015-06-05,0.02443390921066846
2015-06-08,-0.00639900727698961
2015-06-09,0.01346599901153911
2015-06-10,0.016175644101011244
2015-06-11,-0.005685109090954321
2015-06-12,0.0
2015-06-15,-0.001143333677484315
2015-06-16,0.004578975420257425
2015-06-17,-0.01025650832805125
2015-06-18,0.0005757863961057819
2015-06-19,-0.012082652290920426
2015-06-22,0.01747245340278747
2015-06-23,0.011448047366994452
2015-06-24,-0.010186786170721995
2015-06-25,-0.006861285874366185
2015-06-26,0.0023031455844231274
2015-06-29,-0.0298679521757077
2015-06-30,0.007696895521101421
2015-07-01,0.011750590195806154
2015-07-02,-0.011033384136633018
2015-07-06,-0.005284840971788385
2015-07-07,-0.01475802279915206
2015-07-08,-0.026362837459734334
2015-07-09,0.014153507636081253
2015-07-10,0.013349458517926793
2015-07-13,0.01916189962097392
2015-07-14,0.006462991251215078
2015-07-15,0.03210758409060177
2015-07-16,0.01527136625678227
2015-07-17,0.008356338545873143
2015-07-20,0.001105519744124317
2015-07-21,-0.002207749984428853
2015-07-22,0.020464274877877164
2015-07-23,-0.01463390168969636
2015-07-24,-0.015401755548175355
2015-07-27,-0.0128490568566475
2015-07-28,0.011884751067364308
2015-07-29,0.015659644151992724
2015-07-30,-0.0016516944103084352
2015-07-31,-0.013789281886374072
2015-08-03,-0.006152130528804256
2015-08-04,0.001687810799195999
2015-08-05,0.003932939393176849
2015-08-06,-0.003357922341763353
2015-08-07,-0.0033685724256010685
2015-08-10,0.016338061852446906
2015-08-11,-0.013858338094737133
2015-08-12,-0.01517681169971985
2015-08-13,0.005707553113329711
2015-08-14,0.004540464812621714
2015-08-17,0.003954890981107351
2015-08-18,-0.004502203218565204
2015-08-19,-0.013001521817844197
2015-08-20,-0.042382726082640265
2015-08-21,-0.03708118626152046
2015-08-24,-0.05031058430955593
2015-08-25,-0.00196226527093446
2015-08-26,0.05242466343264618
2015-08-27,0.02366151041986697
2015-08-28,-0.004866360721711094
2015-08-31,-0.0012225936755969613
2015-09-01,-0.04651152362530331
2015-09-02,0.020605151940315647
