Date,ETR
2015-01-05,-0.007524636033771959
2015-01-06,-0.0018379579620459996
2015-01-07,0.010127617402432953
2015-01-08,0.005924844420592601
2015-01-09,-0.0056635202005029806
2015-01-12,-0.008542903606741703
2015-01-13,-0.011489176209489749
2015-01-14,0.01290137389265067
2015-01-15,0.015375624922920883
2015-01-16,0.0020337664544127776
2015-01-20,0.0003385800303419284
2015-01-21,0.011048253349397408
2015-01-22,-0.002898971619405999
2015-01-23,0.0020128104300141114
2015-01-26,-0.008593706778442067
2015-01-27,-0.004390263597668476
2015-01-28,0.00554043252326597
2015-01-29,0.010907346085686553
2015-01-30,-0.026585159584843754
2015-02-02,0.007313454887044379
2015-02-03,0.014407452053721403
2015-02-04,-0.021807196330441037
2015-02-05,-0.010860988507765623
2015-02-06,-0.04750341196904184
2015-02-09,-0.01346901657015831
2015-02-10,0.01702463819980804
2015-02-11,-0.010752594889694489
2015-02-12,-0.003829157968112895
2015-02-13,-0.01897060225483771
2015-02-17,-0.003286342128161479
2015-02-18,0.01775283492803803
2015-02-19,-0.006229841995333052
2015-02-20,-0.005516249462744094
2015-02-23,0.012102814211945034
2015-02-24,0.0022423796158079767
2015-02-25,-0.013423099493657498
2015-02-26,-0.0022675854033060716
2015-02-27,0.003914104982556177
2015-03-02,-0.023141516911496685
2015-03-03,-0.002446226092795878
2015-03-04,-0.012648372227399562
2015-03-05,0.006797410574931995
2015-03-06,-0.030511745963606063
2015-03-09,0.0004015894438640366
2015-03-10,0.010442002235943715
2015-03-11,-0.0104665457110793
2015-03-12,0.02102026653147404
2015-03-13,-0.021111674002291747
2015-03-16,0.018083940357088935
2015-03-17,-0.0003942579156144266
2015-03-18,0.02856378278860694
2015-03-19,-0.00255975103961259
2015-03-20,0.014241773548535397
2015-03-23,-0.007084022427906178
2015-03-24,-0.015288624233410375
2015-03-25,-0.004528455761185879
2015-03-26,-0.005458852147353865
2015-03-27,0.002091185399328843
2015-03-30,0.008215927983657112
2015-03-31,0.002328449681527456
2015-04-01,0.002580924474215207
2015-04-02,-0.000257517202795543
2015-04-06,0.022402410137643658
2015-04-07,-0.016370687444429377
2015-04-08,-0.0019204029306411075
2015-04-09,-0.012185781073678847
2015-04-10,0.014024223836518468
2015-04-13,-0.010372772744774328
2015-04-14,0.006470070573760811
2015-04-15,0.000385754683620787
2015-04-16,-0.005783198812648216
2015-04-17,-0.0009050803510637362
2015-04-20,0.013844366633445349
2015-04-21,-0.0038289192980435205
2015-04-22,-0.0024339307771304997
2015-04-23,0.008989304084651817
2015-04-24,0.007254910042039375
2015-04-27,-0.012635936883114152
2015-04-28,0.01126158968428892
2015-04-29,-0.007846041970955508
2015-04-30,-0.015560993190031569
2015-05-01,0.00012931027068319167
2015-05-04,0.008161795662347204
2015-05-05,-0.029169959682728175
2015-05-06,0.0030442636469079076
2015-05-07,0.009105377381974256
2015-05-08,-0.0009153124619044606
2015-05-11,-0.004057931026354322
2015-05-12,-0.013685453280240067
2015-05-13,-0.006331866242681006
2015-05-14,0.006372214250987884
2015-05-15,0.01010352803203518
2015-05-18,0.004001276473363902
2015-05-19,0.012353848226035469
2015-05-20,-0.002230662454158705
2015-05-21,0.001052052655190261
2015-05-22,-0.001050947003604752
2015-05-26,-0.007364518750856419
2015-05-27,0.012320811422201317
2015-05-28,0.0018322523029801197
2015-05-29,-0.0010447455073631096
2015-06-01,0.001438400745644941
2015-06-02,-0.019195488540187156
2015-06-03,-0.017042174372386754
2015-06-04,-0.0009479084189625286
2015-06-05,-0.022234209389915383
2015-06-08,-0.0019412420038158462
2015-06-09,-0.015003810797569073
2015-06-10,-0.002680128373663826
2015-06-11,0.010040732645025363
2015-06-12,-0.009940918539721899
2015-06-15,0.0033941448599097424
2015-06-16,-0.0016913720391634746
2015-06-17,0.005082712875931872
2015-06-18,0.011939553269821879
2015-06-19,-0.006523880291365525
2015-06-22,-0.000978159724341121
2015-06-23,-0.010069610603981038
2015-06-24,-0.003815311190654591
2015-06-25,-0.014749335147945186
2015-06-26,0.0149701346815736
2015-06-29,-0.007941787753248608
2015-06-30,0.007862776090892254
2015-07-01,0.013474977950529432
2015-07-02,0.0060183321090458985
2015-07-06,0.008208366570477077
2015-07-07,0.015730821271642492
2015-07-08,-0.004211941842084066
2015-07-09,-0.010641105187572886
2015-07-10,-0.0004133936389969506
2015-07-13,-0.0033110371264608585
2015-07-14,0.0005538571340970577
2015-07-15,-0.0005535505461780055
2015-07-16,0.00996524030872492
2015-07-17,-0.008222441488719534
2015-07-20,-0.0012434614141190181
2015-07-21,-0.013558376587185728
2015-07-22,-0.004207393157845352
2015-07-23,-0.018310303459752042
2015-07-24,-0.00703000423566269
2015-07-27,0.0171941755189291
2015-07-28,-0.005965766847940923
2015-07-29,0.0018573435190532006
2015-07-30,0.0035661072257238136
2015-07-31,0.009380429766706833
2015-08-03,0.002534275625646565
2015-08-04,-0.03679767832143388
2015-08-05,-0.010207146576020065
2015-08-06,0.022981774200941718
2015-08-07,0.011808803073921181
2015-08-10,-0.01921433460316735
2015-08-11,0.01263211093735439
2015-08-12,0.015520919352369766
2015-08-13,-0.003142673105036242
2015-08-14,0.004441835545966999
2015-08-17,0.007988576115684598
2015-08-18,-0.0005660447093099874
2015-08-19,0.003540442044480452
2015-08-20,-0.004374621702469161
2015-08-21,-0.016581731557090418
2015-08-24,-0.05029539624064794
2015-08-25,-0.03490145831086555
2015-08-26,0.010849432310243268
2015-08-27,0.023642854278932868
2015-08-28,0.0013673108903959896
2015-08-31,-0.008648952614739858
