Date,NSC
2015-01-05,-0.025285786297083557
2015-01-06,-0.03186387128240731
2015-01-07,0.0
2015-01-08,0.009611356129384685
2015-01-09,-0.007885433807697462
2015-01-12,-0.011630958688604198
2015-01-13,-0.0047075664625539915
2015-01-14,-0.004138164447263004
2015-01-15,0.007618525351832162
2015-01-16,0.017085684840473236
2015-01-20,-0.001255150399045224
2015-01-21,0.008699513473067855
2015-01-22,0.01667499444071474
2015-01-23,-0.012348065453099966
2015-01-26,0.012693476508408574
2015-01-27,-0.018094855014306965
2015-01-28,-0.011421038574260356
2015-01-29,0.007670100663232704
2015-01-30,-0.01753561940092052
2015-02-02,0.020201774979740073
2015-02-03,0.031145069522170665
2015-02-04,-0.0030936458228103536
2015-02-05,0.01410458350323629
2015-02-06,-0.0005564679023718488
2015-02-09,0.0018555406627263071
2015-02-10,0.005648744247934712
2015-02-11,0.0046957678724974805
2015-02-12,0.00889022416867924
2015-02-13,-0.0015439507752779136
2015-02-17,0.006914682168746689
2015-02-18,0.004879470449522971
2015-02-19,0.003416753773817671
2015-02-20,0.0012547074061988184
2015-02-23,-0.007160086035577384
2015-02-24,-0.0005410173630735482
2015-02-25,-0.0002704391049761501
2015-02-26,-0.00802963362441489
2015-02-27,-0.007185304553199212
2015-03-02,0.00998529125396952
2015-03-03,-0.017052064958294588
2015-03-04,0.005259974260998224
2015-03-05,0.002019204913553896
2015-03-06,-0.008702916063089705
2015-03-09,0.007578109556325208
2015-03-10,-0.01329872570791757
2015-03-11,0.005948623059162106
2015-03-12,0.009332808716546293
2015-03-13,-0.005309680651789939
2015-03-16,0.017763406446379637
2015-03-17,-0.0063304901166006955
2015-03-18,0.011376216149675988
2015-03-19,-0.00737898882432686
2015-03-20,0.0010878561747669213
2015-03-23,-0.03504482541215892
2015-03-24,-0.004598320095254849
2015-03-25,-0.019043784647168938
2015-03-26,-0.001345537786089035
2015-03-27,-0.0027909473152227804
2015-03-30,0.00366721121381941
2015-03-31,-0.010384644115790542
2015-04-01,0.000388593862636899
2015-04-02,0.011558014298420849
2015-04-06,0.0026882160535808275
2015-04-07,0.00028739182789006
2015-04-08,-0.001340165173936314
2015-04-09,0.013899433719632315
2015-04-10,0.005483555176134303
2015-04-13,-0.01391605760551573
2015-04-14,-0.041766340002418856
2015-04-15,0.0024881332032562486
2015-04-16,-0.004665426369267922
2015-04-17,0.0037897316119486213
2015-04-20,0.02374572899713523
2015-04-21,-0.006114223781687467
2015-04-22,0.024997411283734783
2015-04-23,0.011812885082997493
2015-04-24,-0.008661975597505256
2015-04-27,-0.007503044916279511
2015-04-28,-0.001243857827481154
2015-04-29,-0.005781885914520002
2015-04-30,-0.022581665711031707
2015-05-01,0.023400706617128453
2015-05-04,0.005620196122205989
2015-05-05,-0.03083161195137718
2015-05-06,0.0010999652094336732
2015-05-07,0.008690449727817517
2015-05-08,-0.0034660171186230437
2015-05-11,-0.004670710004381351
2015-05-12,-0.01118204021109881
2015-05-13,-0.013327910228881357
2015-05-14,-0.01033561708747599
2015-05-15,0.008788885506456179
2015-05-18,0.004202798520265505
2015-05-19,-0.007043136358843127
2015-05-20,-0.012541113477920085
2015-05-21,0.010930718914301751
2015-05-22,-0.016270281660736186
2015-05-26,-0.010049180807243263
2015-05-27,0.0027492999333327273
2015-05-28,-0.011810536526387194
2015-05-29,-0.0182476146129662
2015-06-01,0.008260813536461464
2015-06-02,-0.0006470142304338955
2015-06-03,-0.0021576337248713218
2015-06-04,-0.0058374502191065325
2015-06-05,0.005980568583927814
2015-06-08,-0.01567389808322206
2015-06-09,-0.006808691006951917
2015-06-10,0.0011059847038430437
2015-06-11,0.021978850636648062
2015-06-12,-0.00896988428052059
2015-06-15,-0.003707625477781251
2015-06-16,0.0
2015-06-17,0.003721423120958134
2015-06-18,0.01374054015427384
2015-06-19,-0.006884870937192256
2015-06-22,0.00530756108721242
2015-06-23,-0.005387181202329061
2015-06-24,-0.024699525370928344
2015-06-25,-0.014105965342819493
2015-06-26,0.0012390440776008926
2015-06-29,-0.021267198644982166
2015-06-30,0.004368682962060166
2015-07-01,0.00847108098689442
2015-07-02,-0.0030647095147015024
2015-07-06,-0.010133321948062934
2015-07-07,0.010121494531079689
2015-07-08,-0.02755572223274738
2015-07-09,0.0025761413144296252
2015-07-10,0.008525663145228402
2015-07-13,0.0012738452569716063
2015-07-14,0.0030072954679296604
2015-07-15,0.0027674403393520564
2015-07-16,-0.015639426718057292
2015-07-17,0.003971837829011893
2015-07-20,0.00174545933755188
2015-07-21,-0.0019747257542274133
2015-07-22,-0.006401103176349121
2015-07-23,-0.02213900371765687
2015-07-24,-0.006228727739453155
2015-07-27,-0.0019289215412104932
2015-07-28,0.025603745673439482
2015-07-29,0.01236474854070102
2015-07-30,-0.0019771513995698875
2015-07-31,-0.017133315851371567
2015-08-03,-0.01565286366545182
2015-08-04,0.0020481101694818094
2015-08-05,-0.00012090048319213231
2015-08-06,-0.011867441525251765
2015-08-07,-0.00600463889551428
2015-08-10,0.018616554207373293
2015-08-11,-0.0198498374240208
2015-08-12,0.004445218481687219
2015-08-13,-0.003933934225516689
2015-08-14,0.008887209541304175
2015-08-17,0.005015824704943883
2015-08-18,0.0024339351865469983
2015-08-19,-0.010321905765984019
2015-08-20,-0.01901766374193714
2015-08-21,-0.02464095132903632
2015-08-24,-0.04154875443020545
2015-08-25,-0.030773494393162792
2015-08-26,0.023191347403668905
2015-08-27,0.051268556233936335
2015-08-28,0.016427054796648743
2015-08-31,-0.016287821274042602
2015-09-01,-0.028237886196208373
