Date,CMG
2015-01-05,-0.015787147874837815
2015-01-06,-0.004957409669177015
2015-01-07,0.04497426193158738
2015-01-08,0.03706109890961251
2015-01-09,-0.007944548367687654
2015-01-12,-0.003598091983832652
2015-01-13,0.003316018143797672
2015-01-14,-0.006049913842634536
2015-01-15,-0.012624353119895848
2015-01-16,0.014740730771067856
2015-01-20,-0.007495377540944315
2015-01-21,-0.0026778766888996275
2015-01-22,0.013567459936539628
2015-01-23,0.00035042291695019934
2015-01-26,0.013647408420192297
2015-01-27,-0.0029028251594263033
2015-01-28,-0.012948303629701563
2015-01-29,0.003567421466263987
2015-01-30,-0.0065637266613189915
2015-02-02,0.0038177738320499532
2015-02-03,0.019760016173181016
2015-02-04,-0.06967782206899664
2015-02-05,-0.007529653486116894
2015-02-06,-0.01638073683287322
2015-02-09,-0.018047584725631838
2015-02-10,0.026265006249192924
2015-02-11,0.006932039071636309
2015-02-12,0.0009706360347008225
2015-02-13,0.006862701856726217
2015-02-17,-0.005867607439561273
2015-02-18,0.005425281487648315
2015-02-19,-0.001912310933713579
2015-02-20,0.0010693566189945436
2015-02-23,-0.004198784786828336
2015-02-24,-0.004857178684454566
2015-02-25,0.011393731516500694
2015-02-26,-0.007742180402029231
2015-02-27,-0.00793682862630718
2015-03-02,0.00885752409821361
2015-03-03,-0.0036222309064340985
2015-03-04,-0.006388075668178783
2015-03-05,0.009530783946090082
2015-03-06,-0.017613938048219757
2015-03-09,0.0025202118996308087
2015-03-10,-0.008480514695847208
2015-03-11,0.00920974331385449
2015-03-12,0.014558771008975624
2015-03-13,0.006145700538235044
2015-03-16,0.00647873882153327
2015-03-17,-0.010134335219596391
2015-03-18,0.001904794207506999
2015-03-19,0.010976149997468099
2015-03-20,0.008785412777935209
2015-03-23,0.0010049239956351208
2015-03-24,-0.00950039075060538
2015-03-25,-0.0217976089994264
2015-03-26,-0.010736193134338157
2015-03-27,0.00591967969791396
2015-03-30,-0.011105789896077578
2015-03-31,-0.0073546836613638256
2015-04-01,0.0030589732484056498
2015-04-02,-0.00021454858641267727
2015-04-06,0.011695480283387738
2015-04-07,-0.0023635956563764493
2015-04-08,-0.005938123850062871
