Date,QCOM
2015-01-05,-0.004712304395124822
2015-01-06,-0.014202241006135985
2015-01-07,0.01166278294215517
2015-01-08,0.010579076899479789
2015-01-09,-0.001207623433641558
2015-01-12,-0.011421926207844435
2015-01-13,-0.008155417583494917
2015-01-14,-0.01027798807628666
2015-01-15,-0.011631423122903106
2015-01-16,-0.0012605775108809336
2015-01-20,0.016692524924048158
2015-01-21,-0.01227957149516512
2015-01-22,0.00447017056550858
2015-01-23,0.0037543607764933817
2015-01-26,0.005957205555541245
2015-01-27,-0.01156852705821898
2015-01-28,-0.010867914231269427
2015-01-29,-0.10283151394645251
2015-01-30,-0.019312191705976978
2015-02-02,0.04915170000717772
2015-02-03,0.02182145694196347
2015-02-04,0.0
2015-02-05,0.0147854431110237
2015-02-06,-0.02354694241433486
2015-02-09,0.011454232677601706
2015-02-10,0.04693829009680006
2015-02-11,-0.0007120391075933208
2015-02-12,0.00256390341141266
2015-02-13,0.006961388918022893
2015-02-17,-0.0011287732437360587
2015-02-18,-0.0036725129034187454
2015-02-19,0.006237885709997837
2015-02-20,0.007607685661022989
2015-02-23,-0.008109870546193165
2015-02-24,0.006061845029764257
2015-02-25,0.004343568395263064
2015-02-26,0.004603611303541921
2015-02-27,0.0069432677856891
2015-03-02,0.007906793077073537
2015-03-03,-0.017203310659600457
2015-03-04,-0.007841804637176764
2015-03-05,0.0011291534505566414
2015-03-06,0.008176821948715052
2015-03-09,0.016781198584904455
2015-03-10,-0.01127808622571469
2015-03-11,-0.02253442161315855
2015-03-12,-0.012807592102173415
2015-03-13,-0.010523305259256932
2015-03-16,0.01981342888758575
2015-03-17,-0.002571427775875046
2015-03-18,0.00587260432543224
2015-03-19,-0.005695754524059349
2015-03-20,0.0030074611391199824
2015-03-23,0.0004279724366418325
2015-03-24,-0.015698419924442875
2015-03-25,-0.025518362657749538
2015-03-26,-0.0007439323494723427
2015-03-27,-0.0019358321328735162
2015-03-30,0.02759987624966076
2015-03-31,0.006678045583530912
2015-04-01,0.0012981366128821392
2015-04-02,-0.02102827264784235
2015-04-06,-0.0030896844624935804
2015-04-07,-0.006493511408892871
2015-04-08,-0.0008910619439291834
2015-04-09,0.023044675802674774
2015-04-10,0.005086363826445339
2015-04-13,-0.006217295251475963
2015-04-14,0.0034917985012334896
2015-04-15,-0.00739435483235229
2015-04-16,-0.008033837599720539
2015-04-17,-0.011780600005226627
2015-04-20,0.02279842049489278
2015-04-21,-0.001019493450074016
2015-04-22,0.005395746551237979
2015-04-23,-0.008703240459186912
2015-04-24,-0.00146326280435638
2015-04-27,0.014507725519993686
2015-04-28,0.00606660687139815
2015-04-29,-0.014070500376756945
2015-04-30,-0.009756659404433154
2015-05-01,0.006176492729096372
2015-05-04,0.009353677111884728
2015-05-05,-0.009991000456995858
2015-05-06,-0.00819063103501727
2015-05-07,0.009143121411348432
2015-05-08,0.014321204785537889
2015-05-11,-0.005186717545586306
2015-05-12,-0.0037654684606454047
2015-05-13,0.0136649631629977
2015-05-14,0.011329313858508216
2015-05-15,0.007657544591790577
2015-05-18,-0.009006532724543992
2015-05-19,-0.011360411643298374
2015-05-20,-0.004883373477394648
2015-05-21,0.011691269865008458
2015-05-22,-0.008274966338766454
2015-05-26,-0.0021580971849176622
2015-05-27,0.023933062116366477
2015-05-28,-0.005913560614935198
2015-05-29,-0.013031501434657367
2015-06-01,0.00317956129650776
2015-06-02,-0.0010085054490773793
2015-06-03,0.007354082382087679
2015-06-04,-0.0137418421893849
2015-06-05,-0.009288627933072946
2015-06-08,-0.014357296562988897
2015-06-09,-0.0065394601487238635
2015-06-10,0.007031384439608601
2015-06-11,0.004308733079604776
2015-06-12,-0.008432048838667994
2015-06-15,-0.005967597889670939
2015-06-16,-0.0025513806223662616
2015-06-17,0.0013546413289311499
2015-06-18,0.012170992455224683
2015-06-19,-0.007125928637111589
2015-06-22,0.007177071939576507
2015-06-23,-0.005641470453005559
2015-06-24,-0.024335544717618673
2015-06-25,-0.0013771827446203977
2015-06-26,-0.009040995530472329
2015-06-29,-0.031699110077016535
2015-06-30,0.00015984506498489814
2015-07-01,0.004310897682242798
2015-07-02,0.003338564358207563
2015-07-06,0.0
2015-07-07,-0.004911800436294134
2015-07-08,-0.01417196732804249
2015-07-09,-0.0008078972013138008
2015-07-10,0.014064281364678966
2015-07-13,0.01115889391511038
2015-07-14,0.008040365655142878
2015-07-15,-0.0009387131750461242
2015-07-16,0.010488571155855109
2015-07-17,-0.0032533832953007824
2015-07-20,-0.008548302357758164
2015-07-21,0.02116333036276119
2015-07-22,-0.014584138947353553
2015-07-23,-0.037544821533222805
2015-07-24,-0.0022660319721338196
2015-07-27,0.005515766522549148
2015-07-28,0.01807058156758612
2015-07-29,0.0011091929410445012
2015-07-30,0.019629590057353763
2015-07-31,-0.0003104894012078141
2015-08-03,0.0006210925596417116
2015-08-04,-0.01521012921790832
2015-08-05,0.0067768435273529715
2015-08-06,-0.016280123283691772
2015-08-07,0.0028642192753023377
2015-08-10,0.0020627756295021893
2015-08-11,-0.009501258348659336
2015-08-12,0.00047966470053006915
2015-08-13,-0.008788877049084931
2015-08-14,-0.001934168311321538
2015-08-17,0.002583806478547279
2015-08-18,-0.012082713283524726
2015-08-19,-0.002283196628129369
2015-08-20,-0.01683540566549402
2015-08-21,-0.04222797920879284
2015-08-24,-0.040444145701775014
2015-08-25,-0.02532570773115972
2015-08-26,0.05159607668217081
2015-08-27,0.012354531662639667
2015-08-28,0.0015691068621361826
2015-08-31,-0.006845675490314784
2015-09-01,-0.027571804251903087
