Date,TKO
2015-01-05,-0.01828772254376665
2015-01-06,0.002540226830264558
2015-01-07,-0.04138540161772486
2015-01-08,-0.011453645885136865
2015-01-09,-0.025846608007130678
2015-01-12,-0.005489493340955498
2015-01-13,-0.002759380929910016
2015-01-14,-0.01107096331791002
2015-01-15,-0.03917880606139279
2015-01-16,-0.0009709490983856872
2015-01-20,-0.023323790346854056
2015-01-21,0.007960260222828364
2015-01-22,0.02270494111433119
2015-01-23,0.015444131707631481
2015-01-26,-0.003802682902711463
2015-01-27,0.19274887547424524
2015-01-28,-0.03280011139101502
2015-01-29,0.031430861646067676
2015-01-30,-0.028869453348659202
2015-02-02,0.016515354450880926
2015-02-03,0.008123377765234308
2015-02-04,0.007252598419757117
2015-02-05,0.02079972249201667
2015-02-06,0.036833810724459015
2015-02-09,-0.010581983655000737
2015-02-10,0.003055833383269535
2015-02-11,0.018278714956024622
2015-02-12,0.07404657549423299
2015-02-13,0.15529230246497483
2015-02-17,0.04581076311453658
2015-02-18,-0.07896257464367717
2015-02-19,0.033792121386445384
2015-02-20,-0.021186319501414252
2015-02-23,0.006802762632960979
2015-02-24,0.02088448464157988
2015-02-25,0.009025160094840112
2015-02-26,-0.0005964161232697718
2015-02-27,-0.01909308994478942
2015-03-02,0.049270149347561354
2015-03-03,0.0005796901198191762
2015-03-04,-0.005793672769965563
2015-03-05,-0.004079243751800354
2015-03-06,0.004681135060507158
2015-03-09,-0.01630714429918545
2015-03-10,-0.010657684174942506
2015-03-11,-0.014466386784587337
2015-03-12,0.046483092532056514
2015-03-13,-0.025131505470669224
2015-03-16,-0.00899297321898862
2015-03-17,-0.027827977185860275
2015-03-18,-0.013690045734012335
2015-03-19,0.029653063056356954
2015-03-20,0.010416663111114888
2015-03-23,0.004851347955863394
2015-03-24,-0.001207233639076155
2015-03-25,-0.02779434732977848
2015-03-26,0.01615910916549068
2015-03-27,0.010397550891189988
2015-03-30,-0.1470945410115898
2015-03-31,-0.005677775674487906
2015-04-01,-0.029264619904432965
2015-04-02,0.009558661376169342
2015-04-06,-0.025491720159007136
2015-04-07,0.0014950571935357093
2015-04-08,0.029850686703810858
2015-04-09,-0.005797170949575214
2015-04-10,-0.021865888976083325
2015-04-13,0.016393619548047855
2015-04-14,-0.0065985741342690085
2015-04-15,0.0044284889479353495
2015-04-16,0.03232901839895175
2015-04-17,-0.014946767706868203
2015-04-20,0.013728197657452812
2015-04-21,0.008552926908038438
2015-04-22,0.0028274018782892263
2015-04-23,0.03312167062271487
2015-04-24,-0.012278247462433667
2015-04-27,-0.009668605101627592
2015-04-28,-0.028591397773440663
2015-04-29,0.030868873848878486
2015-04-30,-0.06545974952834555
2015-05-01,0.005961240727745176
2015-05-04,0.011851747317984218
2015-05-05,0.0
2015-05-06,-0.016105348255135654
2015-05-07,0.006696602873312196
2015-05-08,-0.01108676115226559
2015-05-11,0.0044844221785051985
2015-05-12,0.009672622131516428
2015-05-13,0.00663220339052617
2015-05-14,0.0021962505839703272
2015-05-15,-0.0014608770438118146
2015-05-18,0.01755682393778657
2015-05-19,-0.005751406875273202
2015-05-20,-0.00867661257092589
2015-05-21,-0.0036472297810020704
2015-05-22,-0.011712928647302778
2015-05-26,0.021481379698505165
2015-05-27,0.018129228966467625
2015-05-28,0.01851852292699796
2015-05-29,0.0
2015-06-01,-0.030769249947040778
2015-06-02,-0.00649343393985391
2015-06-03,0.047204075331692685
2015-06-04,0.026352197939018662
2015-06-05,0.005405470510499999
2015-06-08,0.04569898551521123
2015-06-09,0.009639922398889667
2015-06-10,0.016549902492239976
2015-06-11,-0.030284078090186184
2015-06-12,0.012362198895454535
2015-06-15,0.0044982836169953355
2015-06-16,0.011516600881167793
2015-06-17,0.04048055251999827
2015-06-18,-0.0024314843104967787
2015-06-19,-0.0054842923011697575
2015-06-22,-0.0042894822586105885
2015-06-23,0.03200010179608159
2015-06-24,0.0327966134439186
2015-06-25,0.012124829047699182
2015-06-26,-0.002281872573665411
2015-06-29,-0.0600343797080064
2015-06-30,0.0036495456849996444
2015-07-01,0.009090921884590486
2015-07-02,-0.007207031308368861
2015-07-06,-0.0133090752975078
2015-07-07,-0.04537117587750006
2015-07-08,-0.005137889704854182
2015-07-09,0.07359577166403275
2015-07-10,-0.010222205762092873
2015-07-13,-0.014581112282236242
2015-07-14,0.03884097502501205
2015-07-15,0.006528128338750827
2015-07-16,0.005896603834451675
2015-07-17,-0.007620331444329942
2015-07-20,-0.0023628728139197808
2015-07-21,0.020130351568215632
2015-07-22,0.022054720560778618
2015-07-23,-0.02157880602388662
2015-07-24,-0.036564101152247175
2015-07-27,-0.03554206109423308
2015-07-28,0.02623323252757559
2015-07-29,0.003043442445543443
2015-07-30,0.17475728415906167
2015-07-31,0.010847098056583127
2015-08-03,0.030659436550897645
2015-08-04,0.10213159315465781
2015-08-05,0.035087405145413975
2015-08-06,-0.04737006452503312
2015-08-07,0.002280687612282728
2015-08-10,-0.03231708317525672
2015-08-11,-0.021636819322546685
2015-08-12,0.0004812093899835279
2015-08-13,0.009610100749256612
2015-08-14,0.017135021103264148
2015-08-17,0.005615728759452265
2015-08-18,-0.013960200800989364
2015-08-19,0.023596029315503975
2015-08-20,-0.043337846354123966
2015-08-21,-0.01012057833520541
2015-08-24,-0.06962023612865031
2015-08-25,0.012035605385639192
2015-08-26,0.027404268359618067
2015-08-27,0.00654250480081231
2015-08-28,-0.025499899267138026
2015-08-31,0.02924530143055093
2015-09-01,-0.09172436982201226
2015-09-02,0.03512585279078384
2015-09-03,0.030753399182104513
