Date,GE
2015-01-05,-0.01835599274892763
2015-01-06,-0.021544707581192535
2015-01-07,0.0004156121859346662
2015-01-08,0.012043035828184001
2015-01-09,-0.013951214621528485
2015-01-12,-0.0020811323588573183
2015-01-13,-0.005004203512340433
2015-01-14,-0.003352446753079996
2015-01-15,-0.008410872510048684
2015-01-16,0.00042432762287658576
2015-01-20,0.011021375275684253
2015-01-21,0.007966432473411889
2015-01-22,0.009983582940954694
2015-01-23,0.008236902994930517
2015-01-26,0.004493570727917673
2015-01-27,-0.008540038790379567
2015-01-28,-0.02214929882798855
2015-01-29,0.010067337614516614
2015-01-30,-0.007890493847942937
2015-02-02,0.013394892277425852
2015-02-03,0.010739279575952665
2015-02-04,-0.012668504576029527
2015-02-05,0.014072553844467706
2015-02-06,0.0008166356266703367
2015-02-09,0.004893616488828023
2015-02-10,0.0032468507622873677
2015-02-11,0.0020226672625098807
2015-02-12,0.004844902684191688
2015-02-13,0.010445655034676093
2015-02-17,0.0007952339197283553
2015-02-18,0.0031784081009809118
2015-02-19,-0.00039950336392879926
2015-02-20,0.007996575790292226
2015-02-23,-0.0015866275704404798
2015-02-24,0.008740575477035772
2015-02-25,0.020480438055426653
2015-02-26,-0.0007718455984534467
2015-02-27,0.003862493687526447
2015-03-02,0.004617243750061117
2015-03-03,-0.00957501220101864
2015-03-04,-0.007733878265605454
2015-03-05,0.0062352827809919464
2015-03-06,-0.015491790767379388
2015-03-09,0.00865461390954314
2015-03-10,-0.018330740488244346
2015-03-11,0.0007946842824611
2015-03-12,0.00833653521998512
2015-03-13,-0.014173194190082783
2015-03-16,0.01637376597794815
2015-03-17,-0.005500936888834018
2015-03-18,0.013038304898063569
2015-03-19,-0.012090378323034168
2015-03-20,0.002763389217224743
2015-03-23,0.0027557739412304993
2015-03-24,-0.007852301185704902
2015-03-25,-0.014245816491729846
2015-03-26,-0.004416234666221652
2015-03-27,0.002419547285295698
2015-03-30,0.010458310873362908
2015-03-31,-0.012340658747426958
2015-04-01,0.0012092488413253388
2015-04-02,0.0040256891080310275
2015-04-06,0.009623195729295597
2015-04-07,-0.006354217438221066
2015-04-08,-0.00039957697567649664
2015-04-09,0.028788335880494564
2015-04-10,0.10804488114536737
2015-04-13,-0.03086627794669361
2015-04-14,0.0036192532751093687
2015-04-15,-0.00973695672179442
2015-04-16,-0.006555042049453452
2015-04-17,-0.0010994905560927082
2015-04-20,-0.008440351166750237
2015-04-21,-0.01480357199966531
2015-04-22,0.010893947686099414
2015-04-23,-0.0022297629464694824
2015-04-24,-0.0018622653760412833
2015-04-27,0.002985266306214651
2015-04-28,0.008928457594144845
2015-04-29,-0.0011061127728204667
2015-04-30,-0.0003691125376993343
2015-05-01,0.008493743725933589
2015-05-04,-0.0014647581654650965
2015-05-05,-0.01283514760382587
2015-05-06,-0.004085879230945499
2015-05-07,0.00857900769761688
2015-05-08,0.011833984875268877
2015-05-11,-0.01608196064331613
2015-05-12,0.004086084561828018
2015-05-13,0.0066591848653847485
2015-05-14,0.0073505094408461424
2015-05-15,-0.005107179722553146
