Date,COO
2015-01-05,-0.007720708196381709
2015-01-06,-0.014118132696917862
2015-01-07,0.032459366422085356
2015-01-08,0.004068692953245412
2015-01-09,-0.0062624656894280095
2015-01-12,-0.0046336479842804534
2015-01-13,6.207590953555275e-05
2015-01-14,-0.0029171019145337596
2015-01-15,-0.005975494333537057
2015-01-16,0.0003756715739864358
2015-01-20,0.0016902222790191601
2015-01-21,0.016875996013842265
2015-01-22,0.008666824674747442
2015-01-23,-0.014320562659484337
2015-01-26,0.0028437542092714096
2015-01-27,0.0022809939478256602
2015-01-28,-0.015377186110831609
2015-01-29,0.00012511825346384065
2015-01-30,-0.015302913028385379
2015-02-02,0.0010784429533741147
2015-02-03,0.00012652241045141288
2015-02-04,0.013684873902368055
2015-02-05,0.009562474050071268
2015-02-06,-0.0015477615337907702
2015-02-09,-0.015190760692692096
2015-02-10,0.019328685944301816
2015-02-11,0.00037066294838994374
2015-02-12,0.006544945464294516
2015-02-13,0.013372422752082613
2015-02-17,-0.011501185611477283
2015-02-18,0.011084008234289344
2015-02-19,-0.004603259090026901
2015-02-20,0.008883677630805886
2015-02-23,-0.004764556443317747
2015-02-24,-0.0035752140236444685
2015-02-25,-0.0058992365321965945
2015-02-26,0.01217425448744236
2015-02-27,-0.008945577366912039
2015-03-02,0.010733904970310126
2015-03-03,-0.005792721122236721
2015-03-04,-0.0030949683149440466
2015-03-05,0.006087777969418395
2015-03-06,0.09076615310516889
2015-03-09,0.017696638815047905
2015-03-10,-0.0065958407557134
2015-03-11,0.01750428563122841
2015-03-12,-0.002049286604365763
2015-03-13,0.0042693424396333945
2015-03-16,0.012430088107372228
2015-03-17,-0.0021790944910010657
2015-03-18,-0.00793666499636414
2015-03-19,0.005959731424621362
2015-03-20,0.0004271133932201021
2015-03-23,-0.01733899605623057
2015-03-24,-0.0017372758180403958
2015-03-25,0.002936697728846749
2015-03-26,0.0036873798337009323
2015-03-27,0.005835095905834198
2015-03-30,0.015684607528388295
2015-03-31,-0.00883169026452213
2015-04-01,-0.004428516165642105
2015-04-02,0.005948789232641527
2015-04-06,0.003622665731010999
2015-04-07,-0.01767703760120165
2015-04-08,0.007889851906951684
2015-04-09,0.002198337831330832
2015-04-10,0.0017655605513653416
2015-04-13,-0.004486018150814397
2015-04-14,-0.01797129202771308
2015-04-15,-0.002130356574768788
2015-04-16,-0.014999908768334014
2015-04-17,0.0021676706411826174
2015-04-20,0.003992825784644882
2015-04-21,0.003921799132741821
2015-04-22,0.006492571313972517
2015-04-23,0.00032796717519967267
2015-04-24,-0.006776434477867688
2015-04-27,-0.005942158070809556
2015-04-28,0.007915090343870723
2015-04-29,-0.006699732652154067
2015-04-30,-0.015534976032350212
2015-05-01,-0.00039341470830089875
2015-05-04,0.006067687948998479
2015-05-05,-0.009157842845802344
2015-05-06,0.002141563794802126
2015-05-07,-0.0020806693359948225
2015-05-08,0.01916011563826303
2015-05-11,-0.008404989648367445
2015-05-12,-0.004460937067050863
2015-05-13,-0.0007842027633020443
2015-05-14,0.01339779064714719
2015-05-15,0.0011062254698941398
2015-05-18,0.007514527876026023
2015-05-19,0.003948676595488143
2015-05-20,-0.0015297608900876059
2015-05-21,-0.016303329951984913
2015-05-22,0.005283380955644734
2015-05-26,-0.00874122591170079
2015-05-27,5.580830002549497e-05
2015-05-28,0.008929682991560606
2015-05-29,0.005476154371227171
2015-06-01,0.006601624175343712
2015-06-02,-0.003771132925876053
2015-06-03,0.014044342538426235
2015-06-04,-0.025427365521284773
2015-06-05,-0.026479255149896908
2015-06-08,-0.011062369122209148
2015-06-09,-0.011532222659094482
2015-06-10,0.010558266184000686
2015-06-11,0.020491877427171845
2015-06-12,0.0038465726214629292
2015-06-15,-0.006649063678575429
2015-06-16,0.0005670267607491564
2015-06-17,0.007880395164784115
2015-06-18,0.00028139524223602663
2015-06-19,0.012202600884099413
2015-06-22,-0.014777914229658573
2015-06-23,-0.0006766966169652333
2015-06-24,-0.015630379915012704
2015-06-25,0.007165487098959256
2015-06-26,0.01809910414699134
2015-06-29,-0.011907465469897183
2015-06-30,0.006902439836666607
2015-07-01,-0.010170100170100116
2015-07-02,0.002440760650793239
2015-07-06,-0.00062312012010457
2015-07-07,0.005949798934274053
2015-07-08,-0.020447111550525254
2015-07-09,0.004485317390539922
2015-07-10,0.008243664604058232
2015-07-13,0.011810281964025338
2015-07-14,0.008305016325268255
2015-07-15,-0.02437661471938235
2015-07-16,0.007815226233469419
2015-07-17,-0.014716785287420597
2015-07-20,0.013557962245099198
2015-07-21,-0.015757039942104867
2015-07-22,-0.006450718806330413
2015-07-23,0.007014383771413613
2015-07-24,-0.00184220810826774
2015-07-27,-0.008823988638234082
2015-07-28,0.01943452871225615
2015-07-29,0.0069634357673045155
2015-07-30,0.00045334745365077644
2015-07-31,0.00283283052063954
2015-08-03,0.0008472412021427456
2015-08-04,-0.006660875326517934
2015-08-05,0.01454812921164872
2015-08-06,-0.019212600286021453
2015-08-07,-0.006967414017154061
2015-08-10,0.009891814759776851
2015-08-11,-0.012585341928775695
2015-08-12,0.0022493954870852484
2015-08-13,0.0005176758824703143
2015-08-14,-0.0033355893554440907
2015-08-17,0.00409692500826786
2015-08-18,0.005862329437823277
2015-08-19,-0.02354061415811748
2015-08-20,-0.02592115074162915
2015-08-21,-0.02432864297179016
2015-08-24,-0.030292092675151316
2015-08-25,-0.0033014236157921095
2015-08-26,0.02732805822818629
2015-08-27,0.018168485682742652
2015-08-28,0.0032886701055652168
2015-08-31,-0.014082632897917557
2015-09-01,-0.01853226320152579
