Date,MCK
2015-01-05,0.008204698587993553
2015-01-06,-0.002298098982875585
2015-01-07,0.030371240380342668
2015-01-08,0.011408948090672721
2015-01-09,-0.002440196080820578
2015-01-12,-0.009276983434448938
2015-01-13,-4.646556554832593e-05
2015-01-14,-0.005217639641484917
2015-01-15,-0.01044353333450565
2015-01-16,0.012683430893067893
2015-01-20,0.004159089120599591
2015-01-21,0.0016756672742344048
2015-01-22,0.017004621030607847
2015-01-23,-0.005573533653586371
2015-01-26,0.0058349510711874775
2015-01-27,-0.005618193145325412
2015-01-28,0.0010563950382560527
2015-01-29,0.00729558100638239
2015-01-30,-0.03133975111535603
2015-02-02,0.010252074602377093
2015-02-03,-0.007913218387087584
2015-02-04,-0.010744857026796284
2015-02-05,0.023809359430917665
2015-02-06,0.03196537904505026
2015-02-09,-0.02020123939587337
2015-02-10,0.019197356209483596
2015-02-11,0.005754406336621054
2015-02-12,0.004648043833623383
2015-02-13,0.0005337578865984849
2015-02-17,0.005158353554635342
2015-02-18,-0.001813705794031173
2015-02-19,-0.001285521455401506
2015-02-20,0.01690710568064091
2015-02-23,0.002880187949190205
2015-02-24,0.0016533923368591275
2015-02-25,-0.002606268625378827
2015-02-26,0.0004357893341480068
2015-02-27,-0.0033121116897580904
2015-03-02,-0.0020987506696775737
2015-03-03,-0.002322401216313885
2015-03-04,-8.759394668500509e-05
2015-03-05,0.006720357919752562
2015-03-06,-0.020070249333153267
2015-03-09,0.0033393447424301392
2015-03-10,-0.019968723871024774
2015-03-11,0.006021826568102684
2015-03-12,0.013052476228858856
2015-03-13,-0.0019546989381152846
2015-03-16,0.021812503489357704
2015-03-17,-0.005837548396682601
2015-03-18,0.0032427114840485327
2015-03-19,-0.01393338601655314
2015-03-20,0.018560044619820193
2015-03-23,0.001391741490647247
2015-03-24,-0.008078061712981421
2015-03-25,-0.012609190058671227
2015-03-26,0.0023501322668360025
2015-03-27,0.0002652730656904634
2015-03-30,0.013400519969786417
2015-03-31,-0.012830596536023808
2015-04-01,-0.015428891344331452
2015-04-02,0.003637306040084054
2015-04-06,0.004070855823012254
2015-04-07,-0.01154010565889263
2015-04-08,0.0029303283359123355
2015-04-09,0.003550071560667112
2015-04-10,0.004747716945665559
2015-04-13,-0.0016493633161505095
2015-04-14,0.009108655140585453
2015-04-15,-0.0015487113702231659
2015-04-16,0.004032397427185641
2015-04-17,0.006444054493863538
2015-04-20,0.005262510300673817
2015-04-21,0.008986648661027719
2015-04-22,-8.665919859174309e-05
2015-04-23,-0.009339570383191886
2015-04-24,0.0003930639289992932
2015-04-27,-0.008857333410521417
2015-04-28,0.005942819402357635
2015-04-29,-0.01365327517067949
2015-04-30,-0.008872800997529406
2015-05-01,0.006893484463013966
2015-05-04,0.004267590837538693
2015-05-05,-0.013811188836764576
2015-05-06,0.0005385560837440906
2015-05-07,0.0041276959271165925
2015-05-08,0.02350064291725329
2015-05-11,-0.0023573943067650704
2015-05-12,0.004419514812091352
2015-05-13,0.012328340743803512
2015-05-14,0.030553378497626626
2015-05-15,0.0018794585304744427
2015-05-18,0.01175304022115875
2015-05-19,-0.0006178654813524531
2015-05-20,-0.0032973425711507742
2015-05-21,-0.009760334773598944
2015-05-22,0.004886552199238281
2015-05-26,-0.011429400234620357
2015-05-27,0.005633705560680102
2015-05-28,-0.005685938227817933
2015-05-29,-0.002564584788970592
2015-06-01,0.00438432164628999
2015-06-02,-0.00692527710539903
2015-06-03,0.0016907213816721445
2015-06-04,-0.008700072099159128
2015-06-05,0.003109989852552175
2015-06-08,-0.008621619804479397
2015-06-09,0.0024845504988266764
2015-06-10,0.008333122291715789
2015-06-11,0.007035474774565564
2015-06-12,-0.01047927560217643
2015-06-15,-0.005741679332032512
2015-06-16,0.002865881464385822
2015-06-17,-0.0029003605876539718
2015-06-18,0.009753495118344668
2015-06-19,-0.0008048645175033897
2015-06-22,-0.0003815845023499298
2015-06-23,-0.0009331804172145741
2015-06-24,-0.021270288370351054
2015-06-25,-0.005205396782615668
2015-06-26,-0.006148360194949798
2015-06-29,-0.01597043091121042
2015-06-30,0.0023630145606623465
2015-07-01,0.0043148580496583655
2015-07-02,-0.006732246644039153
2015-07-06,0.0014270919284804506
2015-07-07,0.01625211741103927
2015-07-08,-0.016255189705839723
2015-07-09,0.010600362226831805
2015-07-10,0.011723313391439616
2015-07-13,0.008145686992485413
2015-07-14,0.010370380197583184
2015-07-15,0.0026086768065243238
2015-07-16,0.002474093764055718
2015-07-17,-0.0023828604861383385
2015-07-20,0.00038405799550300657
2015-07-21,-0.008782859980889679
2015-07-22,0.01135524287673828
2015-07-23,-0.024029334661970214
2015-07-24,-0.012288324721198118
2015-07-27,-0.008382890065911863
2015-07-28,0.008809369124082256
2015-07-29,0.0004853702405942517
2015-07-30,-0.04183379633493667
2015-07-31,0.014768141574640126
2015-08-03,0.013192805848109002
2015-08-04,-0.002550520131049283
2015-08-05,0.0021984043851084323
2015-08-06,-0.0224263040090229
2015-08-07,-0.010302671249360573
2015-08-10,0.005551957997699475
2015-08-11,-0.008373856136674629
2015-08-12,-0.0015777943369591485
2015-08-13,-0.004136211287841696
2015-08-14,0.004620279204167854
2015-08-17,0.0046914265988491355
2015-08-18,-0.003606086799768593
2015-08-19,0.0
2015-08-20,-0.023293536350236344
2015-08-21,-0.03781661508443923
2015-08-24,-0.023354614419916042
2015-08-25,-0.04732046296989423
2015-08-26,0.05014832649260503
2015-08-27,0.004952380984158289
2015-08-28,0.011128327161812113
2015-08-31,-0.01603556245265403
2015-09-01,-0.009110421563066406
