Date,FE
2015-01-05,-0.02678567652909769
2015-01-06,0.005242242064457336
2015-01-07,0.008344140148641932
2015-01-08,0.009051060874049055
2015-01-09,-0.0012816056438592627
2015-01-12,-0.01308673720517295
2015-01-13,0.004420013329001771
2015-01-14,0.023815820033932233
2015-01-15,0.009608000150288731
2015-01-16,0.02479339026775329
2015-01-20,0.000977519369358637
2015-01-21,0.008300692043522906
2015-01-22,-0.010169193411848854
2015-01-23,0.008561462686755172
2015-01-26,0.002910580491371162
2015-01-27,-0.005320769161329952
2015-01-28,-0.009481955970715994
2015-01-29,0.015464044865936444
2015-01-30,-0.025139045817019756
2015-02-02,0.0004957997940613357
2015-02-03,0.0022309104564921522
2015-02-04,0.001995591151149334
2015-02-05,0.02166349779262422
2015-02-06,-0.050938233710115965
2015-02-09,-0.02542380096187491
2015-02-10,0.017654788527522225
2015-02-11,-0.027706026735573985
2015-02-12,-0.010120133714210167
2015-02-13,0.001614717560973089
2015-02-17,-0.00805836582437136
2015-02-18,-0.022203775942365
2015-02-19,0.003322932581435234
2015-02-20,-0.01048844449141062
2015-02-23,-0.006973366132614456
2015-02-24,0.013202036792907323
2015-02-25,-0.006099179748654038
2015-02-26,-0.006694555875801367
2015-02-27,-0.01769158510308233
2015-03-02,-0.019725436907469862
2015-03-03,0.002041402482862109
2015-03-04,-0.001455271615552145
2015-03-05,0.012824010960713617
2015-03-06,-0.018704863234047853
2015-03-09,0.0014664537835196167
2015-03-10,0.007320501329731055
2015-03-11,-0.006686090938614608
2015-03-12,0.028680178770097875
2015-03-13,-0.01564712323827866
2015-03-16,0.01473989225950878
2015-03-17,-0.0014241013634623823
2015-03-18,0.029948611372373923
2015-03-19,-0.004707758641351201
2015-03-20,0.012242560687516946
2015-03-23,0.0
2015-03-24,-0.01869176062101685
2015-03-25,-0.02184860096653274
2015-03-26,-0.006014055704451682
2015-03-27,-0.0020165327284242807
2015-03-30,0.025115730967709027
2015-03-31,-0.012672536459556683
2015-04-01,-0.016258059074328535
2015-04-02,0.024644928145222345
2015-04-06,0.012450830956115322
2015-04-07,0.0008381488079010069
2015-04-08,-0.004467994691527144
2015-04-09,0.001682986863469127
2015-04-10,0.015121843375579536
2015-04-13,-0.015448289815779614
2015-04-14,0.0014008761353245802
2015-04-15,0.0
2015-04-16,-0.013709988420892438
2015-04-17,-0.0051065032512386255
2015-04-20,0.029370053031179566
2015-04-21,-0.016897524079239945
2015-04-22,0.00028163835320849095
2015-04-23,0.002816912815283956
2015-04-24,0.020224454650915824
2015-04-27,-0.0022027495678103026
2015-04-28,0.003311499531438944
2015-04-29,-0.0005497990982132883
2015-04-30,-0.011832834361470534
2015-05-01,0.00946812041894951
2015-05-04,0.011034446478972892
2015-05-05,-0.02700451183865349
2015-05-06,-0.013593947897654557
2015-05-07,-0.002296937275180211
2015-05-08,0.00978395613098737
2015-05-11,-0.0042747234170501525
2015-05-12,-0.0022894571566300925
2015-05-13,-0.009179509850040013
2015-05-14,0.011870009955383676
2015-05-15,0.008297853311860282
2015-05-18,0.0025538666708653235
2015-05-19,0.004811791615160654
2015-05-20,0.009295840872224792
2015-05-21,0.0025114886600332564
2015-05-22,0.00250576299609806
2015-05-26,-0.00722018573613592
2015-05-27,0.0030771348460960635
2015-05-28,0.00585599338714804
2015-05-29,-0.01081250338253148
2015-06-01,-0.0022419739336030364
2015-06-02,-0.016573230899564417
2015-06-03,-0.015138353574089436
2015-06-04,0.002030095218003458
2015-06-05,-0.004341534738752095
2015-06-08,-0.0029069772351525414
2015-06-09,-0.011078786831681398
2015-06-10,0.01827849468056586
2015-06-11,-0.0005793920613783587
2015-06-12,-0.024623164208846804
2015-06-15,-0.011286168337523717
2015-06-16,0.0021029261905107788
2015-06-17,0.002098077777956675
2015-06-18,0.01824748984157809
2015-06-19,-0.007050989381230277
2015-06-22,-0.0032541470543063777
2015-06-23,-0.012466884944648093
2015-06-24,-0.008115178217493302
2015-06-25,-0.004242636258465993
2015-06-26,-0.0033473241297832246
2015-06-29,-0.004274845398975269
2015-06-30,-0.0018399802452665481
2015-07-01,0.007988034637009145
2015-07-02,0.012191315873235853
2015-07-06,0.0030108789114264844
2015-07-07,0.022515767708928713
2015-07-08,-0.007927206673096876
2015-07-09,-0.009470277597764643
2015-07-10,0.005676675222399785
2015-07-13,0.000297313032390889
2015-07-14,-0.00148474288427336
2015-07-15,0.0071383825772139975
2015-07-16,0.024512427756946842
2015-07-17,-0.008359543350722531
2015-07-20,-0.012499731883200083
2015-07-21,-0.020312072157001704
2015-07-22,0.0012018706200984663
2015-07-23,-0.030012265828729845
2015-07-24,-0.0009279304364958607
2015-07-27,0.014245680135234418
2015-07-28,0.0015265404265336624
2015-07-29,-0.005792543274028672
2015-07-30,0.010732817230232339
