Date,DGX
2015-01-05,-0.024503044409528996
2015-01-06,-0.015012017240653819
2015-01-07,0.012675284265546871
2015-01-08,0.026374880210384477
2015-01-09,-0.0023342617686299416
2015-01-12,-0.004240252446916615
2015-01-13,-0.0026431981241873403
2015-01-14,0.003091602536239746
2015-01-15,-0.008953393762489048
2015-01-16,0.03287908534149886
2015-01-20,0.005449234089537791
2015-01-21,-0.00869922602048745
2015-01-22,0.03596589016370899
2015-01-23,-0.015553344136123859
2015-01-26,0.009309734991696628
2015-01-27,-0.003214443557590152
2015-01-28,-0.010515804081405733
2015-01-29,0.007368480048175252
2015-01-30,-0.0002811666790596412
2015-02-02,0.009567801312325264
2015-02-03,0.011289378418488427
2015-02-04,-0.013230387820133638
2015-02-05,-0.0040502827267939745
2015-02-06,-0.02341891559618514
2015-02-09,-0.00789785335460702
2015-02-10,0.019250415804527465
2015-02-11,0.015194212765090365
2015-02-12,0.002238398815658904
2015-02-13,0.00041815721907800807
2015-02-17,0.0009768726261734084
2015-02-18,-0.004877886094117323
2015-02-19,0.000700426621685013
2015-02-20,0.004478707593523534
2015-02-23,-0.010868573066987963
2015-02-24,-0.005211804043720569
2015-02-25,0.009487418612388332
2015-02-26,-0.0026652781285719795
2015-02-27,-0.013502069819508411
2015-03-02,0.010835439467323571
2015-03-03,0.0011282798767833224
2015-03-04,0.011130378881318181
2015-03-05,0.0075237138242520984
2015-03-06,-0.01562732528114852
2015-03-09,-0.0012642141204481927
2015-03-10,-0.0026727764263482223
2015-03-11,0.0033849727685735242
2015-03-12,0.02038283319172085
2015-03-13,0.008265443472319722
2015-03-16,0.0064210896874163925
2015-03-17,0.007467151721620047
2015-03-18,0.02883690005884265
2015-03-19,-0.0022265352834875962
2015-03-20,0.007350741309925857
2015-03-23,0.007167699581243525
2015-03-24,-0.0007765692858023865
2015-03-25,-0.016703195887150413
2015-03-26,-0.0009216997137136973
2015-03-27,0.0046133100143210815
2015-03-30,0.019285947115046387
2015-03-31,-0.010812047176837813
2015-04-01,-0.01652569143088345
2015-04-02,0.002910657308350828
2015-04-06,0.00928146797902274
2015-04-07,-0.008801956563408875
2015-04-08,0.001855592770177772
2015-04-09,0.00780498617794545
2015-04-10,0.0007878802187817335
2015-04-13,-0.009706377477010752
