Date,SBAC
2015-01-05,-0.01577005544142851
2015-01-06,-0.005218827652662128
2015-01-07,0.013713591539145087
2015-01-08,0.009987575456725573
2015-01-09,-0.0035060006507208197
2015-01-12,-0.0031576170996067132
2015-01-13,0.000814632103324886
2015-01-14,-0.005786992297634352
2015-01-15,-0.014188168470292362
2015-01-16,0.010425202132654299
2015-01-20,0.007213174802204847
2015-01-21,0.009790865163926243
2015-01-22,0.045605119153546925
2015-01-23,0.016399170798951923
2015-01-26,0.006419984399702372
2015-01-27,0.007134517624062253
2015-01-28,-0.01650139567143971
2015-01-29,0.007626513476092889
2015-01-30,-0.018585706528089996
2015-02-02,0.011139892181532662
2015-02-03,-0.0005932158247871078
2015-02-04,0.006783613782170628
2015-02-05,0.00673797526992681
2015-02-06,-0.013804049740449686
2015-02-09,-0.013912536398674624
2015-02-10,0.018496347716514094
2015-02-11,0.008193157810180596
2015-02-12,0.002513327270176058
2015-02-13,0.016797595298523094
2015-02-17,0.00419191315936529
2015-02-18,-8.18840557895717e-05
2015-02-19,-0.009413021875470995
2015-02-20,0.0019003046525518652
2015-02-23,-0.015587646451442616
2015-02-24,-0.012985866625743414
2015-02-25,0.016467127874276954
2015-02-26,0.0020878230322209923
2015-02-27,0.039249846147349166
2015-03-02,0.004891564091922929
2015-03-03,-0.0035908916735286622
2015-03-04,0.004564684495435678
2015-03-05,-0.006776068815370295
2015-03-06,-0.02159083103623982
2015-03-09,0.0036915701983704086
2015-03-10,-0.015529272525725779
2015-03-11,-0.004400355611435702
2015-03-12,0.008589258713377124
2015-03-13,-0.012401975714650404
2015-03-16,-0.0047718062513227855
2015-03-17,-0.0002524025338436209
2015-03-18,0.01590255448948752
2015-03-19,-0.005714812200472097
2015-03-20,0.020907962357592735
2015-03-23,-0.006445849912240842
2015-03-24,-0.0032026872152012276
2015-03-25,-0.01977254143055973
2015-03-26,0.0021011969595641222
2015-03-27,0.012664520059606277
2015-03-30,-0.00455523701293048
2015-03-31,-0.025709272671631145
2015-04-01,0.020324563126489448
