Date,MGM
2015-01-05,-0.027592825830698553
2015-01-06,-0.03816032253564483
2015-01-07,0.03916575805463385
2015-01-08,0.014194840387492302
2015-01-09,-0.0101349336267057
2015-01-12,-0.014139666535485818
2015-01-13,0.006428936245350236
2015-01-14,-0.0058964639673656505
2015-01-15,0.000494219991882483
2015-01-16,-0.01136373953793357
2015-01-20,-0.04397780935669604
2015-01-21,0.005750076717303765
2015-01-22,0.03378366889661799
2015-01-23,0.005530670887009093
2015-01-26,0.04449978957809808
2015-01-27,-0.0014362035428222564
2015-01-28,-0.02588690927209758
2015-01-29,-0.006889429936542735
2015-01-30,-0.03468811864889654
2015-02-02,0.013347145730011167
2015-02-03,0.036473984719839425
2015-02-04,-0.02883662738466941
2015-02-05,0.023150588229076785
2015-02-06,-0.01819986937940321
2015-02-09,-0.018536941295925646
2015-02-10,0.058703437213943443
2015-02-11,0.000481969707960328
2015-02-12,0.02361487079945568
2015-02-13,0.010357621800055172
2015-02-17,0.01910557890093223
2015-02-18,0.019661532407091453
2015-02-19,0.006277901507779404
2015-02-20,0.008467099368729247
2015-02-23,-0.0035352511396292696
2015-02-24,-0.029711930846997303
2015-02-25,0.004113660368609606
2015-02-26,-0.0009104323041418949
2015-02-27,-0.010022869408849111
2015-03-02,0.00644304340706725
2015-03-03,0.006858401380101409
2015-03-04,0.0027249120866674748
2015-03-05,-0.006793630608899703
2015-03-06,-0.014135739527941893
2015-03-09,-0.032839977254148334
2015-03-10,-0.042085118420047474
2015-03-11,-0.021967145714784864
2015-03-12,0.006636305159944289
2015-03-13,-0.01572011717457955
2015-03-16,0.012879864607339364
2015-03-17,0.10579839135867597
2015-03-18,0.03587889146397538
2015-03-19,0.014653411294995644
2015-03-20,-0.010065913003178606
2015-03-23,-0.009283459449421994
2015-03-24,-0.01472561019841434
2015-03-25,-0.017662835956882117
2015-03-26,-0.013831379691296553
2015-03-27,-0.004207799789921585
2015-03-30,-0.0014082739078529194
2015-03-31,-0.011283503642427806
2015-04-01,-0.00713292336452509
2015-04-02,0.0220305636121656
2015-04-06,0.0
2015-04-07,-0.010777697973119449
2015-04-08,0.022738149821826648
2015-04-09,0.04724405103527429
2015-04-10,-0.002653716994551192
2015-04-13,-0.024390285402285494
2015-04-14,-0.01090882287904471
2015-04-15,0.017463203648810488
2015-04-16,-0.008581919621337142
2015-04-17,-0.023689958601751604
2015-04-20,0.018665208951754053
2015-04-21,-0.005497256783204674
2015-04-22,0.01474007303529179
2015-04-23,0.0022695608341578577
2015-04-24,-0.0036233123387243715
2015-04-27,-0.0036363966811638893
2015-04-28,0.020073083650055334
2015-04-29,-0.05590345224217097
2015-04-30,0.0018950451123094236
2015-05-01,0.011820149489367715
2015-05-04,-0.006074632657128487
2015-05-05,-0.05312656356660761
2015-05-06,-0.027805412845858135
2015-05-07,0.00868230457156871
2015-05-08,0.009114006988264256
2015-05-11,-0.029102017610867392
2015-05-12,-0.011886100985678216
2015-05-13,0.012552308325849415
2015-05-14,-0.0020661342365577706
2015-05-15,0.0077637313740792635
2015-05-18,0.010785820190002404
2015-05-19,0.001524609545833
2015-05-20,0.01826500486050442
2015-05-21,0.0064772860820303535
2015-05-22,0.015346671197329576
2015-05-26,-0.031204662489293766
2015-05-27,0.0020130018352495505
2015-05-28,0.014063414583185718
2015-05-29,-0.006934288938074351
2015-06-01,-0.02344121084520101
2015-06-02,0.009703558029721338
2015-06-03,-0.0030346231409498214
2015-06-04,0.028919386117481682
2015-06-05,0.0
2015-06-08,-0.0547339195978398
2015-06-09,0.00938965207354503
2015-06-10,0.009302515374609577
2015-06-11,0.014848980511042775
2015-06-12,-0.01967716838366973
2015-06-15,-0.010293349923698125
2015-06-16,-0.007280251947732852
2015-06-17,0.01728637553747192
2015-06-18,0.004119398179998512
2015-06-19,0.0
2015-06-22,-0.02102542057727841
2015-06-23,0.015191124607186746
2015-06-24,-0.038699624430375335
2015-06-25,0.0005367734819157199
2015-06-26,-0.013948514941587331
2015-06-29,-0.04352552392994091
2015-06-30,0.0381116020629626
2015-07-01,0.01643839102742839
2015-07-02,0.0
2015-07-06,-0.015094363860007287
2015-07-07,0.04269243250747401
