Date,TMO
2015-01-05,-0.013737343936076174
2015-01-06,-0.009338224392471672
2015-01-07,0.02995671185214266
2015-01-08,0.010393574974209452
2015-01-09,-0.003991743396784875
2015-01-12,-0.009633982936646857
2015-01-13,-0.0012454014461659169
2015-01-14,-0.016674532996492464
2015-01-15,-0.01640236177735588
2015-01-16,0.009345098914202543
2015-01-20,-0.0003989313642579484
2015-01-21,0.0009581443464139472
2015-01-22,0.01308206297723169
2015-01-23,-0.016771471310364383
2015-01-26,0.00616623715241138
2015-01-27,-0.006048908743191861
2015-01-28,-0.004324079651954804
2015-01-29,0.029113511178723517
2015-01-30,-0.02149091264020664
2015-02-02,0.0054306811883158
2015-02-03,0.01143880776124706
2015-02-04,-0.0076965527426862135
2015-02-05,0.005461148294589435
2015-02-06,-0.017632276945169334
2015-02-09,-0.011218034570761759
2015-02-10,0.013208994713721944
2015-02-11,0.0031191052661181384
2015-02-12,0.011242135832512323
2015-02-13,0.006150050426688036
2015-02-17,0.0032914092527625005
2015-02-18,-0.0002343469608243609
2015-02-19,-0.0016408132453680224
2015-02-20,0.026449664195855593
2015-02-23,-0.0014486083537915695
2015-02-24,0.006642819046295267
2015-02-25,-0.005916012593655373
2015-02-26,-0.007095357348980591
2015-02-27,-0.001076008809693496
2015-03-02,0.010384232472473442
2015-03-03,-0.01233284225232023
2015-03-04,-0.00647530327356316
2015-03-05,0.019940001771841853
2015-03-06,-0.022440575862081924
2015-03-09,-0.003190350035256695
2015-03-10,-0.008353007308858351
2015-03-11,0.007163554256135685
2015-03-12,0.006338652094843189
2015-03-13,-0.009175757416360564
2015-03-16,0.0435568409743623
2015-03-17,-0.004662860393276014
2015-03-18,0.011635986822493116
2015-03-19,0.006497694341887961
2015-03-20,0.013876552139477472
2015-03-23,0.00907544703674934
2015-03-24,-0.01610186839044303
2015-03-25,-0.01430122614244378
2015-03-26,-0.004786707671050494
2015-03-27,0.004658765082054428
2015-03-30,0.014062691582389153
2015-03-31,-0.00907306971573174
2015-04-01,-0.017417751911940837
2015-04-02,0.008408772381442775
2015-04-06,0.0029299987697124497
2015-04-07,-0.003595943498578724
2015-04-08,-0.0015032440197533248
2015-04-09,0.005646569786433853
2015-04-10,0.0011981378161174394
2015-04-13,-0.007552775022824143
2015-04-14,-0.0003014231725316785
2015-04-15,0.007084453932908685
2015-04-16,-0.008456233991362194
2015-04-17,-0.0029437097439499738
2015-04-20,0.014610168062483497
2015-04-21,0.003058714525337569
2015-04-22,-0.027893410456543366
2015-04-23,-0.008722612811578268
2015-04-24,0.003627807838326058
2015-04-27,-0.021150599381924873
2015-04-28,0.002828482446178171
2015-04-29,-0.0039176209992570765
2015-04-30,-0.011405400836968949
2015-05-01,0.015754025859503473
2015-05-04,0.0009397419726830947
2015-05-05,-0.008843144751517706
2015-05-06,0.007974807441257337
2015-05-07,0.0007049297082000194
2015-05-08,0.01745591582218009
2015-05-11,-0.0008464782649397762
2015-05-12,-0.0020013386268711297
2015-05-13,0.0018513275807816587
2015-05-14,0.009626547340019664
2015-05-15,-0.007170074631029699
2015-05-18,-0.001459648108415923
2015-05-19,0.004462386382686256
2015-05-20,0.011260133737774014
2015-05-21,0.006211044682606248
2015-05-22,-0.005194409322012539
2015-05-26,-0.01778252913429923
2015-05-27,0.00916794908270524
2015-05-28,-0.006565227586409872
2015-05-29,-0.003842054756730162
2015-06-01,-0.0013121001739697657
2015-06-02,0.000849999924052991
2015-06-03,0.00316412222197604
2015-06-04,-0.0036926615817052255
2015-06-05,0.0005405153913564664
2015-06-08,-0.010033075706853967
2015-06-09,0.0023386724988965213
2015-06-10,0.012522268880829746
2015-06-11,0.003768436526928598
2015-06-12,-0.0038304953296669497
2015-06-15,-0.003692285604189105
2015-06-16,-0.005712277326624604
2015-06-17,-0.0012422370856904896
2015-06-18,0.008084553489839497
2015-06-19,0.0022366052988103124
2015-06-22,0.0009233056081718871
2015-06-23,-0.004151042555901485
2015-06-24,0.005557794047476694
2015-06-25,0.009671960301358418
2015-06-26,0.0051699719675126765
2015-06-29,-0.020875879390833352
2015-06-30,0.002394494574287531
2015-07-01,0.008169109237655015
2015-07-02,0.0009935186764455928
2015-07-06,-0.004276355675725818
2015-07-07,0.004294721432097637
2015-07-08,-0.021000196610605926
2015-07-09,-0.0029639447798285312
2015-07-10,0.021983973401321633
2015-07-13,0.028017883002667165
2015-07-14,0.01712707686561621
2015-07-15,-0.009809994978524972
2015-07-16,0.010425111444932744
2015-07-17,-0.006659328607862669
2015-07-20,0.0030938028332696543
2015-07-21,0.00220345550750789
2015-07-22,0.026306187348366983
2015-07-23,0.0038553883273000356
2015-07-24,-0.018918816826004492
2015-07-27,-0.006669756763650114
2015-07-28,0.011895830633610105
2015-07-29,0.006996448906940067
2015-07-30,-0.0035813415951859717
2015-07-31,0.002947137770473951
2015-08-03,-0.0078119158068094
2015-08-04,-0.00483973485880318
2015-08-05,0.0066781025028057606
2015-08-06,-0.012761728794540739
2015-08-07,-0.0065742655249972914
2015-08-10,0.008528500400917904
2015-08-11,-0.018953260361459723
2015-08-12,0.0009662865698192302
2015-08-13,-0.0073496828364977285
2015-08-14,0.009722310680099877
2015-08-17,0.009554099728946053
2015-08-18,-0.007262721751749579
2015-08-19,-0.011749748369803248
2015-08-20,-0.010394027159125296
2015-08-21,-0.033097005448815775
2015-08-24,-0.0491560853066223
2015-08-25,-0.013314417683506607
2015-08-26,0.04339852660688703
2015-08-27,0.021155991022651754
2015-08-28,-0.010867211779860053
2015-08-31,-0.00908939107997464
