Date,PLD
2015-01-05,-0.000691420876774762
2015-01-06,0.003456326617123917
2015-01-07,0.015155288032244307
2015-01-08,0.00022615301047701486
2015-01-09,-0.0015829479270708102
2015-01-12,0.010192597121625457
2015-01-13,-0.019955453573456294
2015-01-14,0.00022909632603829166
2015-01-15,0.0011436756824532157
2015-01-16,0.008681626263105535
2015-01-20,-0.007021681873765395
2015-01-21,0.004334001730237791
2015-01-22,0.024755582117369945
2015-01-23,0.004211397326998378
2015-01-26,0.011917844756157425
2015-01-27,0.027917033408595193
2015-01-28,-0.01506468496171709
2015-01-29,-0.0038775099168772975
2015-01-30,-0.023789080681850594
2015-02-02,0.00022160869975729192
2015-02-03,0.0015502273429151003
2015-02-04,-0.001105853723551764
2015-02-05,0.013726250056888212
2015-02-06,-0.025114503124461507
2015-02-09,0.0008960144162382111
2015-02-10,0.00447629383737258
2015-02-11,-0.010472823542257759
2015-02-12,0.008106482357091549
2015-02-13,-0.021442604976304014
2015-02-17,-0.0022830076311962655
2015-02-18,0.005719569707456129
2015-02-19,-0.025250177192361334
2015-02-20,0.003967229739818556
2015-02-23,0.010228099105340727
2015-02-24,-0.017717459739941432
2015-02-25,0.004919283990882484
2015-02-26,-0.010955760754602362
2015-02-27,0.006598849692970088
2015-03-02,-0.00023403489714957093
2015-03-03,-0.0011708131318780568
2015-03-04,-0.006330873027798334
2015-03-05,0.006607249337198917
2015-03-06,-0.02953596997922736
2015-03-09,0.0014490179473962694
2015-03-10,-0.007477074917557336
2015-03-11,0.013851828004303401
2015-03-12,0.020134139667808748
2015-03-13,-0.0025841890782593024
2015-03-16,0.016868355519993772
2015-03-17,-0.0004674537295068504
2015-03-18,0.016830248715179463
2015-03-19,0.004138082654450148
2015-03-20,0.016254687447156968
2015-03-23,0.007659171839144996
2015-03-24,-0.007824309246804217
2015-03-25,-0.017124922105409168
2015-03-26,-0.0126088343791676
2015-03-27,-0.0006967848288891298
2015-03-30,0.021375792001065763
2015-03-31,-0.009099093497892619
2015-04-01,-0.003902790514714871
2015-04-02,0.00460943143979331
2015-04-06,0.017893438072952295
2015-04-07,-0.02298811106179588
2015-04-08,0.0034598185397070047
2015-04-09,-0.02597666832283052
2015-04-10,0.002831910676278415
2015-04-13,-0.0014116842416014297
2015-04-14,0.009662966505424198
2015-04-15,-0.002101096535098046
2015-04-16,0.005146319372684394
