Date,LNT
2015-01-05,-0.01218074795001678
2015-01-06,-0.0031966114358188413
2015-01-07,0.016493391064686946
2015-01-08,0.015775266585753123
2015-01-09,-0.01419903173307524
2015-01-12,-0.002700590178811302
2015-01-13,0.006920330728704016
2015-01-14,0.01837734941127711
2015-01-15,0.0023473179904200947
2015-01-16,0.018735583909403886
2015-01-20,-0.0004314428225873357
2015-01-21,0.007187498536997072
2015-01-22,-0.0002854452343675762
2015-01-23,0.002141221859304876
2015-01-26,-0.0004274510591354419
2015-01-27,-0.0021377127097954585
2015-01-28,-0.0038865364393293467
2015-01-29,0.01618522880846407
2015-01-30,-0.02431769301176323
2015-02-02,0.004663885964764525
2015-02-03,0.0026114253625351136
2015-02-04,-0.01446953483400426
2015-02-05,0.01027753889417049
2015-02-06,-0.04403420573171879
2015-02-09,-0.01733056711279246
2015-02-10,0.022277498124726902
2015-02-11,-0.021489638736648442
2015-02-12,-0.003092906395586792
2015-02-13,-0.013807087843331178
2015-02-17,-0.002359537125731337
2015-02-18,0.02554402301385239
2015-02-19,-0.007533883907376748
2015-02-20,0.0009295678572225352
2015-02-23,0.007429308545139568
2015-02-24,0.006452583755854002
2015-02-25,-0.01740191510016409
2015-02-26,-0.010253261905868949
2015-02-27,-0.0017267463590280308
2015-03-02,-0.018710470470430396
2015-03-03,0.003685004204133646
2015-03-04,-0.008780198290422536
2015-03-05,0.0017715434192375756
2015-03-06,-0.031350451986297934
2015-03-09,0.00746893307889418
2015-03-10,-0.0004943072629306489
2015-03-11,-0.00593357290219787
2015-03-12,0.013928083310788653
2015-03-13,-0.010302849011067705
2015-03-16,0.020984764381815513
2015-03-17,-0.0016179394436952599
2015-03-18,0.021559082782161898
2015-03-19,-0.004760175548757961
2015-03-20,0.01371140226326828
2015-03-23,-0.002359083032074105
2015-03-24,-0.014030959409985444
2015-03-25,-0.008314893955116864
2015-03-26,-0.011609257852928323
2015-03-27,0.0055466247806506
2015-03-30,0.01524969349185179
2015-03-31,0.0067113054298737485
2015-04-01,-0.002380633456022685
2015-04-02,0.0009545426156287729
2015-04-06,0.011762981146457241
2015-04-07,-0.01649649668644393
2015-04-08,-0.0012780601174836592
2015-04-09,-0.0001598878158620698
2015-04-10,0.010078441455515286
2015-04-13,-0.006335060677997828
2015-04-14,0.004303268013148509
2015-04-15,-0.003174065912521229
2015-04-16,-0.007005365458330193
2015-04-17,-0.0035274358766159697
2015-04-20,0.0149640599523857
2015-04-21,-0.007609337726443122
2015-04-22,0.0023960136506941954
2015-04-23,0.0020718517721838303
2015-04-24,0.00715637021920168
2015-04-27,-0.01610599141943947
2015-04-28,0.007447979933319582
2015-04-29,-0.007392917631154128
2015-04-30,-0.020887177293310577
2015-05-01,0.008929901019397724
2015-05-04,0.014095906001130531
2015-05-05,-0.02311324165354922
2015-05-06,-0.004135789990444727
2015-05-07,0.0016612909951294608
2015-05-08,-0.0004978916461672034
2015-05-11,-0.002820845467700117
2015-05-12,-0.003161828563619351
2015-05-13,-0.00717864486609654
2015-05-14,0.013452117016342635
2015-05-15,0.012112181885453266
2015-05-18,0.0037703010249929836
2015-05-19,0.0004898193551019503
2015-05-20,0.0022856473823864576
2015-05-21,-0.0011403458287928547
2015-05-22,-0.0019565110561323706
2015-05-26,-0.00865879033934247
2015-05-27,0.009558271519220174
2015-05-28,0.0032647207708067505
2015-05-29,-0.002603106778466091
2015-06-01,0.001468293947274768
2015-06-02,-0.01417150106107501
2015-06-03,-0.015036580930580579
2015-06-04,-0.009226533921834479
2015-06-05,-0.013037686782754965
2015-06-08,-0.004288875631434319
2015-06-09,-0.003962855456057235
2015-06-10,0.00397862216059397
2015-06-11,0.012921867019217936
2015-06-12,-0.011396090020885596
2015-06-15,-0.004301600413979867
2015-06-16,0.0070847753227525345
2015-06-17,0.005319107723283256
2015-06-18,0.01433722335129195
2015-06-19,-0.004880007562752753
2015-06-22,-0.0015215660997416336
2015-06-23,-0.01574932886559499
2015-06-24,-0.007570690250801815
2015-06-25,-0.005374619890972876
2015-06-26,0.008192256971325973
2015-06-29,-0.00518618522987524
2015-06-30,0.0031281156826090672
2015-07-01,0.00710327724467863
2015-07-02,0.015138505506257838
2015-07-06,0.0015250067201197925
2015-07-07,0.02842646683330119
2015-07-08,-0.0060875589811104636
2015-07-09,-0.013573777308350521
2015-07-10,0.008390531691406133
2015-07-13,0.0029955453037999735
2015-07-14,0.0004978826267190151
2015-07-15,0.0016583475004710024
2015-07-16,0.015562658209086422
2015-07-17,-0.014182968693397746
2015-07-20,-0.003638194653138971
2015-07-21,-0.010290635977042162
2015-07-22,0.007378804334139399
2015-07-23,-0.014982364870398723
2015-07-24,0.0015207055818333703
2015-07-27,0.01670643778162595
2015-07-28,0.004813416807838422
2015-07-29,0.007167455013575852
2015-07-30,0.009102984454486096
2015-07-31,0.008856851861412718
2015-08-03,0.001300691505698559
2015-08-04,-0.012826894078588946
2015-08-05,0.004605453617670285
2015-08-06,-0.007367586893818334
2015-08-07,0.0014843340838959218
2015-08-10,-0.0014821341017318135
2015-08-11,0.0003298710885411005
2015-08-12,0.011046951581645148
2015-08-13,0.0032615924411152353
2015-08-14,0.0035763416630483214
2015-08-17,0.01911231402396396
2015-08-18,-0.009377190026605864
2015-08-19,0.0025668261716100815
2015-08-20,-0.010401377125479505
2015-08-21,-0.017949368811786437
2015-08-24,-0.0442947638246578
2015-08-25,-0.03342491958935889
2015-08-26,0.009982121752930784
2015-08-27,0.01888428364790906
2015-08-28,0.0012127266359507338
2015-08-31,-0.019550433995006222
