Date,VRTX
2015-01-05,-0.01657593987637862
2015-01-06,-0.030323045575152863
2015-01-07,0.02811863526410674
2015-01-08,0.027432433765400166
2015-01-09,-0.014197000233122092
2015-01-12,-0.03191229486208558
2015-01-13,0.019355937475978857
2015-01-14,-0.0018242224169706667
2015-01-15,-0.021598259955495025
2015-01-16,0.043131277667729506
2015-01-20,0.01530194729023604
2015-01-21,0.002805823954745712
2015-01-22,0.01766733374823648
2015-01-23,-0.013589971056247374
2015-01-26,-0.0035836342226314155
2015-01-27,-0.011588911011883196
2015-01-28,-0.01948731356349298
2015-01-29,-0.058716828477233696
2015-01-30,-0.03504468215690881
2015-02-02,0.009442536056751605
2015-02-03,-0.02212627340996809
2015-02-04,0.0050588246522071945
2015-02-05,0.021231808969506716
2015-02-06,-0.026256768276157416
2015-02-09,-0.007178413237652004
2015-02-10,0.0050982857412000815
2015-02-11,0.001752305089656847
2015-02-12,0.009298420928899542
2015-02-13,0.03676007032432693
2015-02-17,-0.0022875429161819394
2015-02-18,0.0014991019987466991
2015-02-19,-0.014088214127150445
2015-02-20,0.059301592544956705
2015-02-23,-0.012562160493231556
2015-02-24,-0.0017076893181899866
2015-02-25,0.01642146937233946
2015-02-26,0.009508624348991246
2015-02-27,-0.004501132866823299
2015-03-02,0.006196080230081558
2015-03-03,0.027877161730595734
2015-03-04,-0.028092565459953645
2015-03-05,0.05755931576058093
2015-03-06,-0.0048834495199509
2015-03-09,0.005065751445261224
2015-03-10,-0.022365757538232778
2015-03-11,-0.01208313200720923
2015-03-12,0.0054631292586411195
2015-03-13,0.005595673141412405
2015-03-16,0.030080672233335326
2015-03-17,0.01111712598630965
2015-03-18,0.004955473634489005
2015-03-19,0.0343632556019533
2015-03-20,-0.02420856610800748
2015-03-23,-0.03977098537765389
2015-03-24,-0.011527184729177686
2015-03-25,-0.045842022809399086
2015-03-26,-0.008766022596743972
2015-03-27,0.023299301864978306
2015-03-30,0.007561938589014661
2015-03-31,-0.027051536324097958
2015-04-01,-0.013054173939069824
2015-04-02,0.006871107529510478
2015-04-06,0.008700815609130386
2015-04-07,0.018773794678250466
2015-04-08,0.027558725501645176
2015-04-09,0.01494465191403882
2015-04-10,0.02252468835404864
2015-04-13,-0.005137414616938729
2015-04-14,0.007198170616688593
2015-04-15,0.003651062194532262
2015-04-16,-0.002012341431711473
2015-04-17,-0.030013980714330035
2015-04-20,0.0038378776533527503
2015-04-21,0.052966895538369085
2015-04-22,0.004916862104981101
2015-04-23,0.0223560488088268
2015-04-24,-0.01929031243329471
2015-04-27,-0.039939938563898214
2015-04-28,-0.018845762312138525
2015-04-29,-0.013628748448521577
2015-04-30,-0.00387850152430691
2015-05-01,0.018818946445462004
2015-05-04,0.005573284921503774
