Date,FICO
2015-01-05,-0.011223590710284115
2015-01-06,-0.018357733589283387
2015-01-07,0.006281287785104617
2015-01-08,0.031635643846049
2015-01-09,-0.012238797813059032
2015-01-12,-0.012111878301957812
2015-01-13,0.0169111955970791
2015-01-14,0.006097511892314111
2015-01-15,-0.010881611157262383
2015-01-16,0.028965163150356465
2015-01-20,-0.004195395367398103
2015-01-21,0.06034247612645105
2015-01-22,0.01845679562622271
2015-01-23,-0.008054330492735073
2015-01-26,-0.0019030752322699573
2015-01-27,0.0077540843644068325
2015-01-28,-0.007189936922597839
2015-01-29,-0.006225342623977448
2015-01-30,-0.08782905838594579
2015-02-02,0.07091792744850767
2015-02-03,0.010338927121381625
2015-02-04,0.01049251239156579
2015-02-05,0.004870965987887388
2015-02-06,-0.004337240245767537
2015-02-09,-0.006918698003150592
2015-02-10,0.006579674586789652
2015-02-11,0.006536763416538527
2015-02-12,0.025085942960852536
2015-02-13,0.018633589908352954
2015-02-17,-0.005853561965436738
2015-02-18,0.005397405787522125
2015-02-19,-0.0015860317305192995
2015-02-20,0.009287345921132228
2015-02-23,-0.0013317543408797317
2015-02-24,0.010062959753350142
2015-02-25,0.011163136411892038
2015-02-26,0.010327680271690953
2015-02-27,0.00011763898732053413
2015-03-02,0.0234961175619377
2015-03-03,-0.012855705607069945
2015-03-04,-0.011628023749639338
2015-03-05,0.000235492527360881
2015-03-06,-0.0042355302157292
2015-03-09,0.0004726062179090107
2015-03-10,-0.01960312611948445
2015-03-11,0.00843185732801488
2015-03-12,0.025799990270595208
2015-03-13,-0.02154156798634488
2015-03-16,0.007973323742878291
2015-03-17,-0.006257438161766382
2015-03-18,0.016870615102575703
2015-03-19,0.01051530005440493
2015-03-20,0.018036863019355254
2015-03-23,-0.0071551646707561645
2015-03-24,-0.0026307842312027763
2015-03-25,-0.023855982294353262
2015-03-26,0.008694616975924552
2015-03-27,0.010483274485702632
2015-03-30,0.024092284937248465
2015-03-31,-0.0013507037180132686
2015-04-01,0.019612382510532322
2015-04-02,0.008622344099071588
2015-04-06,0.008658679365058042
2015-04-07,-0.004455243726964708
2015-04-08,0.012879439475958598
2015-04-09,0.005064480377577896
2015-04-10,-0.0008575089214271081
2015-04-13,-0.007940917461884522
2015-04-14,-0.004867437519908702
2015-04-15,0.004347810559113263
2015-04-16,0.0028138262686798754
2015-04-17,-0.004640514537758267
2015-04-20,0.0011926081657080978
2015-04-21,-0.0020575809881336893
2015-04-22,-0.0016278163810518054
2015-04-23,0.014130384317118105
2015-04-24,0.005894982675979321
2015-04-27,-0.03100692197232202
2015-04-28,-0.0014295004940612088
2015-04-29,0.0025328274241740445
2015-04-30,-0.028339290246598092
2015-05-01,0.0016956324981314275
2015-05-04,0.005981409280148453
2015-05-05,-0.017388443512717622
2015-05-06,-0.006507665046605826
2015-05-07,0.008733752141553142
2015-05-08,-0.005468318156376162
2015-05-11,-0.00240534106328838
2015-05-12,-0.00528203089973156
2015-05-13,0.00253949173825041
2015-05-14,0.017501519210768812
2015-05-15,-0.005658181570412757
2015-05-18,0.010470289973917302
2015-05-19,-0.010361798934422461
2015-05-20,0.00227616889860216
2015-05-21,0.002498056310555219
2015-05-22,0.0023791487217204033
2015-05-26,-0.020117694261711838
2015-05-27,0.011880212941377755
2015-05-28,-0.005129456381769648
2015-05-29,0.005041329677945461
2015-06-01,0.005129866957356732
2015-06-02,0.006351534463178599
2015-06-03,0.00011235694829569987
2015-06-04,-0.014424064447247864
2015-06-05,0.003315798902618239
2015-06-08,-0.001025640222020896
2015-06-09,-0.01209207767730458
2015-06-10,0.004965353587480514
2015-06-11,0.004021685995472257
2015-06-12,0.01407634673488567
2015-06-15,-0.018395112913901057
2015-06-16,0.008967570089936538
2015-06-17,-0.007862431389139557
2015-06-18,0.021017553627896257
2015-06-19,0.01608556142380091
2015-06-22,0.02103388235389625
2015-06-23,0.00314422769575895
2015-06-24,-0.00010800208771011288
2015-06-25,0.008863981864259518
2015-06-26,0.006000208890825753
2015-06-29,-0.029076471585681385
2015-06-30,-0.004168574564211602
2015-07-01,0.0085921088186236
2015-07-02,-0.005788549123945552
2015-07-06,-0.0037349453504609276
2015-07-07,0.011136829464461151
2015-07-08,-0.002399208700166078
2015-07-09,0.010494171815977227
2015-07-10,0.015036766945111912
2015-07-13,0.015346808813095913
2015-07-14,0.004513404175319868
2015-07-15,0.001776622738839162
2015-07-16,0.014394399092545918
2015-07-17,-0.02334180358955784
2015-07-20,-0.000526506539828886
2015-07-21,-0.013272926204867308
2015-07-22,-0.0008540613668212016
2015-07-23,-0.01207401030875832
2015-07-24,-0.005732203786425583
2015-07-27,-0.00913737954919236
2015-07-28,0.009990195150142656
2015-07-29,0.021413023919415464
2015-07-30,-0.0212833692825537
2015-07-31,-0.013917569103581329
2015-08-03,-0.007057085085313108
2015-08-04,0.009550411429681605
2015-08-05,0.007369750803583486
2015-08-06,-0.009827465049560224
2015-08-07,-0.0005515575287055041
2015-08-10,0.016771730036941213
2015-08-11,-0.014107586471267974
2015-08-12,-0.013538621797647754
2015-08-13,-0.00669492788887549
2015-08-14,0.00629062943109715
2015-08-17,0.014288891587537877
2015-08-18,-0.014527832821460751
2015-08-19,-0.018650866374604558
2015-08-20,-0.029589313968214626
2015-08-21,-0.024392997182994147
2015-08-24,-0.03005166406785198
2015-08-25,0.006196644111668537
2015-08-26,0.03756607329413364
2015-08-27,0.020892761193522347
2015-08-28,0.0004650270355259778
2015-08-31,-0.005462571181103604
2015-09-01,-0.03798048088396855
2015-09-02,0.011904750856974733
