Date,LIN
2015-01-05,-0.02639453534801195
2015-01-06,-0.01280433911406098
2015-01-07,0.011208996618556899
2015-01-08,0.016468887453522374
2015-01-09,-0.013475661386424642
2015-01-12,-0.002210983565585245
2015-01-13,-0.006884428558792344
2015-01-14,-0.0072507856063124265
2015-01-15,-0.0009634013769779237
2015-01-16,-0.007552073916770707
2015-01-20,0.011171526671105214
2015-01-21,0.006084404223124951
2015-01-22,0.014243559300288533
2015-01-23,-0.008787150851708447
2015-01-26,-0.014405448684822186
2015-01-27,-0.010600622617567113
2015-01-28,-0.004626828872278166
2015-01-29,-0.009622384631371328
2015-01-30,-0.007081271749617701
2015-02-02,0.013517009824946413
2015-02-03,0.010309335374938833
2015-02-04,-0.006235940970695464
2015-02-05,0.01548379871167338
2015-02-06,0.005136103128438263
2015-02-09,-0.0016765694557068223
2015-02-10,-0.0010397745039499862
2015-02-11,-0.00448319448941259
2015-02-12,0.008122237284227563
2015-02-13,0.012204984161733101
2015-02-17,0.004413018733689933
2015-02-18,0.0014124197312086473
2015-02-19,0.009637099688309947
2015-02-20,0.003492052974278348
2015-02-23,-0.00711456766473717
2015-02-24,-7.775702013168573e-05
2015-02-25,0.0016358377224741094
2015-02-26,-0.005365818913946274
2015-02-27,0.0
2015-03-02,0.01860805530862719
2015-03-03,-0.009441216225582028
2015-03-04,-0.004791973688063056
2015-03-05,0.0001564010651136094
2015-03-06,-0.011351254664532573
2015-03-09,-0.0003166358137566272
2015-03-10,-0.014970121251861923
2015-03-11,-0.0011259424880663005
2015-03-12,0.011350852414897528
2015-03-13,-0.014566624823000085
2015-03-16,0.003554237683414785
2015-03-17,-0.011429526187030525
2015-03-18,0.0162025204453915
2015-03-19,-0.02243426793585168
2015-03-20,-0.0007373843048630313
2015-03-23,0.0004920530114982391
2015-03-24,-0.0035250482732065436
2015-03-25,-0.01028402583496768
2015-03-26,0.0017456069873273972
2015-03-27,-0.002904326203428065
2015-03-30,0.011318277808064936
2015-03-31,-0.006418503527403141
2015-04-01,0.002235878337952135
2015-04-02,0.010412572014194987
2015-04-06,-8.194983976850256e-05
2015-04-07,0.004171422984264206
2015-04-08,-0.003339433786800239
2015-04-09,0.001716293901048882
2015-04-10,-0.0017133532832583898
2015-04-13,-0.009316669208153439
2015-04-14,-0.0018150181239702246
2015-04-15,0.004132278896401775
2015-04-16,-0.002139878517115945
2015-04-17,-0.006516200220379353
2015-04-20,0.01286869711428218
2015-04-21,-0.006311722008850551
2015-04-22,0.0002475028271387014
2015-04-23,0.004947996254806908
2015-04-24,0.0049237097065399915
2015-04-27,0.009227765902539486
2015-04-28,-0.006472999300657367
2015-04-29,0.01547340225618199
2015-04-30,-0.022135159696478057
2015-05-01,0.006725560164997368
2015-05-04,-0.003910482284812278
2015-05-05,-0.011122883031517428
2015-05-06,-0.008766871951631061
2015-05-07,0.0076761743290350015
2015-05-08,0.0020700742949710804
2015-05-11,-0.015451934202821205
2015-05-12,-0.010994280562538594
2015-05-13,-0.00025493544709365157
2015-05-14,0.023766949283051675
2015-05-15,0.014841368816089995
2015-05-18,-0.004493500597305022
2015-05-19,-0.004267539820697275
2015-05-20,0.0012364182052313488
2015-05-21,0.003127901206265049
2015-05-22,0.0012308896391468593
2015-05-26,-0.002786420474359508
2015-05-27,-0.001150608968936706
2015-05-28,0.01003867516859569
2015-05-29,0.0008958223840804802
2015-06-01,-0.0032556561891536884
2015-06-02,0.0006535287582358773
2015-06-03,0.008167456839844878
2015-06-04,-0.011724483982035183
2015-06-05,0.0
2015-06-08,0.003377503275595828
2015-06-09,0.0013959653601520738
2015-06-10,0.008609377668589158
2015-06-11,0.0018699447926022739
2015-06-12,-0.000486914127114324
2015-06-15,-0.015911578391857972
2015-06-16,0.004289613286751148
2015-06-17,0.007639032619839448
2015-06-18,0.009130378966444308
2015-06-19,-0.006381861888328455
2015-06-22,0.0028456020456653075
2015-06-23,0.0012159029807252697
2015-06-24,-0.008178195141953504
2015-06-25,-0.0022857809178404853
2015-06-26,-0.005154939622918575
2015-06-29,-0.018753031578571666
2015-06-30,0.002095556453316272
2015-07-01,-0.0022585907591464727
2015-07-02,-0.003185734223350334
2015-07-06,-0.008746858122309686
2015-07-07,0.005430262585691237
2015-07-08,-0.020337682390275336
2015-07-09,-0.000775354958935659
2015-07-10,0.011810547247911307
2015-07-13,0.009372067133587736
2015-07-14,0.006752606922523441
2015-07-15,-0.004862791903964991
2015-07-16,-0.004044177856502462
2015-07-17,-0.010151499109163686
2015-07-20,-0.002563882666412942
2015-07-21,-0.011224304879474234
2015-07-22,-0.0021662976169536385
2015-07-23,0.0004340570081680095
2015-07-24,-0.019270795415854303
2015-07-27,-0.010267040960543539
2015-07-28,0.031836680753309476
2015-07-29,0.004766934652001176
2015-07-30,-0.014318962561723603
2015-07-31,-0.0011377680004512891
2015-08-03,-0.004468179044174514
2015-08-04,-0.0021122946263837372
2015-08-05,0.0
2015-08-06,-0.00044095587865400354
2015-08-07,-0.0016764684831518384
2015-08-10,0.020504124978910854
2015-08-11,-0.012903793638257999
2015-08-12,-0.004650209311632514
2015-08-13,0.0019393089119759122
2015-08-14,0.0028151334486021806
2015-08-17,8.77108997339171e-05
2015-08-18,-0.004298179981758965
2015-08-19,-0.009602690592436458
2015-08-20,-0.006849198482194563
2015-08-21,-0.027228029478075122
2015-08-24,-0.02992356767258264
2015-08-25,-0.02239936583548152
2015-08-26,0.010194081334866434
2015-08-27,0.010956284766082014
2015-08-28,0.009506342493978526
2015-08-31,-0.0041432744905123275
