Date,KEY
2015-01-05,-0.03030304599873601
2015-01-06,-0.03050595341426765
2015-01-07,0.007674648415616936
2015-01-08,0.02056337045549017
2015-01-09,-0.028357846251894636
2015-01-12,-0.012289042604844758
2015-01-13,-0.012441495574145311
2015-01-14,-0.02204747910346261
2015-01-15,-0.020933842307135242
2015-01-16,0.019736784621847914
2015-01-20,-0.01129044471909535
2015-01-21,0.005709862934480281
2015-01-22,0.07623667201736439
2015-01-23,0.0
2015-01-26,0.015825287047896763
2015-01-27,-0.012611008025351533
2015-01-28,-0.02779900763983778
2015-01-29,0.02009249355341236
2015-01-30,-0.015908886221333907
2015-02-02,0.02155505527368029
2015-02-03,0.02336102467335177
2015-02-04,-0.0022091775547560255
2015-02-05,0.01845036162594349
2015-02-06,0.026086565685539798
2015-02-09,-0.019773823972874305
2015-02-10,0.007204659542106029
2015-02-11,-0.004291833151635616
2015-02-12,0.01939634098794074
2015-02-13,-0.00563738696009608
2015-02-17,0.0028344192416924763
2015-02-18,-0.014841001231321482
2015-02-19,-0.002869089648030787
2015-02-20,0.008633067961885121
2015-02-23,-0.007846099096492698
2015-02-24,0.012221372383261597
2015-02-25,0.004971492412388923
2015-02-26,-0.002826408016425752
2015-02-27,-0.008188016985146596
2015-03-02,0.006460692342204144
2015-03-03,-0.001426617865700197
2015-03-04,-0.0071423613096064376
2015-03-05,0.012949269552374965
2015-03-06,0.016335431000199074
2015-03-09,0.0013974067079716157
2015-03-10,-0.025122010207618062
2015-03-11,0.018611179966385505
2015-03-12,0.026704117585735432
2015-03-13,-0.006844738246867821
2015-03-16,0.005513568660221013
2015-03-17,0.0013707850001993815
2015-03-18,-0.009582359646525429
2015-03-19,-0.0027644043799448514
2015-03-20,0.015245925539151273
2015-03-23,-0.0068256595554014865
2015-03-24,-0.01649483442449251
2015-03-25,-0.01956698968214088
2015-03-26,0.008552689481172937
2015-03-27,-0.010600378370674957
2015-03-30,0.014286253868957655
2015-03-31,-0.0028172679847666693
2015-04-01,0.0
2015-04-02,0.006355954228328464
2015-04-06,-0.006315811221291212
2015-04-07,0.006355954228328464
2015-04-08,-0.004210875122068303
2015-04-09,0.0
2015-04-10,-0.009160968380770296
2015-04-13,0.0135134462062807
2015-04-14,-0.010526385466272714
2015-04-15,0.006382697073918919
2015-04-16,0.014799277621214024
2015-04-17,-0.021527614225883562
2015-04-20,0.008516877398532019
2015-04-21,-0.0021114644857788134
2015-04-22,0.011283560716590868
2015-04-23,0.0
2015-04-24,-0.007670855632081142
2015-04-27,-0.008432683656906081
2015-04-28,0.010630624808883216
2015-04-29,0.016128932036032717
2015-04-30,-0.0027605890966346802
2015-05-01,-0.0034602640802809947
2015-05-04,0.015972225737243884
2015-05-05,0.0013671349930290955
2015-05-06,-0.012969123860532505
2015-05-07,-0.007606998683902022
2015-05-08,0.0160277714314625
2015-05-11,0.01097350514431139
2015-05-12,-0.001356738699960669
2015-05-13,0.01358717866813719
2015-05-14,0.000669945574824693
2015-05-15,-0.01540513282346645
2015-05-18,0.010884317630391438
2015-05-19,0.01682377078939523
2015-05-20,-0.009265273234192128
2015-05-21,-0.0033399719073851086
2015-05-22,-0.0013406574585709263
2015-05-26,-0.005368773846216701
2015-05-27,0.008771722574022256
2015-05-28,-0.006020278864257378
2015-05-29,-0.013865223061053422
2015-06-01,-0.0048009933775803315
2015-06-02,0.008959283343570767
2015-06-03,0.013661044286551016
2015-06-04,-0.00606476460302352
2015-06-05,0.023729074992854038
2015-06-08,0.0006621969003686168
2015-06-09,0.015221673161601057
2015-06-10,0.004563319969384416
2015-06-11,-0.003244654896353394
2015-06-12,0.0006507101201671528
2015-06-15,-0.0013009440031588326
2015-06-16,0.005863170879291335
2015-06-17,-0.012305695962675611
2015-06-18,0.007868575359688768
2015-06-19,-0.010409957411708026
2015-06-22,0.014464380671453725
2015-06-23,0.014257961118103069
2015-06-24,-0.014057529410353764
2015-06-25,-0.003888668894178382
2015-06-26,-0.000650286971853431
2015-06-29,-0.025390747770445365
2015-06-30,0.0033399276371175457
2015-07-01,0.019307891225308182
2015-07-02,-0.015023010837955653
2015-07-06,-0.0046419978553778884
2015-07-07,-0.006662054397430506
2015-07-08,-0.018779411227553555
2015-07-09,0.01298681481156061
2015-07-10,0.006747849775332382
2015-07-13,0.008042707387131864
2015-07-14,0.009308783208849425
2015-07-15,0.007246152132662331
2015-07-16,-0.007848177430747172
2015-07-17,-0.015161563211064433
2015-07-20,0.017402841526934054
2015-07-21,-0.010526290186435805
2015-07-22,0.019281837950269498
2015-07-23,-0.011741550647141885
2015-07-24,-0.008580901019010101
2015-07-27,-0.015979081571551812
2015-07-28,0.002030276841326728
2015-07-29,0.010128031467697474
2015-07-30,0.0006686793264882862
2015-07-31,-0.008684077819687053
2015-08-03,-0.00606476460302352
2015-08-04,0.0067797770280790814
2015-08-05,0.0033669169623402606
2015-08-06,-0.006040152143274913
2015-08-07,-0.011478646892077116
2015-08-10,0.021857573730545088
2015-08-11,-0.01604241071301271
2015-08-12,-0.021739458035000103
2015-08-13,0.01319474027329548
2015-08-14,0.012337269709886467
2015-08-17,-0.0013543692512354433
2015-08-18,0.004067943339739255
2015-08-19,-0.011478646892077116
2015-08-20,-0.02868848438556726
2015-08-21,-0.03023909908582023
2015-08-24,-0.06163933952915723
2015-08-25,-0.020865356593886997
2015-08-26,0.05998443595138103
2015-08-27,0.033506741730543466
2015-08-28,-0.0018109418506029318
2015-08-31,-0.00290233264248263
2015-09-01,-0.04730731427445656
2015-09-02,0.0175707621066461
