Date,EXE
2021-02-11,-0.048677667771375055
2021-02-12,-0.006775619501138919
2021-02-16,0.0244650239053108
2021-02-17,0.016302743208746584
2021-02-18,-0.02846787256116101
2021-02-19,0.023255808868227312
2021-02-22,-0.0036362602849472347
2021-02-23,-0.00410604401013448
2021-02-24,0.03069170091350637
2021-02-25,-0.005555607212082259
2021-02-26,-0.012737175259287192
2021-03-01,0.011090887924409376
2021-03-02,0.01410323484128262
2021-03-03,0.04304659542101352
2021-03-04,-0.022645654220778688
2021-03-05,-0.024902461262430786
2021-03-08,-0.014656896794194019
2021-03-09,-0.0020282340091676287
2021-03-10,0.01061396966117667
2021-03-11,0.013184510233338997
2021-03-12,0.009042841980354321
2021-03-15,0.0
2021-03-16,-0.02054658256418307
2021-03-17,0.010488957658390197
2021-03-18,-0.039311077565499564
2021-03-19,-0.004367908093550477
2021-03-22,-0.012929781472548973
2021-03-23,-0.02456158100819461
2021-03-24,-0.002398126144749768
2021-03-25,0.013461269621953598
2021-03-26,0.027751869936541107
2021-03-29,-0.018693754737399648
2021-03-30,0.014581289219617988
2021-03-31,0.005795138892294549
2021-04-01,0.035491904275463115
2021-04-05,-0.006009177470225113
2021-04-06,0.012315130144862074
2021-04-07,-0.0024331249402065325
2021-04-08,0.005099946398650079
2021-04-09,0.004632561450641948
2021-04-12,-0.00197622847897716
2021-04-13,0.0013199910214543031
2021-04-14,0.014942071233483567
2021-04-15,0.0
2021-04-16,-0.01169111849959903
2021-04-19,0.0070099680433530764
2021-04-20,-0.005655803987217545
2021-04-21,0.011594815235209222
2021-04-22,-0.003460210778719719
2021-04-23,0.008246293039990249
2021-04-26,0.009039981599464397
2021-04-27,-0.0002131040006690954
2021-04-28,-0.014721653935209744
2021-04-29,0.0166740237269265
2021-04-30,-0.029393236842877313
2021-05-03,0.017335994219340733
2021-05-04,-0.0077652988272040036
2021-05-05,0.01608711595797252
2021-05-06,0.016474248331301622
2021-05-07,0.03493970955894543
2021-05-10,0.008135194689539604
2021-05-11,-0.010288473703787937
2021-05-12,0.008561086260768347
2021-05-13,0.00040428721171603677
2021-05-14,-0.012727383763111777
2021-05-17,0.022917870176321298
2021-05-18,0.02620534318300982
2021-05-19,-0.005847878186418187
2021-05-20,-0.010000175147331203
2021-05-21,0.005663563612851474
2021-05-24,0.0023794594842834194
2021-05-25,-0.0021761397577011454
2021-05-26,0.04678827811212449
2021-05-27,0.002841017120563727
2021-05-28,-0.0028329686082457783
2021-06-01,0.03939388686975387
2021-06-02,-0.02660356995027391
2021-06-03,0.0011233575419273834
2021-06-04,0.01776365503985433
2021-06-07,0.020392961764129636
2021-06-08,-0.0005398187584370051
2021-06-09,-0.0014412475042714368
2021-06-10,0.00270604989664891
2021-06-11,0.011515040112399122
2021-06-14,-0.006937245860155983
2021-06-15,0.002328541265327333
2021-06-16,-0.03341665078528566
2021-06-17,-0.006100898154692835
2021-06-18,-0.012090826768733298
2021-06-21,0.037092962265680374
2021-06-22,-0.02668863189321391
2021-06-23,-0.012684084757637493
2021-06-24,0.0030227337987334124
2021-06-25,0.0007533841159610422
2021-06-28,-0.04009018335829828
2021-06-29,-0.02843132102703194
2021-06-30,0.04783023038221201
2021-07-01,0.039869126691089996
2021-07-02,0.011113245353906676
2021-07-06,-0.013372531782023134
2021-07-07,0.0074265685196199804
2021-07-08,0.006450612455361604
2021-07-09,0.0036623293519371103
2021-07-12,-0.0012772614995490983
2021-07-13,-0.016989266426247207
2021-07-14,-0.05519431667018104
2021-07-15,-0.0023603625149450913
2021-07-16,-0.011435257102950347
2021-07-19,-0.02473067521381289
2021-07-20,0.03905934670584288
2021-07-21,0.042314483857583296
2021-07-22,0.019259684417206824
2021-07-23,0.015005574519812326
2021-07-26,0.007118050954179722
2021-07-27,-0.0039867536947959525
2021-07-28,0.008733428197443383
2021-07-29,-0.0018038765575048021
2021-07-30,-0.0233101021777099
2021-08-02,-0.013876133404736257
2021-08-03,0.02382740753706125
2021-08-04,-0.0016493545475672056
2021-08-05,-0.004955981117133468
2021-08-06,0.015310818917828373
2021-08-09,-0.017805242299314572
2021-08-10,0.026637081234123672
2021-08-11,0.025945956678384396
2021-08-12,0.032841677186379536
2021-08-13,-0.03434792191475766
2021-08-16,-0.016904499935128214
2021-08-17,-0.01898603326865067
2021-08-18,-0.04290684885517082
2021-08-19,-0.00858430189393189
2021-08-20,0.013469070140636807
2021-08-23,-0.0014522946645768586
2021-08-24,0.008612358037298318
2021-08-25,0.0062619353288373425
2021-08-26,0.0015085928824263295
2021-08-27,0.04274147179020593
2021-08-30,-0.010653735219386284
2021-08-31,0.01861656845382953
2021-09-01,0.014334304867918535
2021-09-02,0.02967682640428282
2021-09-03,0.012695133441988471
2021-09-07,0.013552389086168848
2021-09-08,0.017549893617037737
2021-09-09,-0.005092160252408995
2021-09-10,-0.01700516785060513
2021-09-13,0.052401964126067124
2021-09-14,-0.01548059286564163
2021-09-15,0.02091113068360717
2021-09-16,-0.028421797245565594
2021-09-17,-0.0019609699732111574
2021-09-20,-0.022105796147892764
2021-09-21,-0.024447511773702524
2021-09-22,0.005149494095686213
2021-09-23,0.03261605742601015
2021-09-24,-0.031089829399395974
2021-09-27,0.06639353269943582
2021-09-28,-0.006082035273413888
2021-09-29,-0.019967667361963315
2021-09-30,0.011994863024792357
2021-10-01,0.007955771843557224
2021-10-04,0.04123701325800466
2021-10-05,0.03527236315747895
2021-10-06,-0.044082564746799835
2021-10-07,0.01219321091077985
2021-10-08,0.015907310614239778
2021-10-11,-0.046366739109370836
