Date,CF
2015-01-05,-0.003418401678642047
2015-01-06,0.020689292410188242
2015-01-07,0.028512876378237184
2015-01-08,0.013895910383257215
2015-01-09,0.00814109670955876
2015-01-12,0.0014805893410663185
2015-01-13,0.005443483141021943
2015-01-14,-0.033084003643051196
2015-01-15,-0.002073563271685397
2015-01-16,0.0307890176216552
2015-01-20,0.019084276119300192
2015-01-21,-0.003461895806837423
2015-01-22,0.016508944123495572
2015-01-23,-0.01790078850963117
2015-01-26,0.006859723827581599
2015-01-27,0.007866676464233446
2015-01-28,-0.016524494272483592
2015-01-29,0.01872790455994111
2015-01-30,-0.0045958001641840385
2015-02-02,-0.001997597885817548
2015-02-03,-0.012238660302306803
2015-02-04,-0.01322069242943924
2015-02-05,0.00855048028257177
2015-02-06,-0.009879878486424687
2015-02-09,0.0012472325436638787
2015-02-10,0.0034680058957479165
2015-02-11,0.002516077684864948
2015-02-12,0.017861903058371986
2015-02-13,-0.003965945950632932
2015-02-17,-0.008924953747410536
2015-02-18,-0.00840291273230509
2015-02-19,0.02761661482753408
2015-02-20,0.013174176989500408
2015-02-23,0.013911419871967645
2015-02-24,-0.0025587834633568063
2015-02-25,-0.01487743171195377
2015-02-26,-0.002050571476991836
2015-02-27,-0.0012393347587995596
2015-03-02,0.016784347286613377
2015-03-03,-0.00044922953575798896
2015-03-04,-0.02021050022758042
2015-03-05,-0.005410528711104923
2015-03-06,-0.017310145182675596
2015-03-09,0.020902963724731327
2015-03-10,-0.03730239540860625
2015-03-11,-0.007339846548506723
2015-03-12,0.0038862048706913566
2015-03-13,0.002535248559692338
2015-03-16,0.0012642880919451205
2015-03-17,-0.012218046093288915
2015-03-18,0.018553715825953
2015-03-19,-0.01618043530107116
2015-03-20,0.0006900047420259625
2015-03-23,-0.0008274172023257087
2015-03-24,0.0173110908445977
2015-03-25,-0.004270729669693885
2015-03-26,0.001701951859373274
2015-03-27,-0.018997684374776003
2015-03-30,0.008037224594339643
2015-03-31,-0.025087625778897005
2015-04-01,0.0016216550166241461
2015-04-02,-0.01379613245685729
2015-04-06,0.003925337499027348
2015-04-07,-0.0002487434246436493
2015-04-08,0.013155705480808688
2015-04-09,-0.000491685596562097
2015-04-10,-0.0010179320979096795
2015-04-13,-0.00179235104187625
2015-04-14,-0.0056690623735885515
2015-04-15,0.015155821739406994
2015-04-16,0.021905787325146475
2015-04-17,-0.00590490091385143
2015-04-20,-0.011193927367658896
2015-04-21,-0.007466188653201367
2015-04-22,-0.0006296701090118262
2015-04-23,0.014458986171169919
2015-04-24,0.01611616331842547
2015-04-27,-0.020004497103486396
2015-04-28,-0.002460509663002597
2015-04-29,0.012715655274408322
2015-04-30,-0.013824967751412953
2015-05-01,0.02445436996718464
2015-05-04,-0.00237680416285857
2015-05-05,-0.012219007989301311
2015-05-06,0.015127149035018439
2015-05-07,0.01863511561299669
2015-05-08,0.035889356381328286
2015-05-11,-0.007945909632722237
2015-05-12,-0.016439800237383118
2015-05-13,0.01166249242261741
2015-05-14,-0.0034389801837337863
2015-05-15,0.008018601556221805
2015-05-18,0.002738651269617698
2015-05-19,0.008713294319501186
2015-05-20,0.0022888606710909087
2015-05-21,0.019713021048965107
2015-05-22,0.012078519449480352
2015-05-26,-0.005702546312751466
2015-05-27,0.007020079180443117
2015-05-28,0.0009958322401317776
2015-05-29,-0.01793882764732746
2015-06-01,0.0023112988917193267
2015-06-02,0.008401419720563297
2015-06-03,0.007987017018528553
2015-06-04,-0.010409598424469424
2015-06-05,-0.0018841125898947375
2015-06-08,-0.00802211552117471
2015-06-09,0.000856449250156821
2015-06-10,0.015304343551730604
2015-06-11,-0.0036201444640315827
2015-06-12,-0.009709753818328726
2015-06-15,0.004522774783101369
2015-06-16,0.010170411945261693
2015-06-17,-0.012904534304875703
2015-06-18,0.014430996883550762
2015-06-19,-0.015719747315636967
2015-06-22,0.015022065101066628
2015-06-23,-0.008568105651610591
2015-06-24,-0.008485540995657459
2015-06-25,0.01362901017704754
2015-06-26,-0.0023447921645277647
2015-06-29,-0.019589434623509372
2015-06-30,0.02749354007680682
2015-07-01,0.012756794459381826
2015-07-02,-0.008602368583295772
2015-07-06,-0.015339394029368458
2015-07-07,-0.022659072399982216
2015-07-08,-0.031556981515484694
2015-07-09,0.01080646914899619
2015-07-10,0.014966879421483004
2015-07-13,0.006319906728593505
2015-07-14,0.009339831951761912
2015-07-15,-0.008455848424945733
2015-07-16,0.009493338153564679
2015-07-17,0.09850190153025795
2015-07-20,-0.05687750903576527
2015-07-21,-0.01630784311064548
2015-07-22,-0.022208392940067823
2015-07-23,-0.0031987220680441686
2015-07-24,-0.023588021030219175
2015-07-27,-0.02892357833576742
2015-07-28,-0.0032156412579444904
2015-07-29,0.005602770580595662
2015-07-30,-0.0018572418738499463
2015-07-31,0.0013533126017482022
2015-08-03,-0.0030403671596159754
2015-08-04,0.02558427724779677
2015-08-05,0.018007709621348233
2015-08-06,0.02239525537692799
2015-08-07,-0.06444443872218697
2015-08-10,0.03410256961617031
2015-08-11,-0.06037752641141969
2015-08-12,0.08197315849257558
2015-08-13,0.025632525391542593
2015-08-14,0.009649037999797772
2015-08-17,0.0031332527569036817
2015-08-18,-0.00874575247038778
2015-08-19,-0.02426355396091251
2015-08-20,-0.01388646632423407
2015-08-21,-0.025380841023289857
2015-08-24,-0.06081964942128715
2015-08-25,-0.001967944534528865
2015-08-26,0.005735774368408553
2015-08-27,0.03154489245393477
2015-08-28,-0.007083559867843259
2015-08-31,-0.0015659908143046408
2015-09-01,-0.0442665730602223
