Date,KMI
2015-01-05,-0.02709603901894242
2015-01-06,-0.019687911763943355
2015-01-07,0.013225430832604967
2015-01-08,0.0234471947448458
2015-01-09,-0.012517765244363321
2015-01-12,-0.004783433513886659
2015-01-13,-0.017303583733058625
2015-01-14,0.00807044041936078
2015-01-15,-0.010917112646289251
2015-01-16,0.01864115716448156
2015-01-20,0.006982730085256961
2015-01-21,0.004303960134759421
2015-01-22,0.0019049669570643246
2015-01-23,0.004515519846441052
2015-01-26,0.0
2015-01-27,0.0037852101059021592
2015-01-28,-0.025217920400929295
2015-01-29,-0.004888952513233957
2015-01-30,0.008351378342818183
2015-02-02,0.013885982716822287
2015-02-03,-0.003363924970905763
2015-02-04,-0.016393557394097757
2015-02-05,0.01691163502838
2015-02-06,-0.0019282443309702746
2015-02-09,-0.005071244984332091
2015-02-10,0.008495469263191113
2015-02-11,-0.008182930601377203
2015-02-12,0.013346220303931622
2015-02-13,0.005028817784689998
2015-02-17,0.003097156773947285
2015-02-18,0.0019003821151470923
2015-02-19,-0.004030317534860939
2015-02-20,-0.003332236003786959
2015-02-23,0.003821255412449709
2015-02-24,0.00333072643308574
2015-02-25,-0.0014229013353052045
2015-02-26,-0.02113509116449086
2015-02-27,-0.0050943849511998485
2015-03-02,-0.004389210842157265
2015-03-03,0.006367578912529703
2015-03-04,-0.0012167864226895198
2015-03-05,-0.004873075182476927
2015-03-06,-0.010528891462103451
2015-03-09,-0.007918793480322206
2015-03-10,0.0
2015-03-11,-0.006984452353757553
2015-03-12,-0.0010044842322398662
2015-03-13,0.0037713538724712947
2015-03-16,0.0175350081415222
2015-03-17,0.005170111236232122
2015-03-18,0.01787851844218369
2015-03-19,-0.0007215050908305765
2015-03-20,0.014206656702453468
2015-03-23,0.0007124483963285577
2015-03-24,-0.022064358410478824
2015-03-25,-0.0021830729961901385
2015-03-26,0.003646729189719977
2015-03-27,-0.0002423934686176521
2015-03-30,0.01938468577533281
2015-03-31,-0.00023784174987095952
2015-04-01,-0.0033285052988190067
2015-04-02,-0.004770623587115108
2015-04-06,0.005992135109978092
2015-04-07,0.000476355550983687
2015-04-08,0.0014290009895270295
2015-04-09,0.006896700960252744
2015-04-10,0.013934716074673004
2015-04-13,0.0011647844115361128
2015-04-14,0.0006978173220106854
2015-04-15,0.009765105706183386
2015-04-16,0.005756576197904817
2015-04-17,0.005036771691072195
2015-04-20,-0.004328409955967616
2015-04-21,-0.002287555500239291
2015-04-22,0.010548080515857983
2015-04-23,0.011345732154792953
2015-04-24,-0.005160694337961624
2015-04-27,-0.005187392488756437
2015-04-28,-0.00985530459712558
2015-04-29,-0.0030091806940198973
2015-04-30,-0.0027860263995582724
2015-05-01,0.004190677887384142
2015-05-04,-0.006955784320218594
2015-05-05,-0.004202718596100219
2015-05-06,0.000468748316277523
2015-05-07,-0.00023411475302914653
2015-05-08,0.008672952785578003
2015-05-11,-0.0090627658113136
2015-05-12,0.0014067237864088256
2015-05-13,-0.012646316984598505
2015-05-14,-0.0004740448341036263
2015-05-15,0.011390348544271678
2015-05-18,0.004927118027601152
2015-05-19,0.0007006890717766723
2015-05-20,-0.006299701021293402
2015-05-21,0.0016434546464294542
2015-05-22,0.0007031820577925174
2015-05-26,-0.014054655948688155
2015-05-27,-0.002375985845694095
2015-05-28,-0.00881134013683782
2015-05-29,-0.0031239530236848445
2015-06-01,-0.004820231340642356
2015-06-02,0.0
2015-06-03,-0.01017196319214253
2015-06-04,-0.01884013730627221
2015-06-05,0.0074813707913907734
2015-06-08,-0.004950912340095703
2015-06-09,0.0009951885590551157
2015-06-10,-0.00024825235891290376
2015-06-11,-0.01118587152027195
2015-06-12,-0.021618965324963657
2015-06-15,0.011305213287475802
2015-06-16,0.0033030843193460058
2015-06-17,0.0007595480147817302
2015-06-18,0.01417026837614821
2015-06-19,-0.01347339267925407
2015-06-22,0.002782107177194071
2015-06-23,-0.005548455085686688
2015-06-24,0.0005071089142056895
2015-06-25,-0.011913810423479831
2015-06-26,-0.0005128813541835919
2015-06-29,-0.01540056198501738
2015-06-30,0.000782005893790183
2015-07-01,-0.010679644743438299
2015-07-02,0.0013161311358038663
2015-07-06,-0.013935992974642208
2015-07-07,0.0063998583785793706
2015-07-08,-0.011658855843267424
2015-07-09,0.005362212454266269
2015-07-10,0.01573325469259257
2015-07-13,0.002625247235010786
2015-07-14,-0.004451176207977636
2015-07-15,-0.011573243174181513
2015-07-16,-0.004789507534673665
2015-07-17,-0.013636275972406242
2015-07-20,-0.015993586715517316
2015-07-21,-0.012672277649576902
2015-07-22,-0.013392741058474877
2015-07-23,-0.011595232907445241
2015-07-24,-0.002861563466009409
2015-07-27,0.010617326846605213
2015-07-28,0.009937695141616576
2015-07-29,0.004560912056793542
2015-07-30,-0.005958957107924268
2015-07-31,-0.011133219445062403
2015-08-03,-0.0256931901056362
2015-08-04,-0.0026667594321669874
2015-08-05,-0.04218619360426523
2015-08-06,0.013957223777863126
2015-08-07,-0.016824333510629952
2015-08-10,0.011200894418414986
2015-08-11,0.01199999767560156
2015-08-12,0.029188293216054317
2015-08-13,-0.02097497635331036
2015-08-14,0.02474350767149991
2015-08-17,0.01177846814570338
2015-08-18,-0.012223422988990706
2015-08-19,-0.01060676599825272
2015-08-20,-0.026504330089788808
2015-08-21,-0.027531068944227854
2015-08-24,-0.04749930319608975
2015-08-25,-0.011558679524243165
2015-08-26,0.028733811117176877
2015-08-27,0.039298359249338555
2015-08-28,0.019687791216597583
2015-08-31,-0.006742740790673385
2015-09-01,-0.031471670853948086
