Date,CL
2015-01-05,-0.007386664632339723
2015-01-06,-0.010506895284079554
2015-01-07,0.00796319649791033
2015-01-08,0.013606834842511795
2015-01-09,-0.009815592986366806
2015-01-12,-0.004956054148710809
2015-01-13,0.006885669025937569
2015-01-14,-0.004074506192988547
2015-01-15,-0.0018986410823241817
2015-01-16,0.01244137571184778
2015-01-20,-0.0030359807134264782
2015-01-21,-0.003644580311991108
2015-01-22,0.014191753932301543
2015-01-23,-0.031448362289160925
2015-01-26,-0.012660006816407443
2015-01-27,-0.00950350947336509
2015-01-28,-0.008224138981750673
2015-01-29,0.06004251735556543
2015-01-30,-0.021873893271713296
2015-02-02,0.021771010483947917
2015-02-03,0.0028988709846284877
2015-02-04,0.00014426395796052205
2015-02-05,0.008526263240365983
2015-02-06,-0.007021289998272229
2015-02-09,-0.0033189940674176466
2015-02-10,0.005357203088379503
2015-02-11,0.000432286548076366
2015-02-12,0.005469545245699425
2015-02-13,0.0032929996579589282
2015-02-17,0.0015698102373993272
2015-02-18,0.004985980510201049
2015-02-19,-0.004678168627016088
2015-02-20,0.0004273374633827487
2015-02-23,0.006264591944576958
2015-02-24,0.00466876238974212
2015-02-25,0.0
2015-02-26,0.0014079980935675085
2015-02-27,-0.004077960616679643
2015-03-02,0.002682882885114868
2015-03-03,-0.004647066341185835
2015-03-04,0.0
2015-03-05,0.0110353693953269
2015-03-06,-0.03092617284876842
2015-03-09,0.004909521841555353
2015-03-10,-0.017100112065405182
2015-03-11,-0.007455977433266314
2015-03-12,0.009427206532107268
2015-03-13,-0.0010217777994929733
2015-03-16,0.008179949054634594
2015-03-17,-0.00883794793408721
2015-03-18,-0.0011693367460421378
2015-03-19,-0.0005853171836386339
2015-03-20,0.01859695252692717
2015-03-23,0.008769548171381647
2015-03-24,-0.012256277663655113
2015-03-25,-0.006059777995893079
2015-03-26,-0.002176850168766231
2015-03-27,0.000145208330704083
2015-03-30,0.007854502527378182
2015-03-31,0.0007215449248936245
2015-04-01,-0.0036053342330326643
2015-04-02,0.0034734836743657294
2015-04-06,0.008942967064632601
2015-04-07,-0.0034311273849588764
2015-04-08,0.00272588267126439
2015-04-09,0.0008583952533971484
2015-04-10,-0.005003208471060283
2015-04-13,-0.004309788318074936
2015-04-14,0.0046170339849649356
2015-04-15,0.003590388560481994
2015-04-16,0.0028622303189407283
2015-04-17,-0.01141548033745221
2015-04-20,-0.011836154867363446
2015-04-21,0.013660206657639451
2015-04-22,0.003912897729271947
2015-04-23,-0.0008662369761879285
2015-04-24,-0.0007222565942762715
2015-04-27,-0.002747119343538995
2015-04-28,-0.0030441730768203668
2015-04-29,-0.0037805920352718125
2015-04-30,-0.017953835762940074
2015-05-01,0.005945382444848102
2015-05-04,0.0026597887365347184
2015-05-05,-0.007073764276804728
2015-05-06,0.006084883374986916
2015-05-07,0.0013277008882226493
2015-05-08,0.004714550086346803
2015-05-11,-0.005425130596704686
2015-05-12,0.0007366998874729358
2015-05-13,-0.0041246244061293735
2015-05-14,0.015236401253051923
2015-05-15,0.0
2015-05-18,-0.0002913156989288179
2015-05-19,0.007724694048808711
2015-05-20,-0.0036158125553797937
2015-05-21,-0.0010160030506123352
2015-05-22,-0.004649590794458147
2015-05-26,-0.019708373525683998
2015-05-27,0.00580806044863702
2015-05-28,-0.003109435108285208
2015-05-29,-0.00801969409452874
2015-06-01,0.0016468472678692336
2015-06-02,-0.0025413382227179593
2015-06-03,-0.0023977537292217965
2015-06-04,-0.00976405025630378
2015-06-05,-0.006674918162697607
2015-06-08,-0.0021380487405534554
2015-06-09,0.010560119847813576
2015-06-10,0.015750185030101393
2015-06-11,-0.007752548032303186
2015-06-12,-0.003907069613308112
2015-06-15,-0.01433103089659915
2015-06-16,0.009794974400080259
2015-06-17,0.006517010324727401
2015-06-18,0.011444138865516207
2015-06-19,-0.004019362035324159
2015-06-22,0.0050818070669458315
2015-06-23,-0.0034199978836754186
2015-06-24,-0.007760496387080762
2015-06-25,-0.0004512927485251783
2015-06-26,0.0006020196501255182
2015-06-29,-0.016541388784259814
2015-06-30,0.0001528886883639391
2015-07-01,0.011466232547937993
2015-07-02,0.0
2015-07-06,-0.003023087506683897
2015-07-07,0.020467091781867897
2015-07-08,-0.012776980021103834
2015-07-09,-0.004213604949864336
2015-07-10,0.007102882845612335
2015-07-13,0.012004743509040239
2015-07-14,-0.002520415581817148
2015-07-15,-0.005351710049972258
2015-07-16,0.010611499118002188
2015-07-17,-0.0017749325593003906
2015-07-20,0.004444252009064842
2015-07-21,-0.007118987275895994
2015-07-22,0.0008961728301017935
2015-07-23,0.000596769746363579
2015-07-24,-0.0005964138246365991
2015-07-27,0.004477571463644692
2015-07-28,0.01619593126604779
2015-07-29,0.007895821749398069
2015-07-30,-0.01320155550805624
2015-07-31,0.0
2015-08-03,0.00588040523645228
2015-08-04,0.000438499664767944
2015-08-05,0.00920396393303391
2015-08-06,-0.006224622947326619
2015-08-07,-0.00233089923173202
2015-08-10,0.0036505698750894933
2015-08-11,-0.0069834009171581
2015-08-12,-0.0038086741066505336
2015-08-13,-0.00499979020471486
2015-08-14,0.0019208673322197445
2015-08-17,-0.001917184674808059
2015-08-18,0.0004431400902520366
2015-08-19,-0.0140346470202114
2015-08-20,-0.011237648454864857
2015-08-21,-0.015305203168724413
2015-08-24,-0.04662972513695085
2015-08-25,-0.025504548998977472
2015-08-26,0.030810292834538844
2015-08-27,0.013819524071189138
2015-08-28,0.0041210092404722065
2015-08-31,-0.00852384533540873
2015-09-01,-0.02451860192480959
