Date,DG
2015-01-05,-0.0064992297667716414
2015-01-06,-0.012656316068144768
2015-01-07,0.012098679287793512
2015-01-08,-0.010815117973291044
2015-01-09,-0.01999723898307515
2015-01-12,-0.014826897393766192
2015-01-13,0.01028154969757833
2015-01-14,-0.0022122442701439926
2015-01-15,-0.02631204310329216
2015-01-16,0.02671933902086221
2015-01-20,-0.004288242068299364
2015-01-21,-0.0019301857142560719
2015-01-22,0.038089561192567345
2015-01-23,-0.0038698286837358653
2015-01-26,-0.009496644053219594
2015-01-27,-0.01728624919077082
2015-01-28,-0.00783468315222502
2015-01-29,0.011621216581475524
2015-01-30,-0.012371168441994929
2015-02-02,-0.0007453786038957855
2015-02-03,0.022384739602784087
2015-02-04,0.0043786340527602885
2015-02-05,-0.004650557482085427
2015-02-06,-0.00467215890572803
2015-02-09,-0.007921377550573427
2015-02-10,0.002809662391833445
2015-02-11,-0.001621970705657172
2015-02-12,-0.0017725723199397692
2015-02-13,0.01819814580499468
2015-02-17,0.010752521961486128
2015-02-18,0.010925571035892201
2015-02-19,0.005404242497138778
2015-02-20,0.014002846263887037
2015-02-23,-0.0030687044988996215
2015-02-24,0.006436665102784067
2015-02-25,0.007646039085910772
2015-02-26,-0.004001172958788546
2015-02-27,0.005956176029059401
2015-03-02,0.006472278772604145
2015-03-03,-0.019701707240706967
2015-03-04,0.004187049154123157
2015-03-05,-0.003335563627056226
2015-03-06,-0.0054387123160363204
2015-03-09,0.006029200011859137
2015-03-10,-0.010034948870961125
2015-03-11,0.005912888609324929
2015-03-12,0.039608209968410524
2015-03-13,0.00026952336389585163
2015-03-16,0.014804769090338565
2015-03-17,-0.009018421013068934
2015-03-18,0.008966408323011432
2015-03-19,-0.0063664976837375375
2015-03-20,0.01161332166840734
2015-03-23,-0.004354391776283051
2015-03-24,0.0007952226085914393
2015-03-25,-0.017746129127171884
2015-03-26,0.008224307986973045
2015-03-27,0.0028083916631871375
2015-03-30,-0.000933586413660703
