Date,UHS
2015-01-05,-0.020456072280443993
2015-01-06,0.000367952435238017
2015-01-07,0.029887942202222684
2015-01-08,0.010268692520657652
2015-01-09,-0.0025629848165618085
2015-01-12,-0.05857354089411426
2015-01-13,9.436188487943475e-05
2015-01-14,-0.018259326994732983
2015-01-15,0.012942625143798958
2015-01-16,0.024228452582021776
2015-01-20,-0.01007215255009608
2015-01-21,0.010828265456451103
2015-01-22,0.019207731485021196
2015-01-23,-0.034973572039972756
2015-01-26,0.01248726762432395
2015-01-27,-0.009273203126148877
2015-01-28,-0.010857209517694755
2015-01-29,-0.002271030274220265
2015-01-30,-0.02759864608561613
2015-02-02,0.005949588453377563
2015-02-03,0.016676031056395813
2015-02-04,0.003528751041153688
2015-02-05,0.00560670108163519
2015-02-06,-0.007843467129815762
2015-02-09,-0.011143929666918573
2015-02-10,0.021768613807040094
2015-02-11,0.00047146927283892026
2015-02-12,-0.019222090886414578
2015-02-13,0.008069985760830178
2015-02-17,0.01772630704050493
2015-02-18,0.0014982083362529153
2015-02-19,0.0021504014306203967
2015-02-20,0.006438030545123707
2015-02-23,0.00482055560796657
2015-02-24,0.0011989897254345294
2015-02-25,0.006174143631121787
2015-02-26,0.031166915793845673
2015-02-27,0.007645262211494419
2015-03-02,0.010057245608243282
2015-03-03,-0.015372441496169231
2015-03-04,0.02678962332651813
2015-03-05,-0.007516056507681501
2015-03-06,-0.007224997368160402
2015-03-09,-0.004559428700714685
2015-03-10,-0.004844486920586588
2015-03-11,0.0083201155032111
2015-03-12,0.004915751441067151
2015-03-13,-0.003494233988840967
2015-03-16,0.01858361759023297
2015-03-17,-0.00025824151165498854
2015-03-18,0.009641016685792536
2015-03-19,0.012277344289066683
2015-03-20,0.0002524704552568924
2015-03-23,0.021640541843840122
2015-03-24,-0.010961861515040194
2015-03-25,-0.016833497543482512
2015-03-26,-0.005424662648203071
2015-03-27,0.006477044992661218
2015-03-30,0.015833882034774316
2015-03-31,-0.018837792704842427
2015-04-01,-0.04035381862818177
2015-04-02,0.033020574133811875
2015-04-06,0.01216928707960796
2015-04-07,-0.001608856171143369
2015-04-08,0.008989530410584257
