Date,TXN
2015-01-05,-0.01552002193951163
2015-01-06,-0.01652424393084828
2015-01-07,0.01796064973694711
2015-01-08,0.016315954315751613
2015-01-09,0.0005597870365108282
2015-01-12,-0.008955274189054063
2015-01-13,-0.0062120203769401305
2015-01-14,-0.001515751044211866
2015-01-15,-0.006070860207982864
2015-01-16,0.017178934259576062
2015-01-20,0.009757894434103243
2015-01-21,0.008734246337624318
2015-01-22,0.01271183746739335
2015-01-23,0.0016371448813672362
2015-01-26,-0.00018130043195951906
2015-01-27,-0.003996246852249197
2015-01-28,-0.010093872878937704
2015-01-29,0.01353348996692283
2015-01-30,-0.022315428424878214
2015-02-02,0.0007481691369899401
2015-02-03,0.017760187821757922
2015-02-04,0.0033067878087051916
2015-02-05,0.012632763781232459
2015-02-06,-0.01717595849093978
2015-02-09,-0.0016557337458410482
2015-02-10,0.028560775810915873
2015-02-11,0.0032247647767611465
2015-02-12,0.02571420208538311
2015-02-13,0.009226892072625947
2015-02-17,0.003967608708380865
2015-02-18,-0.004467541173798439
2015-02-19,0.0017259558498960992
2015-02-20,0.00827027912431011
2015-02-23,-0.0042717787589882095
2015-02-24,0.01184102254862851
2015-02-25,0.002374689798072316
2015-02-26,0.005414515797315778
2015-02-27,-0.010434171042283169
2015-03-02,0.019387755714706856
2015-03-03,-0.02285622787382957
2015-03-04,-0.00426813196162279
2015-03-05,0.00034263050810756646
2015-03-06,-0.011998507189015628
2015-03-09,0.01353222301817536
2015-03-10,-0.022595111480301577
2015-03-11,0.0012259777260692495
2015-03-12,0.0008749537733638846
2015-03-13,-0.0017479370887200085
2015-03-16,0.021183620070136966
2015-03-17,-0.006171998880459495
2015-03-18,0.005692758104891782
2015-03-19,0.003945236433032129
2015-03-20,0.012813832521263224
2015-03-23,-0.010458811649420197
2015-03-24,-0.003750357883188671
2015-03-25,-0.04637244148103914
2015-03-26,0.0012559344213634027
2015-03-27,0.01720445871398102
2015-03-30,0.02184613429783555
2015-03-31,-0.013965360944867555
2015-04-01,-0.011365657670588725
2015-04-02,0.003183699487170344
2015-04-06,0.0015866644780822003
2015-04-07,0.002288158871059043
2015-04-08,0.0005270219662756315
2015-04-09,0.014218025422187752
2015-04-10,-0.0013846401742396708
2015-04-13,-0.008492079440634903
2015-04-14,-0.008040630538192817
2015-04-15,0.030837043947302245
2015-04-16,-0.0015385590255850845
2015-04-17,-0.01848986285586296
2015-04-20,0.0146516524500091
2015-04-21,-0.00017158369408687424
2015-04-22,0.009800593162304638
