Date,DPZ
2015-01-05,0.012515004807253094
2015-01-06,-0.012360315400595567
2015-01-07,0.03404418754156291
2015-01-08,0.03364119225539808
2015-01-09,-0.0027782129712629056
2015-01-12,0.016119207977451033
2015-01-13,-0.004112762596508057
2015-01-14,-0.02743333314270202
2015-01-15,-0.02102995254720963
2015-01-16,0.017143553198623485
2015-01-20,-0.009950227585500793
2015-01-21,-0.0013331069092444858
2015-01-22,0.016738604849542815
2015-01-23,-0.00919071674546168
2015-01-26,0.006523781802063144
2015-01-27,0.001924075589178953
2015-01-28,0.009703835841865738
2015-01-29,0.014015605851886104
2015-01-30,-0.022114895823305836
2015-02-02,-0.009793197816292176
2015-02-03,0.013152872349248224
2015-02-04,0.0035219784088382777
2015-02-05,0.00020036333007977802
2015-02-06,0.0012035684969826654
2015-02-09,-0.012317571506967218
2015-02-10,0.023319583317904513
2015-02-11,-0.004755731385539086
2015-02-12,0.0010951817876598824
2015-02-13,-0.005568667803971916
2015-02-17,0.0066995336807065264
2015-02-18,0.011721606866607504
2015-02-19,-0.000981537389201259
2015-02-20,0.007370948714383596
2015-02-23,0.019512096615377672
2015-02-24,-0.009282287518135646
2015-02-25,0.003863595243661866
2015-02-26,0.0006735228173135877
2015-02-27,-0.023749878692876703
2015-03-02,0.028661448101334086
2015-03-03,-0.015415541693719503
2015-03-04,0.0043763199286666055
2015-03-05,0.0009676155217321902
2015-03-06,-0.024278779170011977
2015-03-09,0.004857343722190155
2015-03-10,-0.022987266172462162
2015-03-11,-0.005672322924847539
2015-03-12,0.026079798312682367
2015-03-13,-0.009928791149402816
2015-03-16,0.0181509343264048
2015-03-17,0.006106629702392841
2015-03-18,0.00019573587926302594
2015-03-19,0.015660062047397227
2015-03-20,0.008287631016367092
2015-03-23,-0.005830112400570742
2015-03-24,0.000673046744330108
2015-03-25,-0.028629112256120193
2015-03-26,-0.005637412293591382
2015-03-27,0.005072846747567139
2015-03-30,0.014844042752341746
2015-03-31,-0.019502560166234528
2015-04-01,-0.0004972534042015919
2015-04-02,0.00487540591618707
2015-04-06,-0.0017824484215386294
2015-04-07,-0.01408578168307073
2015-04-08,0.009055283943267156
2015-04-09,-0.010868636493674533
2015-04-10,0.013105137374408438
2015-04-13,-0.0029852592484751472
2015-04-14,-0.017066169582365287
2015-04-15,-0.0013199526420348828
2015-04-16,0.021045473163183726
2015-04-17,-0.011848841774103502
2015-04-20,0.00423235737348282
2015-04-21,-0.0026093389506400833
2015-04-22,0.004024137447715681
2015-04-23,0.09448914826932331
2015-04-24,0.04330286189153165
2015-04-27,-0.032554995732681724
2015-04-28,0.013968066935479806
2015-04-29,-0.02146870937344003
2015-04-30,-0.014078193496611546
2015-05-01,0.004543147129866476
2015-05-04,-0.0037842326316164243
2015-05-05,-0.02056875938463576
2015-05-06,0.003973154609263396
2015-05-07,0.016960178083195387
2015-05-08,0.01111829742375825
2015-05-11,0.006506101775270778
2015-05-12,-0.007101275281327091
2015-05-13,-0.0034842867789974807
2015-05-14,0.011317806614413062
2015-05-15,0.003912324582682425
2015-05-18,0.006797245154114284
2015-05-19,-0.004861177896192781
2015-05-20,-0.0012663504711117879
2015-05-21,-0.003079653037650343
2015-05-22,-0.009448454514250804
2015-05-26,-0.004310671794449106
2015-05-27,0.0008292353284724552
2015-05-28,0.005153902958304979
2015-05-29,-0.005036130459240007
2015-06-01,0.0035890784168788326
2015-06-02,-0.0016508623867729222
2015-06-03,0.0011027864133519305
2015-06-04,0.00036674722901652856
2015-06-05,0.008896615979530953
2015-06-08,-0.0011815273397659531
2015-06-09,0.005096751437913882
2015-06-10,0.01774886691002009
2015-06-11,-0.0013381728777642765
2015-06-12,0.0032161006799953373
2015-06-15,-0.01318004259091421
2015-06-16,-0.0004512721947114162
2015-06-17,0.0014443237898491557
2015-06-18,0.01487553180422907
2015-06-19,-0.0058628917677503445
2015-06-22,0.017424879444916552
2015-06-23,-0.0021079481226849994
2015-06-24,-0.01742650338409224
2015-06-25,0.000716393374450508
2015-06-26,0.028464280256188745
2015-06-29,-0.007833090037798973
2015-06-30,-0.005263138659209354
2015-07-01,0.010141306153084173
2015-07-02,-0.005849288028945576
2015-07-06,-0.00658578170318358
2015-07-07,0.002563643700651097
2015-07-08,-0.0015869255566384188
2015-07-09,0.0039737699048914
2015-07-10,0.0196145258524687
2015-07-13,0.03027980237680361
2015-07-14,-0.0053591032777011716
2015-07-15,-0.00210449884317343
2015-07-16,-0.02505475518296707
2015-07-17,-0.047849616395232
2015-07-20,0.009087362358380924
2015-07-21,0.0029721053368714223
2015-07-22,0.008440127757826321
2015-07-23,-0.00587661508303694
2015-07-24,-0.006179882114105029
2015-07-27,0.003154098880233658
2015-07-28,0.004132735195265358
2015-07-29,0.015567731083282466
2015-07-30,0.0029072066964783705
2015-07-31,0.0
2015-08-03,0.003777077370146209
2015-08-04,0.008401392280044329
2015-08-05,-0.0072029917054244885
2015-08-06,-0.022377753357580965
2015-08-07,0.014216639186617863
2015-08-10,-0.002556713469907823
2015-08-11,0.003093476313735355
2015-08-12,-0.014186166595790528
2015-08-13,0.02073654407297476
2015-08-14,-0.0002628300723169774
2015-08-17,0.0071825095937716465
2015-08-18,-0.01817528148112768
2015-08-19,-0.020992260341022195
2015-08-20,-0.025965538882111505
2015-08-21,-0.029537850119080722
2015-08-24,-0.025842091560842384
2015-08-25,0.031833362127416054
2015-08-26,0.012187822314435381
2015-08-27,0.014111197642035833
2015-08-28,0.00565883777822207
2015-08-31,-0.02278398668275894
2015-09-01,-0.019728159622489083
