Date,UAL
2015-01-05,-0.0028639557205281108
2015-01-06,-0.023733932858792328
2015-01-07,0.014710388995148094
2015-01-08,0.0169388162830586
2015-01-09,-0.01950784909460468
2015-01-12,0.008876673761279985
2015-01-13,0.007433335964425192
2015-01-14,-0.03553682397548297
2015-01-15,-0.0034348354445096207
2015-01-16,0.03007987018435565
2015-01-20,0.034676787517823104
2015-01-21,0.017345293640294468
2015-01-22,0.04522463942815147
2015-01-23,0.010505974214880975
2015-01-26,0.007113601686941529
2015-01-27,-0.02472153799136767
2015-01-28,-0.014345492547526928
2015-01-29,0.038999608127024965
2015-01-30,-0.05657549438020848
2015-02-02,0.0001440753415054008
2015-02-03,-0.020322803236279774
2015-02-04,0.05487708784096568
2015-02-05,-0.029288682894045515
2015-02-06,-0.02902294091022839
2015-02-09,-0.04453983507954418
2015-02-10,0.047390391405546684
2015-02-11,-0.007540951168827137
2015-02-12,0.003277615946161383
2015-02-13,-0.01648341314703139
2015-02-17,-0.019628612197884143
2015-02-18,0.02756816428637321
2015-02-19,-0.009442519054046583
2015-02-20,0.02905138303418342
2015-02-23,0.012204001993671554
2015-02-24,0.029779244055965437
2015-02-25,-0.031033953550342885
2015-02-26,-0.018488924549744712
2015-02-27,-0.03322453166130923
2015-03-02,0.02500762880923979
2015-03-03,0.03277956176372521
2015-03-04,-0.004782635232676635
2015-03-05,-0.010921800203850474
2015-03-06,-0.018404005207578567
2015-03-09,-0.00779955988222325
2015-03-10,-0.02328043658358603
2015-03-11,0.02104938240990628
2015-03-12,0.02683032606206681
2015-03-13,-0.002509568560766562
2015-03-16,0.005179790967912323
2015-03-17,0.017226121915301595
2015-03-18,-0.01432910574966395
2015-03-19,0.029221702031693164
2015-03-20,-0.009131108904088414
2015-03-23,-0.026493828923590756
2015-03-24,0.000295764574558266
2015-03-25,-0.030607715198740504
2015-03-26,-0.008999334348103405
2015-03-27,0.042788959936343796
2015-03-30,0.006494500980166018
2015-03-31,-0.013785047774620196
2015-04-01,-0.04817840689620123
2015-04-02,-0.0332760661932493
2015-04-06,-0.028442180120409555
2015-04-07,-0.009148357399069273
2015-04-08,0.016451226242350847
2015-04-09,0.010074328951902078
2015-04-10,-0.0017985711351536926
2015-04-13,-0.0006552156597416925
2015-04-14,-0.01245694709788192
2015-04-15,0.012282185534718604
2015-04-16,0.019839302363880096
2015-04-17,-0.011414776137682825
2015-04-20,0.014799151448564363
2015-04-21,0.020833320597298366
2015-04-22,0.005023483144338092
2015-04-23,-0.019056505310485528
2015-04-24,0.01130571804296543
2015-04-27,-0.02409067579487123
2015-04-28,-0.009035194860067763
