Date,IRM
2015-01-05,0.0048767726462242145
2015-01-06,0.009195160121186818
2015-01-07,0.0015185632545844374
2015-01-08,0.018448382499450133
2015-01-09,-0.020347180554148636
2015-01-12,-0.0040531673744242935
2015-01-13,0.009410362180430232
2015-01-14,0.007810605047600339
2015-01-15,0.008999675931761653
2015-01-16,-0.000743074750812811
2015-01-20,0.010414329763374308
2015-01-21,-0.02085921404828328
2015-01-22,0.011027572078432302
2015-01-23,0.010163934596387758
2015-01-26,0.0026989582637615417
2015-01-27,-0.01223695783981349
2015-01-28,-0.004707350448749703
2015-01-29,0.012447149171477045
2015-01-30,-0.02040838388177546
2015-02-02,-0.0042669423069883194
2015-02-03,0.013360384531384772
2015-02-04,0.008706223460314133
2015-02-05,0.013316716658385852
2015-02-06,-0.004380599039658151
2015-02-09,-0.033732389014424546
2015-02-10,0.00556557120633383
2015-02-11,0.0027671201900845155
2015-02-12,0.015303788826394937
2015-02-13,-0.02718097271556419
2015-02-17,-0.007365985174260903
2015-02-18,0.01151494258600172
2015-02-19,-0.0177080177697182
2015-02-20,-0.05459690557148633
2015-02-23,-0.011440913296018485
2015-02-24,0.007991051099651703
2015-02-25,-0.002733916764773303
2015-02-26,0.010142677554007884
2015-02-27,-0.0027136014229126593
2015-03-02,0.02013574542487029
2015-03-03,-0.002667277471780638
2015-03-04,-0.011512714463571938
2015-03-05,0.0027403959398675237
2015-03-06,-0.008472698048410665
2015-03-09,0.0077180397749527785
2015-03-10,-0.008478992200013136
2015-03-11,-0.007724043054766483
2015-03-12,0.02029436696755127
2015-03-13,0.0046322140505674625
2015-03-16,0.019799265017586
2015-03-17,0.003723313413603435
2015-03-18,0.0219928416967059
2015-03-19,-0.007778283115000284
2015-03-20,0.009929464131559484
2015-03-23,-0.008279241846880558
2015-03-24,-0.013305589052033717
2015-03-25,-0.03675293537252555
2015-03-26,-0.0016472104374455343
2015-03-27,0.007423966573679941
2015-03-30,0.003002028901051057
2015-03-31,-0.007347013461900476
2015-04-01,-0.005208057899627527
2015-04-02,0.023698122592961335
2015-04-06,0.016150445698851046
2015-04-07,-0.025430335694922812
2015-04-08,0.02120110504863182
2015-04-09,-0.005323515649478194
2015-04-10,-0.005351730587093706
2015-04-13,-0.006456927433804216
2015-04-14,-0.0013536400800597814
2015-04-15,-0.012744135639779719
2015-04-16,0.012908645164684263
2015-04-17,0.0
2015-04-20,-0.0024402471520875713
2015-04-21,-0.008154429637986405
2015-04-22,-0.002740679165409876
2015-04-23,0.0030228429074994345
2015-04-24,0.00054789136857325
2015-04-27,-0.00766684485789082
2015-04-28,0.0286972198338451
2015-04-29,-0.05042895303375727
2015-04-30,-0.025706364236180668
2015-05-01,0.0031893668461067115
2015-05-04,0.007225570500563716
2015-05-05,-0.01836449175071253
2015-05-06,0.0011694360001401893
2015-05-07,0.01985377046825687
2015-05-08,0.014600725011312266
2015-05-11,0.006490030445772232
2015-05-12,0.005887251759835177
2015-05-13,0.0072461437351869495
2015-05-14,0.012175014643971638
2015-05-15,0.011208009049207046
2015-05-18,0.006218171996945188
2015-05-19,0.010209486765615505
2015-05-20,-0.009840146183892395
2015-05-21,-0.013430279727941086
2015-05-22,-0.002450119256082184
2015-05-26,-0.003821148691396936
2015-05-27,0.011232952839058896
2015-05-28,-0.00433490903317757
2015-05-29,-0.007618954949766277
2015-06-01,0.009871005970929492
2015-06-02,-0.05837634008102921
