Date,INTU
2015-01-05,-0.0039470855656043025
2015-01-06,-0.03070971151363655
2015-01-07,0.009793343492700224
2015-01-08,0.013421205018716353
2015-01-09,-0.0210324448685133
2015-01-12,-0.014209764877308073
2015-01-13,-0.004727923626084873
2015-01-14,-0.0009267115510697144
2015-01-15,-0.013336411752201127
2015-01-16,0.01574980023907857
2015-01-20,0.011571358988346603
2015-01-21,-0.01166796798472547
2015-01-22,0.027662318510946138
2015-01-23,0.007095301451155223
2015-01-26,-0.0006709998668961159
2015-01-27,-0.010183571604971853
2015-01-28,-0.010740394897812422
2015-01-29,0.010857003401754106
2015-01-30,-0.01842864596108118
2015-02-02,0.016816727470669868
2015-02-03,0.025147218351700085
2015-02-04,0.0004418113199511353
2015-02-05,0.012922365448329476
2015-02-06,-0.04230694583902728
2015-02-09,0.00011329043364427527
2015-02-10,0.014799746855766571
2015-02-11,-0.0039259961603785865
2015-02-12,0.006757327500686916
2015-02-13,0.00962070762961087
2015-02-17,-0.0017726932716065624
2015-02-18,-0.0036628685801843863
2015-02-19,0.015040029758599971
2015-02-20,0.061573561668324395
2015-02-23,-0.003928749065687631
2015-02-24,0.010795333945215813
2015-02-25,0.0026699885153989023
2015-02-26,0.00040967363999366846
2015-02-27,-0.0005119673755783483
2015-03-02,0.010754439961430995
2015-03-03,-0.0068907197068371895
2015-03-04,-0.0056121519727156954
2015-03-05,0.0068753286187523965
2015-03-06,-0.0072360508598307005
2015-03-09,0.0024636756208749055
2015-03-10,-0.02314377286051361
2015-03-11,-0.0022016056004457996
2015-03-12,0.015759654749786467
2015-03-13,0.011274460995352786
2015-03-16,0.01646718655610324
2015-03-17,-0.004024842062683498
2015-03-18,0.009598027428306066
2015-03-19,-0.0015014031603273192
2015-03-20,0.006514586941125833
2015-03-23,-0.0029871952535683866
2015-03-24,-0.0042945579151075775
2015-03-25,-0.02387118923246856
2015-03-26,-0.0038024527074531633
2015-03-27,0.0011349637013797764
2015-03-30,0.01205438911341461
2015-03-31,-0.012928844091699365
2015-04-01,0.007425756144428419
2015-04-02,0.008394700402150734
2015-04-06,-0.0065994948580604396
2015-04-07,-0.005109508753773917
2015-04-08,0.008444915061547542
2015-04-09,0.00010211711538699042
2015-04-10,0.009802834268493488
2015-04-13,-0.010112384776952865
2015-04-14,-0.00010223306464429704
2015-04-15,0.0008176942224795702
2015-04-16,-0.0058183830628898425
2015-04-17,-0.018585563489517676
2015-04-20,0.011195077393737485
2015-04-21,0.006104420328215898
2015-04-22,0.03002875951391082
2015-04-23,0.012879411163584598
2015-04-24,-0.0021685690914555744
2015-04-27,0.0036550354287685494
2015-04-28,0.0004919288364151342
2015-04-29,-0.004623552628597816
2015-04-30,-0.008400943531016392
2015-05-01,0.002591847121892865
2015-05-04,0.006958870313324983
2015-05-05,-0.01263708689089127
2015-05-06,-0.004699618391052929
2015-05-07,0.005324540107579434
2015-05-08,0.0267814670502875
2015-05-11,-0.004087871540485177
2015-05-12,-0.0006840949779656214
2015-05-13,-0.00019572838991688268
2015-05-14,0.015453901640194445
2015-05-15,-0.0143516486673253
2015-05-18,9.771628856869441e-05
2015-05-19,0.00908729356617699
2015-05-20,0.001065335980735993
2015-05-21,0.007545017638270757
2015-05-22,0.024961536577156274
2015-05-26,-0.019576738257871873
2015-05-27,0.004967888430946754
2015-05-28,-0.0009505162904583919
2015-05-29,-0.008944646774941
2015-06-01,0.021795329474530778
2015-06-02,-0.001879216072637746
2015-06-03,0.005836927906737621
2015-06-04,-0.01291654676961873
2015-06-05,0.001327347113328381
2015-06-08,-0.010416261336178456
2015-06-09,0.0013392234961304705
2015-06-10,0.027141018005103268
2015-06-11,-0.015351477427279048
2015-06-12,-0.010394401564545963
2015-06-15,-0.016041168236922254
2015-06-16,0.006598362118614753
