Date,PTC
2015-01-05,-0.027235155579837134
2015-01-06,-0.007918517377369816
2015-01-07,0.00399086038600216
2015-01-08,0.015048232848593024
2015-01-09,-0.00363639351371281
2015-01-12,-0.025547441737779897
2015-01-13,-0.012964585848714627
2015-01-14,-0.013718547257209113
2015-01-15,-0.007398638450024975
2015-01-16,0.015801990603152127
2015-01-20,0.0032286648469876944
2015-01-21,-0.00029263125047296334
2015-01-22,0.023119723671665815
2015-01-23,-0.002574375141441654
2015-01-26,0.001433875497335535
2015-01-27,-0.01804115940585105
2015-01-28,-0.04053658070971389
2015-01-29,0.0331307021894971
2015-01-30,-0.017063895334319068
2015-02-02,0.0014965350879647676
2015-02-03,0.03407051466948374
2015-02-04,-0.010115563281971607
2015-02-05,-0.0008758767677919943
2015-02-06,-0.007890135830863731
2015-02-09,-0.008247498901378436
2015-02-10,0.011583107382091118
2015-02-11,-0.009688837866972833
2015-02-12,-0.00237171708992312
2015-02-13,0.010995510107190132
2015-02-17,0.01734274381684342
2015-02-18,0.004622936856125248
2015-02-19,0.0005752216709908886
2015-02-20,0.004024127219437679
2015-02-23,-0.017463515746410585
2015-02-24,0.00378790994379985
2015-02-25,-0.00812779645263062
2015-02-26,0.014047509003668468
2015-02-27,0.0002885518352930827
2015-03-02,-0.004616267977971655
2015-03-03,-0.019130430359771244
2015-03-04,-0.006205646676292864
2015-03-05,0.011002049364653876
2015-03-06,-0.014117633595186141
2015-03-09,0.0044748719908473955
2015-03-10,-0.02346293863356108
2015-03-11,-0.0012165728171503742
2015-03-12,0.0009134829219699103
2015-03-13,0.0042591844903479
2015-03-16,0.03120274602747397
2015-03-17,0.009988253332648966
2015-03-18,0.051774250261664045
2015-03-19,-0.0016593300205810513
2015-03-20,0.025207753071359695
2015-03-23,-0.030532215743455215
2015-03-24,-0.002508365382069888
2015-03-25,-0.01229400475414233
2015-03-26,0.011598298871561719
2015-03-27,0.008109645669438281
2015-03-30,0.0011095954611344272
2015-03-31,0.0022166255477746866
2015-04-01,-0.0005528516471857703
2015-04-02,0.009958417163456579
2015-04-06,0.01807723576428777
2015-04-07,-0.0032283814311571124
2015-04-08,0.014035100363606112
2015-04-09,0.009848254854676997
2015-04-10,0.0
2015-04-13,-0.021085905799094196
2015-04-14,-0.0024232674762233453
