Date,NWSA
2015-01-05,-0.03014749867458688
2015-01-06,-0.013888954502540019
2015-01-07,-0.002682658577219721
2015-01-08,0.03160730014409374
2015-01-09,0.0045631605252114404
2015-01-12,-0.008436137026142876
2015-01-13,-0.003272442334023018
2015-01-14,-0.008535559739502485
2015-01-15,-0.0059600679176530225
2015-01-16,0.003331089966323475
2015-01-20,-0.008632266524031595
2015-01-21,0.0013394598507456834
2015-01-22,0.016722443859819025
2015-01-23,-0.0013155957298284227
2015-01-26,0.023715198033154028
2015-01-27,-0.005791314741130149
2015-01-28,-0.02006460399842047
2015-01-29,-0.013870746856510907
2015-01-30,-0.0026790646803690477
2015-02-02,0.003357790343254674
2015-02-03,0.04484614707014134
2015-02-04,-0.0012813184996849358
2015-02-05,0.00898025073754205
2015-02-06,0.03369346297514242
2015-02-09,0.028290375661258027
2015-02-10,0.0029902811493445203
2015-02-11,-0.0005961828550511417
2015-02-12,0.004773405773779826
2015-02-13,0.0029688438809714057
2015-02-17,0.013025655825879667
2015-02-18,-0.008766933908450958
2015-02-19,0.004717052169116442
2015-02-20,0.00586844202540493
2015-02-23,0.010501782489380496
2015-02-24,-0.0017321277008023328
2015-02-25,0.008675978840138487
2015-02-26,-0.006307617992538761
2015-02-27,-0.003462255945771986
2015-03-02,0.009843994961284297
2015-03-03,-0.013188638878056547
2015-03-04,-0.00697260775165176
2015-03-05,0.0005852730185909039
2015-03-06,-0.01578945736192716
2015-03-09,-0.00891259659460708
2015-03-10,-0.026978560338020374
2015-03-11,0.010474521238380552
2015-03-12,0.021341387161788905
2015-03-13,-0.0029849257277052565
2015-03-16,0.013173460215662791
2015-03-17,-0.010047241100781146
2015-03-18,0.00835814094765408
2015-03-19,-0.011841120831796559
2015-03-20,0.008987486812097378
2015-03-23,0.0023750108371316525
2015-03-24,-0.006516558050954302
2015-03-25,-0.020870594761773997
2015-03-26,-0.014616344439449036
2015-03-27,-0.0018539682760523313
2015-03-30,0.004334296070927612
2015-03-31,-0.012947039962153961
2015-04-01,0.006246190347783731
2015-04-02,0.004344990805430493
2015-04-06,0.004326394201936035
2015-04-07,-0.00799978740938756
2015-04-08,-0.0037223410082768416
2015-04-09,-0.0074719580872736335
2015-04-10,-0.0012547240564414475
