Date,PCG
2015-01-05,0.01687278698377126
2015-01-06,-0.001474870856838395
2015-01-07,0.007939537535045504
2015-01-08,0.012639499082894412
2015-01-09,0.00994947870494256
2015-01-12,-0.007164562695190058
2015-01-13,0.019483867525917464
2015-01-14,0.02017368524293861
2015-01-15,-0.0006940709322131866
2015-01-16,0.009546932125999996
2015-01-20,0.002407224779876982
2015-01-21,0.0029160854165035666
2015-01-22,-0.0046178746612797195
2015-01-23,0.011512036258713776
2015-01-26,0.009002967977705945
2015-01-27,0.00016815819259208276
2015-01-28,-0.002019892215853414
2015-01-29,0.014505228562998074
2015-01-30,-0.022277793296089365
2015-02-02,-0.003060642460650298
2015-02-03,0.003752365109079836
2015-02-04,-0.015972870644357928
2015-02-05,0.002590246641731575
2015-02-06,-0.03444720171830873
2015-02-09,-0.005172900174093442
2015-02-10,0.01864776776750232
2015-02-11,-0.028339934891636775
2015-02-12,0.0
2015-02-13,-0.020652291694187586
2015-02-17,0.006104595124482248
2015-02-18,0.021327224306857406
2015-02-19,-0.009000694751735927
2015-02-20,-0.0012718762291757946
2015-02-23,0.005092914246790148
2015-02-24,-0.001990676679567427
2015-02-25,-0.018857563410540124
2015-02-26,-0.003511321105358567
2015-02-27,-0.003523693926210547
2015-03-02,-0.0061417745110455835
2015-03-03,0.005805230969171182
2015-03-04,-0.0014895025885640623
2015-03-05,0.003729154645841559
2015-03-06,-0.030280398889272586
2015-03-09,-0.0024906393818592276
2015-03-10,-0.005761359829350221
2015-03-11,-0.007533250212029108
2015-03-12,0.020046579037209522
2015-03-13,-0.011639034139050985
2015-03-16,0.03378402705135386
2015-03-17,-0.009337009935422524
2015-03-18,0.022620185621297306
2015-03-19,-0.011797640626728834
2015-03-20,0.0065287900783264075
2015-03-23,0.009822256698116538
2015-03-24,-0.018902656886501945
2015-03-25,-0.01309397908433052
2015-03-26,-0.007391895116247604
2015-03-27,0.001829913564556085
2015-03-30,0.018073486682043116
2015-03-31,0.0022661348375785373
2015-04-01,0.0009422383342789775
2015-04-02,0.008847871851423106
2015-04-06,0.012688901517676765
2015-04-07,-0.014556784341244633
2015-04-08,0.0024308512323873988
2015-04-09,-0.015482175742356996
2015-04-10,0.004926102156286971
2015-04-13,-0.013009127035840895
2015-04-14,-0.0009551178904048108
2015-04-15,-0.007265851619974173
2015-04-16,0.0
2015-04-17,0.008474616370629962
2015-04-20,0.004201859436322453
2015-04-21,-0.010460337859219737
2015-04-22,-0.0034595075635712735
2015-04-23,0.006557319386016447
2015-04-24,0.010538505941313225
2015-04-27,-0.016496060732359763
2015-04-28,0.014073458326024912
2015-04-29,0.025095176590057777
2015-04-30,-0.0185462276855044
2015-05-01,0.010771367447895974
2015-05-04,0.003365080571057888
2015-05-05,-0.02459485712157705
2015-05-06,-0.008022974371374447
2015-05-07,-0.003080968516533389
2015-05-08,0.012169247611533818
2015-05-11,-0.006488571971425605
2015-05-12,-0.007299347137101231
2015-05-13,-0.01431905469858108
2015-05-14,0.00961945519916596
2015-05-15,0.011277412643792228
2015-05-18,0.009805760596133917
2015-05-19,0.009329667408408904
2015-05-20,-0.0030183556018161806
2015-05-21,0.0056766490862565355
2015-05-22,-0.008278495255200857
2015-05-26,-0.0005690145620487197
2015-05-27,0.011009740802768064
2015-05-28,0.0018776756506662107
2015-05-29,0.0020613615583382483
2015-06-01,0.0035533153439071263
2015-06-02,-0.014163246391134643
2015-06-03,-0.017580190605489987
2015-06-04,-0.002309027690144627
2015-06-05,-0.009450304010731658
2015-06-08,-0.011098206942064648
2015-06-09,-0.009056763841876037
2015-06-10,0.001986902953904801
2015-06-11,0.003767348965240336
2015-06-12,-0.007506912183111392
2015-06-15,-0.008558757770893877
2015-06-16,0.006022853521948646
2015-06-17,0.013769788513963821
2015-06-18,0.01751938745709336
2015-06-19,-0.011800933222187893
2015-06-22,0.0013703130362339166
2015-06-23,-0.013880811587029696
2015-06-24,-0.01169696754060967
2015-06-25,-0.005014920386322119
2015-06-26,0.011292968498477496
2015-06-29,-0.007444491309696377
2015-06-30,-0.004662582700646456
2015-07-01,0.005702832106636357
2015-07-02,0.008302755214015578
2015-07-06,0.00482019977839232
2015-07-07,0.027383771018187453
2015-07-08,0.0005836219202324244
2015-07-09,-0.014194252876237212
2015-07-10,0.00828417043312335
2015-07-13,0.001956331201061534
2015-07-14,-0.004295202975807877
2015-07-15,0.008235194947909141
2015-07-16,0.01653043286043654
2015-07-17,-0.01798350308517971
2015-07-20,-0.002727578158155275
2015-07-21,-0.011525524269383691
2015-07-22,0.014229114235539297
2015-07-23,-0.019290594954664786
2015-07-24,0.00039724375462069084
2015-07-27,0.029394443827610806
2015-07-28,0.008682097827907409
2015-07-29,0.0011475175158002227
2015-07-30,-0.003056854578617152
2015-07-31,0.006324351373868442
2015-08-03,0.0024757512306079477
2015-08-04,-0.012347949989654383
2015-08-05,-0.0030775120218661245
2015-08-06,0.006366659470722347
2015-08-07,0.01399568158926634
2015-08-10,-0.012289661201994817
2015-08-11,0.007465324615179458
2015-08-12,0.01045056596094196
2015-08-13,0.0033846794302523353
2015-08-14,0.013493048078725867
2015-08-17,0.003513277820614169
2015-08-18,0.0025799680235096822
2015-08-19,-0.0051462028744971855
2015-08-20,-0.004618483323460487
2015-08-21,-0.01484787373005414
2015-08-24,-0.050301318857322475
2015-08-25,-0.028764286795788352
2015-08-26,0.00959973438937145
2015-08-27,0.018409695753621502
2015-08-28,0.0015893973517966398
2015-08-31,-0.01666010276025287
2015-09-01,-0.034288064712190924
2015-09-02,0.0010441850191074131
