Date,KMX
2015-01-05,-0.02843387024129873
2015-01-06,-0.01254260375231997
2015-01-07,0.015838141983425924
2015-01-08,0.020222253523913603
2015-01-09,-0.015887357853601514
2015-01-12,-0.010608893476222625
2015-01-13,-0.0012432297272991777
2015-01-14,-0.013225432060339104
2015-01-15,-0.01876377579732713
2015-01-16,0.020568837999558776
2015-01-20,-0.01102183855679384
2015-01-21,0.003184157679818611
2015-01-22,0.01952070425331187
2015-01-23,0.009807050183104238
2015-01-26,-0.0015416386508615432
2015-01-27,-0.01651993107276928
2015-01-28,-0.018367377859173972
2015-01-29,0.012474054201523366
2015-01-30,-0.01911234991191124
2015-02-02,0.006924320704371212
2015-02-03,0.019510654798014393
2015-02-04,0.011137240540747495
2015-02-05,0.001085940053031642
2015-02-06,-0.001704642994458827
2015-02-09,0.0020180826840690003
2015-02-10,0.01735081431815666
2015-02-11,0.004568342624070354
2015-02-12,0.009246636335670244
2015-02-13,0.016521454548954706
2015-02-17,-0.0029550376380079735
2015-02-18,0.0004445580587510989
2015-02-19,0.011701983269577942
2015-02-20,-0.0024891038176237945
2015-02-23,-0.007632418377065409
2015-02-24,-0.0048809618115009945
2015-02-25,0.012187867266676422
2015-02-26,-0.005433114911567949
2015-02-27,-0.009154033897128988
2015-03-02,0.009834540704996453
2015-03-03,-0.005607160576078463
2015-03-04,-0.040065246664135246
2015-03-05,-0.001082079025852889
2015-03-06,-0.025069679321047644
2015-03-09,0.0031746152847531572
2015-03-10,-0.016613911778245893
2015-03-11,-0.0024135401801470557
2015-03-12,0.007258076821604176
2015-03-13,0.013931127642212271
2015-03-16,0.01358181640076439
2015-03-17,0.00841385031099473
2015-03-18,0.011742925245609381
2015-03-19,0.0024434334836958005
2015-03-20,0.013863553786883198
2015-03-23,-0.0015027212461259376
2015-03-24,0.012791665049701972
2015-03-25,-0.01411596633816059
2015-03-26,-0.008289305727381402
2015-03-27,0.013525825963083493
2015-03-30,0.03793670245431069
2015-03-31,-0.0030337919787531975
2015-04-01,-0.008984244709311917
2015-04-02,0.09270367047619521
2015-04-06,-0.010437660560054463
2015-04-07,-0.007166988521552287
2015-04-08,0.008853194525872965
2015-04-09,0.0005400420641574755
2015-04-10,-0.012413954410584793
2015-04-13,-0.0024593564581431027
2015-04-14,-0.007533256206890049
2015-04-15,-0.0008280093755426154
2015-04-16,-0.009944768032163154
2015-04-17,-0.014927451036115036
2015-04-20,0.00509843658461584
2015-04-21,-0.0012681973472884467
2015-04-22,-0.0005643470242292503
2015-04-23,-0.0016938893759275153
2015-04-24,-0.01060520343685234
2015-04-27,-0.016578585706329085
2015-04-28,0.008429034321078
