Date,MA
2015-01-05,-0.028128280313761134
2015-01-06,-0.0021616304959506394
2015-01-07,0.015555241478656168
2015-01-08,0.015554565517435837
2015-01-09,-0.012743603020927141
2015-01-12,-0.012790868822746049
2015-01-13,0.00227984004724191
2015-01-14,-0.0010774062925706929
2015-01-15,-0.014498445738860721
2015-01-16,0.018845520862321052
2015-01-20,0.005489280644495942
2015-01-21,-0.006408905570605583
2015-01-22,0.0078834811326145
2015-01-23,0.00011847003802123446
2015-01-26,-0.009361494184186081
2015-01-27,-0.021889791558365346
2015-01-28,-0.012596278004812222
2015-01-29,0.00792692792102856
2015-01-30,0.007987123372230842
2015-02-02,0.011580943451155568
2015-02-03,0.01000253876517987
2015-02-04,0.004414270621458716
2015-02-05,0.019482598790376837
2015-02-06,-0.019343055662180864
2015-02-09,0.0051091720191647205
2015-02-10,-0.004255584703703352
2015-02-11,0.0027306291378417225
2015-02-12,0.03623011150289779
2015-02-13,-0.004341833263305284
2015-02-17,0.004360766986460707
2015-02-18,0.0023998205943120965
2015-02-19,0.016755745266018085
2015-02-20,0.017825167279638565
2015-02-23,0.003634654264823789
2015-02-24,0.002194764824883455
2015-02-25,0.01478353285258227
2015-02-26,-0.015215308241430692
2015-02-27,-0.012382416376932825
2015-03-02,0.020969865767554108
2015-03-03,-0.011410812680424987
2015-03-04,0.008134655874702412
2015-03-05,0.011994480227808024
2015-03-06,-0.02176490415449428
2015-03-09,0.003634654264823789
2015-03-10,-0.025022122161822424
2015-03-11,-0.0210486753880037
2015-03-12,0.026215550623267747
2015-03-13,-0.016806587134462037
2015-03-16,0.01094032961234026
2015-03-17,-0.008341985843747235
2015-03-18,0.010344330844019423
2015-03-19,0.001575247321516704
2015-03-20,0.008986525146317037
2015-03-23,-0.005455168817733447
2015-03-24,0.0017909404581726296
2015-03-25,-0.023689514983730064
2015-03-26,0.00640960771793142
2015-03-27,-0.007733863194448354
2015-03-30,0.004814308570312065
2015-03-31,-0.014600290061174137
2015-04-01,0.004051200973764546
2015-04-02,0.0033435620676371958
2015-04-06,0.003561771453714835
2015-04-07,0.008488390870344364
2015-04-08,0.01592318544233451
2015-04-09,-0.002910805794996807
2015-04-10,-0.00550166928030138
2015-04-13,-0.0036131475450470463
2015-04-14,0.009858659428396477
2015-04-15,0.001458349579731566
2015-04-16,-0.005937795648060518
2015-04-17,-0.02017638574583247
2015-04-20,0.004601361215401223
2015-04-21,0.005038621029727963
2015-04-22,0.039079274036301515
2015-04-23,-0.0035085079827437138
2015-04-24,-0.001761100503333668
2015-04-27,-0.010691922287167421
2015-04-28,0.0053481034586633225
2015-04-29,0.0002218021927553604
2015-04-30,-0.0004435060149041714
2015-05-01,0.01152925274958494
2015-05-04,-0.0007675852153495866
2015-05-05,-0.004386975629614875
2015-05-06,-0.002313337473598631
2015-05-07,0.016341349852474707
2015-05-08,0.015860393258724237
2015-05-11,-0.010586936604970343
2015-05-12,-0.0014051085330507584
2015-05-13,0.0014070856410917099
2015-05-14,0.014267397629655898
2015-05-15,-0.006607028497476963
2015-05-18,-0.0015017705005869741
2015-05-19,0.007735244106653161
2015-05-20,-0.005970197570045244
2015-05-21,-0.003646561323496833
2015-05-22,-0.0022601094913412556
2015-05-26,-0.0086312755085729
2015-05-27,0.007617799876762366
2015-05-28,0.002484000608899306
2015-05-29,-0.006033144771682708
2015-06-01,0.0032515401453314663
2015-06-02,0.006590332500708174
2015-06-03,0.0035421179857819673
2015-06-04,-0.009946625069857662
2015-06-05,0.0005401816568026963
2015-06-08,-0.007773487078535757
2015-06-09,0.0020673722524560123
2015-06-10,0.02258661836028608
2015-06-11,0.0035039855874645642
2015-06-12,-0.007724688331064877
2015-06-15,-0.005012241631104586
2015-06-16,0.009110627783655456
2015-06-17,0.003186266689547468
2015-06-18,0.01694036565271073
2015-06-19,-0.012910183307325407
2015-06-22,0.006433674535879286
2015-06-23,0.002934632569792761
2015-06-24,-0.001985621908574209
2015-06-25,-0.010993354717518167
2015-06-26,0.0005292874388349578
2015-06-29,-0.021056094031717043
2015-06-30,0.010376408849024576
2015-07-01,0.010911074930392228
2015-07-02,-0.0027507351302477057
2015-07-06,0.0029705144564031727
2015-07-07,-0.00498063159294404
2015-07-08,-0.014911282569197493
2015-07-09,0.005946623233246129
2015-07-10,0.01698199501003561
2015-07-13,0.009300515154347044
2015-07-14,-0.002408901094508309
2015-07-15,-0.00020928746296633438
2015-07-16,0.005984066316147452
2015-07-17,0.0027137469018647664
2015-07-20,0.012281306918535462
2015-07-21,-0.0056549761214803596
2015-07-22,0.0017575664572744287
2015-07-23,-0.017753649560228957
2015-07-24,0.007040693988145774
2015-07-27,-0.01502672780938874
2015-07-28,0.008157844322504326
2015-07-29,0.016498469755048317
2015-07-30,0.0173679139784082
2015-07-31,-0.010262914711264948
2015-08-03,0.0004101698830620837
2015-08-04,-0.0014364616710784706
2015-08-05,0.009968735401468365
2015-08-06,-0.011294834845351542
2015-08-07,0.006278195843105072
2015-08-10,0.003170621307808652
2015-08-11,-0.008972167777083095
2015-08-12,-0.0016462236794542173
2015-08-13,0.0019577278129401243
2015-08-14,0.006788100558920096
2015-08-17,-0.0003060255740008344
2015-08-18,-0.00265742323455076
2015-08-19,-0.010245696579062602
2015-08-20,-0.021118172727475626
2015-08-21,-0.04103218305562539
2015-08-24,-0.03142895219813535
2015-08-25,-0.011499646648848727
2015-08-26,0.056323531622115786
2015-08-27,0.025515004485216375
2015-08-28,0.00031920987627076514
2015-08-31,-0.018176233948216436
2015-09-01,-0.035942299908119923
