Date,OTIS
2020-03-20,-0.005524760394571726
2020-03-23,-0.11111097903291078
2020-03-24,0.0
2020-03-25,0.025249710913564538
2020-03-26,0.09729348944278571
2020-03-27,0.00522215868244813
2020-03-30,0.10533890674153112
2020-03-31,0.0
2020-04-01,-0.0660000781801311
2020-04-02,-0.05781594317952532
2020-04-03,0.07545468862044968
2020-04-06,-0.029163117424636398
2020-04-07,-0.036134061113350824
2020-04-08,-0.00429093059557295
2020-04-09,0.11453836380458804
2020-04-13,-0.06389903084123916
2020-04-14,-0.0023912924858511264
2020-04-15,-0.02920042605399631
2020-04-16,0.024018009928403528
2020-04-17,0.011618065117591225
2020-04-20,-0.016468334265503204
2020-04-21,0.011235908201767009
2020-04-22,0.025054491230215303
2020-04-23,0.008926765332495368
2020-04-24,0.008005071181518275
2020-04-27,0.007732451003804153
2020-04-28,0.03401072444670894
2020-04-29,0.025872714103084338
2020-04-30,-0.004692014075559525
2020-05-01,-0.023571230033373025
2020-05-04,-0.0036209084950797887
2020-05-05,-0.02907328463873915
2020-05-06,0.00457464683067621
2020-05-07,0.07244896516444577
2020-05-08,0.022003353424441707
2020-05-11,-0.021529629380094284
2020-05-12,-0.040339971033986344
2020-05-13,-0.030370074585949758
2020-05-14,-0.004355859418275321
2020-05-15,0.018541722690764928
2020-05-18,0.06627127869221683
2020-05-19,0.0034528169220864324
2020-05-20,0.016631636411118755
2020-05-21,-0.01793140107495561
2020-05-22,-0.00615008621229618
2020-05-26,-0.015858010399981914
2020-05-27,0.0292792123343808
2020-05-28,-0.02710956402892528
2020-05-29,0.03316305066023473
2020-06-01,0.02716059917693836
2020-06-02,0.0012945139834494857
2020-06-03,0.024376680302632847
2020-06-04,-0.0012620012796635827
2020-06-05,0.057220096332819104
2020-06-08,0.04592784446040832
2020-06-09,-0.009957357824563196
2020-06-10,-0.026710674273305757
2020-06-11,-0.04709478971298031
2020-06-12,-0.0037332867316228757
2020-06-15,0.02908645179053737
2020-06-16,0.003121187811345738
2020-06-17,-0.019187484481591577
2020-06-18,0.013218082760291905
2020-06-19,-0.008523043076695158
2020-06-22,0.0010524332394576952
2020-06-23,-0.00455668335350401
2020-06-24,-0.022183182934163326
2020-06-25,0.01188360199026417
2020-06-26,-0.007295385579997649
2020-06-29,0.01398086547403099
2020-06-30,0.005126296918410267
2020-07-01,-0.01899383617180972
2020-07-02,0.012907773648622722
