Date,CMS
2015-01-05,-0.008252710964344656
2015-01-06,0.0017216322336470746
2015-01-07,0.01632758360985931
2015-01-08,0.005355092155052921
2015-01-09,-0.010933172960395865
2015-01-12,-0.003118015670825258
2015-01-13,0.014785225104184674
2015-01-14,0.007845432903702765
2015-01-15,0.005837907621598415
2015-01-16,0.0127142133328364
2015-01-20,0.0038211518336856987
2015-01-21,0.011963061210611636
2015-01-22,-0.00456722292370515
2015-01-23,0.0134949279479748
2015-01-26,-0.002396725058085858
2015-01-27,0.0008005951544143297
2015-01-28,-0.006668171534272016
2015-01-29,0.025779024500821368
2015-01-30,-0.012303854214694043
2015-02-02,0.00106016757505345
2015-02-03,0.0018533457166498568
2015-02-04,-0.01624513778581549
2015-02-05,0.010286885444442229
2015-02-06,-0.04367621509680464
2015-02-09,-0.008966008173060258
2015-02-10,0.023465814885022196
2015-02-11,-0.017403129929762562
2015-02-12,-0.0011243134087061124
2015-02-13,-0.02476791869436934
2015-02-17,0.006060564780477229
2015-02-18,0.03212849493392622
2015-02-19,-0.014452403477947517
2015-02-20,0.0033841343560581105
2015-02-23,0.010961232664875808
2015-02-24,0.0025021502572124543
2015-02-25,-0.015252473861070204
2015-02-26,-0.005350607190935608
2015-02-27,-0.005379243337295558
2015-03-02,-0.022203575446281154
2015-03-03,-0.0032022034590623027
2015-03-04,0.0014602091860624888
2015-03-05,0.00991567066238197
2015-03-06,-0.04273753208739339
2015-03-09,-0.0009051052426396478
2015-03-10,-0.001207560939894492
2015-03-11,-0.007557458677412199
2015-03-12,0.028632417257137055
2015-03-13,-0.00829145290618638
2015-03-16,0.024186101548853367
2015-03-17,0.0026242023652753854
2015-03-18,0.03227708355423475
2015-03-19,-0.010422811014626276
2015-03-20,0.015656253723592695
2015-03-23,0.0008407077587599954
2015-03-24,-0.01904252894650038
2015-03-25,-0.015415391848195292
2015-03-26,-0.01101769116957474
2015-03-27,0.004983769882388245
2015-03-30,0.010501875561891305
2015-03-31,0.00779451184966895
2015-04-01,0.008307160566027205
2015-04-02,0.0025568848488197737
2015-04-06,0.00793403256746239
2015-04-07,-0.01911726523231394
2015-04-08,-0.0008597439217866709
2015-04-09,-0.011761456891335564
2015-04-10,0.011320926873879866
2015-04-13,-0.005740620174866429
2015-04-14,0.004330417463503933
2015-04-15,-0.0002876783322379728
2015-04-16,-0.0074753760673875735
2015-04-17,-0.0005793309647704747
2015-04-20,0.015942076922556447
2015-04-21,-0.003709264518752753
2015-04-22,0.004295620825569113
2015-04-23,-0.0017109581187979561
2015-04-24,0.004284578126324101
2015-04-27,-0.008247946625162705
2015-04-28,0.0037281892265401684
2015-04-29,-0.006285911222600471
2015-04-30,-0.024439412042672193
2015-05-01,0.009431243706376602
2015-05-04,0.003211780156885391
2015-05-05,-0.022118752126186192
2015-05-06,-0.0045032795857988805
2015-05-07,0.0003013079291824816
2015-05-08,0.014772741101827025
2015-05-11,-0.005941684323061525
2015-05-12,-0.007471767635987336
2015-05-13,-0.01355013319344045
2015-05-14,0.01800984512771664
2015-05-15,0.012893450653473026
2015-05-18,0.005920882126950744
2015-05-19,0.005003391713172656
2015-05-20,-0.0002930999174832749
2015-05-21,0.0020500416206421512
2015-05-22,-0.0008768562265435431
2015-05-26,-0.007899459455637303
2015-05-27,0.0029494707140684806
2015-05-28,0.0032338938260425554
2015-05-29,0.0005864895357245992
2015-06-01,-0.0008789550624339615
2015-06-02,-0.023160349497339028
2015-06-03,-0.02010805028065865
2015-06-04,-0.004900403583029789
2015-06-05,-0.021852929299132295
2015-06-08,-0.002517318243393296
2015-06-09,0.002839180710019873
2015-06-10,0.01038047871179737
2015-06-11,0.014943951277446965
2015-06-12,-0.009508883059966555
2015-06-15,-0.011149131568654713
2015-06-16,0.0009394690288859753
2015-06-17,0.012202680142463729
2015-06-18,0.013910431894025743
2015-06-19,-0.009146051333023486
2015-06-22,-0.0018463795447190012
2015-06-23,-0.014488303706548744
2015-06-24,-0.010635039890547704
2015-06-25,-0.0075875251533588095
2015-06-26,0.013379892507740188
2015-06-29,-0.006916318758646511
2015-06-30,0.00791406811148021
2015-07-01,0.01099266609177163
2015-07-02,0.017396706555618424
2015-07-06,0.005190441404199886
2015-07-07,0.03219960638121977
2015-07-08,-0.006474332127601068
2015-07-09,-0.007405218548917181
2015-07-10,0.006266977748273783
2015-07-13,0.002965478617284134
2015-07-14,-0.0017741631757254295
2015-07-15,0.0023695267572294565
2015-07-16,0.014480021134235965
2015-07-17,-0.01980772703269129
2015-07-20,-0.00861810035646482
2015-07-21,-0.008992827379888046
2015-07-22,0.0015123405542682988
2015-07-23,-0.012382761124089203
2015-07-24,0.008256671541570393
2015-07-27,0.009402637873044295
2015-07-28,0.007511869405711469
2015-07-29,0.003876999135189907
2015-07-30,0.007724128511972683
2015-07-31,0.01002365324143395
2015-08-03,0.0023351710409973414
2015-08-04,-0.011939458148180093
2015-08-05,0.002080992765856271
2015-08-06,0.008306004333922479
2015-08-07,0.006472531228140843
2015-08-10,0.0005848649993134281
2015-08-11,0.014022523018996091
2015-08-12,0.013252758543323084
2015-08-13,0.000568465604569246
2015-08-14,0.0031261970619715918
2015-08-17,0.007932241596997347
2015-08-18,0.004215543152305434
2015-08-19,0.0025188936644608972
2015-08-20,-0.004745876624714485
2015-08-21,-0.002524402955176086
2015-08-24,-0.03908891785787383
2015-08-25,-0.04214233082718544
2015-08-26,0.013748786372416832
2015-08-27,0.017480227425422434
2015-08-28,-0.008589921517163646
2015-08-31,-0.020615620928662204
2015-09-01,-0.020744109069782413
