Date,TJX
2015-01-05,-0.011182669051575389
2015-01-06,-0.004910958702576407
2015-01-07,0.02048720177736474
2015-01-08,0.005275728441175964
2015-01-09,-0.012390382721623738
2015-01-12,-0.005166589263482346
2015-01-13,-0.0035604624436433863
2015-01-14,-0.013847766247008675
2015-01-15,-0.014344099654797215
2015-01-16,0.022518520742135895
2015-01-20,-0.007940145118491837
2015-01-21,-0.0031711523842061773
2015-01-22,0.02257230570906943
2015-01-23,0.0019259553061981016
2015-01-26,0.007541327626592098
2015-01-27,0.0016140585738935176
2015-01-28,-0.014358844360060075
2015-01-29,0.005054390615158555
2015-01-30,-0.024700565722655332
2015-02-02,-0.0010616282530060417
2015-02-03,0.021709486822147683
2015-02-04,0.008469414295193545
2015-02-05,0.0083982857339433
2015-02-06,-0.002776092483449677
2015-02-09,-0.010989068550483538
2015-02-10,0.01433334451440138
2015-02-11,0.0010254034073149398
2015-02-12,0.007606370243314009
2015-02-13,0.005226387977102842
2015-02-17,-0.00938715868887241
2015-02-18,-0.013413453617732274
2015-02-19,0.0022170719025151886
2015-02-20,0.013417816434181606
2015-02-23,-0.004801742151909871
2015-02-24,-0.018128247139608145
2015-02-25,0.03305521527564714
2015-02-26,-0.018881599722953446
2015-02-27,0.00837369595507198
2015-03-02,0.01209215217105064
2015-03-03,-0.012379274712655541
2015-03-04,-0.004664364886187378
2015-03-05,0.006296751758969377
2015-03-06,-0.010040549370299634
2015-03-09,0.0029398478477320467
2015-03-10,-0.009086737053103033
2015-03-11,-0.006803679146112018
2015-03-12,0.022933322040091797
2015-03-13,-0.010190668482038201
2015-03-16,0.009854467259212463
2015-03-17,-0.005097527904775356
2015-03-18,-0.005270254821244658
2015-03-19,0.0030905657895972105
2015-03-20,0.01921949908902376
2015-03-23,0.00014416094622293762
2015-03-24,0.008635421555816647
2015-03-25,-0.0077056860237759706
2015-03-26,-0.007477619619884246
2015-03-27,0.008258758399665611
2015-03-30,0.01264549694222672
2015-03-31,-0.005959780833986961
2015-04-01,-0.01570339829723788
2015-04-02,0.005366137069562793
2015-04-06,-0.0002883742380007659
2015-04-07,-0.009379535136985195
2015-04-08,0.009905543562166219
2015-04-09,-0.010096909197027215
2015-04-10,-0.0014573296819698767
2015-04-13,-0.005690595973467216
2015-04-14,-0.012621286465079762
2015-04-15,-0.008026244272658412
2015-04-16,-0.0038957660463967425
2015-04-17,-0.018501624480068757
2015-04-20,0.011034284176838938
2015-04-21,0.004850892525521733
2015-04-22,0.0018101287922107634
2015-04-23,-0.0012045720975045748
2015-04-24,-0.00060301242068872
2015-04-27,-0.014783648171207475
2015-04-28,-0.005971228316896671
2015-04-29,-0.010628391321120145
2015-04-30,0.004826379860082941
2015-05-01,0.015649134926478014
2015-05-04,-0.0001527148284284907
2015-05-05,0.0013733000408040485
2015-05-06,0.0031997486563355437
2015-05-07,0.005315994015929748
2015-05-08,0.017072093471331318
2015-05-11,-0.007130060551599593
2015-05-12,-0.0036022561273589826
2015-05-13,-0.007832190758779056
2015-05-14,-0.0031881995047018385
2015-05-15,0.0044165088220233795
2015-05-18,0.01986342155169818
2015-05-19,0.028694994969041154
2015-05-20,-0.01055083149144831
2015-05-21,-0.008618347231877377
2015-05-22,-0.010461005564167958
2015-05-26,-0.014741007975986875
2015-05-27,0.004986964403856264
2015-05-28,-0.007969560857201907
2015-05-29,-0.024101885840342452
2015-06-01,0.01102808760687557
2015-06-02,-0.0030726231936498705
2015-06-03,0.01741418221430302
2015-06-04,-0.006210096797959586
2015-06-05,0.0003044591222158832
2015-06-08,-0.005637465852383894
2015-06-09,-0.00858126878108667
2015-06-10,0.012673862901305455
2015-06-11,0.00015290756446373344
2015-06-12,-0.002441861150353386
2015-06-15,-0.004589025757081866
2015-06-16,0.004456554227501908
2015-06-17,0.005354928418108251
2015-06-18,0.02206681538334032
2015-06-19,-0.007891500912193816
2015-06-22,-0.0013510025561234151
2015-06-23,0.014577960889864627
2015-06-24,0.0010367216170075189
2015-06-25,-0.004290903239677402
2015-06-26,0.010848287468955276
2015-06-29,-0.028521082963103628
2015-06-30,0.0013619819044810022
2015-07-01,0.018890539191941613
2015-07-02,-0.009196112592936623
2015-07-06,0.0016469946142074754
2015-07-07,0.019578427533242904
2015-07-08,-0.012166581692285683
2015-07-09,0.004155118520736467
2015-07-10,0.00679749614329106
2015-07-13,0.015118433385600483
2015-07-14,-0.00043419855151671793
2015-07-15,-0.005930657513494975
2015-07-16,0.009458549313621445
2015-07-17,-0.009081839989068752
2015-07-20,0.005237240856709402
2015-07-21,-0.008248873249892874
2015-07-22,0.0011676109561788994
2015-07-23,-0.005392927300280181
2015-07-24,-0.01172289880273325
2015-07-27,-0.0014831999013021901
2015-07-28,0.007721828074078507
2015-07-29,0.02357799726639409
2015-07-30,0.0023036397166364964
2015-07-31,0.002872505979082174
2015-08-03,-0.006588053837521368
2015-08-04,0.0028833367519429665
2015-08-05,0.008913446972122374
2015-08-06,-0.009831853765525755
2015-08-07,0.0020144901836860463
2015-08-10,0.007754942090499872
2015-08-11,0.00014321252970805887
2015-08-12,0.0014291689403871377
2015-08-13,0.007135771537424063
2015-08-14,0.0004251797419769776
2015-08-17,0.014306008109437718
2015-08-18,0.07219687773639194
2015-08-19,-0.024876477489237603
2015-08-20,-0.007212401248913758
2015-08-21,-0.0374010951055056
2015-08-24,-0.029629613323370996
2015-08-25,-0.00835359967463789
2015-08-26,0.02846740668189529
2015-08-27,0.008897092347796232
2015-08-28,-0.010078393013049136
2015-08-31,-0.005655554951329633
