Date,XOM
2015-01-05,-0.027361900379489268
2015-01-06,-0.005316155904745545
2015-01-07,0.010132667370823745
2015-01-08,0.016644391531344338
2015-01-09,-0.0014093009303508541
2015-01-12,-0.01921842423135922
2015-01-13,-0.003652939500724206
2015-01-14,-0.002889507113636336
2015-01-15,-0.008691634096404832
2015-01-16,0.024280834455005174
2015-01-20,-0.0003295956748822215
2015-01-21,0.00856314899623456
2015-01-22,0.010885198099466642
2015-01-23,-0.02132012427912522
2015-01-26,0.0095718897024204
2015-01-27,-0.00882765618476844
2015-01-28,-0.032985132939487016
2015-01-29,-0.0042066827178114385
2015-01-30,-0.001826907523426402
2015-02-02,0.024708357164908268
2015-02-03,0.029805322867031192
2015-02-04,-0.00856334052565233
2015-02-05,0.009840344730521311
2015-02-06,-0.001854727591720895
2015-02-09,0.000655979392215178
2015-02-10,-0.006006837243172081
2015-02-11,-0.004504977113594988
2015-02-12,0.019536313698906183
2015-02-13,0.010826054855056944
2015-02-17,-0.003427359249988715
2015-02-18,-0.021923509626874838
2015-02-19,-0.017251090288815996
2015-02-20,0.005366770884113414
2015-02-23,-0.010120100628290496
2015-02-24,0.0046061351027606445
2015-02-25,0.0020131809291867864
2015-02-26,-0.0106028133627446
2015-02-27,-0.0012405746648982419
2015-03-02,-0.005647179523773804
2015-03-03,-0.004770419418725358
2015-03-04,-0.0050221946760123926
2015-03-05,-0.005046929097681452
2015-03-06,-0.01279669983896925
2015-03-09,-0.005488825985408341
2015-03-10,-0.010568035217545124
2015-03-11,-0.002848808971201655
2015-03-12,0.0023807898916030634
2015-03-13,-0.004155849633842745
2015-03-16,0.010611753918573275
2015-03-17,-0.00802288612512847
2015-03-18,0.023667838701918242
2015-03-19,-0.019286091954381135
2015-03-20,0.0015396563185436918
2015-03-23,0.010527795650776772
2015-03-24,-0.010652614164256002
2015-03-25,0.004022977360085944
2015-03-26,-0.006363378586257573
2015-03-27,-0.00877595475062909
2015-03-30,0.02452742215888848
2015-03-31,-0.007357577237472324
2015-04-01,-0.0063527583771680884
2015-04-02,-0.0018944271139915703
2015-04-06,0.009845621965534068
2015-04-07,0.007283446387498005
2015-04-08,-0.019708736271420557
2015-04-09,0.0070189948516876655
2015-04-10,0.01074992842487843
2015-04-13,-0.002571383209942546
2015-04-14,0.015115989948049968
2015-04-15,0.01673794184619637
2015-04-16,-0.003973725944124484
2015-04-17,-0.00911880577723656
2015-04-20,0.003566418807850358
2015-04-21,-0.004126973368846598
2015-04-22,0.006676048306296645
2015-04-23,0.0009146546331983973
2015-04-24,-0.0065110526047376105
2015-04-27,0.0004597325231221472
2015-04-28,0.00907931269922102
2015-04-29,0.0007976734276109454
2015-04-30,-0.005690306170312742
2015-05-01,0.01693918531072236
2015-05-04,0.0029265756549157196
2015-05-05,-0.005610922985593736
2015-05-06,-0.004740270253926315
2015-05-07,-0.006690019736044883
2015-05-08,0.015867413741520453
2015-05-11,-0.016768735297626125
2015-05-12,0.002765737283569214
2015-05-13,-0.005286126643401667
2015-05-14,0.0047367179885671185
2015-05-15,0.004369289522799802
2015-05-18,-0.005723990992453021
2015-05-19,0.0016117509227799864
2015-05-20,0.0016094971476685593
2015-05-21,0.0009182541447125825
2015-05-22,-0.007912083025558014
2015-05-26,-0.01352266462216134
2015-05-27,-0.002812074855493285
2015-05-28,0.0
2015-05-29,0.0010570156374134498
2015-06-01,-0.0008213785449097122
2015-06-02,0.00011756521536243625
2015-06-03,-0.0022316018005846816
2015-06-04,-0.008592929011972172
2015-06-05,0.0007122406133677206
2015-06-08,0.006762837807837707
2015-06-09,-0.003182157955119669
2015-06-10,0.007448761588257469
2015-06-11,-0.0014083479093872642
2015-06-12,-0.01257497002866248
2015-06-15,-0.0035698929784951927
2015-06-16,0.01146644901399263
2015-06-17,0.0005905308012530419
2015-06-18,0.008851408581399767
2015-06-19,-0.0031587043903874568
2015-06-22,-0.0004694030519661885
2015-06-23,-0.0011742669646455095
2015-06-24,-0.004584107925523551
2015-06-25,-0.008856984665536749
2015-06-26,-0.0008340887464227675
2015-06-29,-0.01240151341267337
2015-06-30,0.004588085852124335
2015-07-01,-0.009975954313622193
2015-07-02,0.009347952150335459
2015-07-06,-0.007336945373083492
2015-07-07,0.004119992507541692
2015-07-08,-0.01086072036377217
2015-07-09,-0.004513638600963876
2015-07-10,0.00759820649841858
2015-07-13,0.0024320781808233605
2015-07-14,0.008371840216851112
2015-07-15,-0.004211022876249082
2015-07-16,0.0018124784145849837
2015-07-17,-0.0036183272585811332
2015-07-20,-0.010289645763970623
2015-07-21,-0.0012229535231386146
2015-07-22,0.0015917717821458677
2015-07-23,-0.007946716301208911
2015-07-24,-0.014789248599275884
2015-07-27,-0.008506729628973364
2015-07-28,0.040626050014338944
2015-07-29,0.008001576233111152
2015-07-30,-0.0015635786710804789
2015-07-31,-0.045777206376828916
2015-08-03,-0.014518584902182274
2015-08-04,-0.011401737853406146
2015-08-05,0.0
2015-08-06,0.011921776379689053
2015-08-07,-0.016135112862290413
2015-08-10,0.024990268533087168
2015-08-11,-0.006793188494953806
2015-08-12,0.01677662355939269
2015-08-13,-0.001776884578100324
2015-08-14,-0.0036876561702393618
2015-08-17,0.00523262219180709
2015-08-18,-0.011044628722756245
2015-08-19,-0.021438108985925686
2015-08-20,-0.021776236249636538
2015-08-21,-0.03272083494603928
2015-08-24,-0.04727567401221944
2015-08-25,-0.00014573798219885692
2015-08-26,0.05515929693250987
2015-08-27,0.032413999853135866
2015-08-28,0.002939194288465563
2015-08-31,0.002264699246254942
