Date,CARR
2020-03-20,0.0625003249901992
2020-03-23,-0.0949022337516634
2020-03-24,0.013864820328628458
2020-03-25,0.14957293091487078
2020-03-26,0.14869875866220972
2020-03-27,-0.05825247025206792
2020-03-30,0.09278368345080157
2020-03-31,0.08490555234383068
2020-04-01,-0.12753621847716945
2020-04-02,-0.11760797717033333
2020-04-03,0.27409652033958154
2020-04-06,-0.08747057594489482
2020-04-07,-0.012305712311615258
2020-04-08,-0.06491791420405701
2020-04-09,0.036465509672258145
2020-04-13,-0.0534504684979793
2020-04-14,-0.008577463097751759
2020-04-15,-0.036770308752091196
2020-04-16,-0.035179410275950285
2020-04-17,0.0659426077785541
2020-04-20,0.051673970044981754
2020-04-21,0.016608816845143037
2020-04-22,0.006807534817572014
2020-04-23,0.0628801626490616
2020-04-24,0.03371503250893726
2020-04-27,0.03384624313675921
2020-04-28,0.01190441034861034
2020-04-29,0.03764706731836709
2020-04-30,0.003968280201220642
2020-05-01,-0.05307712932261677
2020-05-04,-0.02206322607782929
2020-05-05,-0.02621949188581374
2020-05-06,0.02003744129660867
2020-05-07,0.007366592944012984
2020-05-08,0.11883011391000076
2020-05-11,-0.0005445542789240809
2020-05-12,-0.02997338179426212
2020-05-13,-0.0764039780791651
2020-05-14,0.006690790313673034
2020-05-15,0.009667674052127317
2020-05-18,0.050269194423391284
2020-05-19,0.012535810940615288
2020-05-20,0.054023516907418356
2020-05-21,0.03844125146843336
2020-05-22,-0.02056568032673678
2020-05-26,0.024146812447853883
2020-05-27,0.024602822902416444
2020-05-28,-0.01950977832574574
2020-05-29,0.044387937979324166
2020-06-01,0.0659501864592218
2020-06-02,-0.021081708967817803
2020-06-03,0.04026223909678106
2020-06-04,0.020702017582618693
2020-06-05,0.038800773558298696
2020-06-08,0.03438034986807548
2020-06-09,-0.04759989123555519
2020-06-10,-0.04351522418918263
2020-06-11,-0.05135176056899393
2020-06-12,0.02279227049385768
2020-06-15,0.019962891852116416
2020-06-16,0.004551783297829903
2020-06-17,-0.036701725262610396
2020-06-18,-0.0004700812754647732
2020-06-19,0.009411727328610509
2020-06-22,0.060139857205179226
2020-06-23,-0.015391477756399707
2020-06-24,-0.025457682369833368
2020-06-25,-0.010119779113105243
2020-06-26,-0.025557569057256813
2020-06-29,0.05484045211269395
2020-06-30,0.004520559205070107
2020-07-01,0.017551731106584034
2020-07-02,0.013268676247130351
2020-07-06,0.056743662066065736
2020-07-07,-0.008261207769194368
2020-07-08,-0.0008329938931326275
