Date,BR
2015-01-05,-0.014912105855515723
2015-01-06,0.007569023679130371
2015-01-07,0.01634995612342882
2015-01-08,0.01500038220966693
2015-01-09,0.0004283751280111936
2015-01-12,-0.000642533243822907
2015-01-13,0.0021424333680701846
2015-01-14,-0.008336704905512415
2015-01-15,-0.009701116435859913
2015-01-16,0.01784972528392159
2015-01-20,-0.005560345242276887
2015-01-21,0.0010752646773084518
2015-01-22,0.019764033122261937
2015-01-23,0.0035812135646116072
2015-01-26,0.018261329487226696
2015-01-27,-0.007008687805276859
2015-01-28,-0.007680833804741161
2015-01-29,0.01297067818685349
2015-01-30,-0.008880573348799325
2015-02-02,0.010001832759017892
2015-02-03,0.017743207170928033
2015-02-04,0.0014191206830465042
2015-02-05,0.03076874898769577
2015-02-06,0.009230419166038395
2015-02-09,-0.008561800157608324
2015-02-10,0.01687927752731455
2015-02-11,-0.0005791958896850247
2015-02-12,0.021243993687831253
2015-02-13,-0.0054844737082431205
2015-02-17,-0.0011409492635024998
2015-02-18,0.008376343671631759
2015-02-19,-0.001321601441230169
2015-02-20,0.0172024268770814
2015-02-23,-0.005017736707109699
2015-02-24,0.0011203614788393157
2015-02-25,0.0029851150200659315
2015-02-26,-0.011718518515988485
2015-02-27,0.0018821683471021977
2015-03-02,0.02630102670229717
2015-03-03,-0.01098301630155063
2015-03-04,-0.01184525803100811
2015-03-05,0.0009367591692344135
2015-03-06,-0.008982324233841266
2015-03-09,0.0020769097150592497
2015-03-10,-0.022046373382218043
2015-03-11,-0.0021304731964324475
2015-03-12,0.02173924990329601
2015-03-13,-0.014817676345790343
2015-03-16,0.019668455569971544
2015-03-17,0.004727769805470183
2015-03-18,0.016751081468398876
2015-03-19,-0.0011104628151348273
2015-03-20,-0.0003707632408007644
2015-03-23,-0.00333734486362558
2015-03-24,-0.007812363955755686
2015-03-25,-0.015185702195858908
2015-03-26,0.004188378356292599
2015-03-27,0.014407508692387605
2015-03-30,0.018874988553565952
2015-03-31,0.008987675722327948
2015-04-01,-0.001999403126075272
2015-04-02,0.009653377430230092
2015-04-06,0.001804324133100943
2015-04-07,-0.019088872302582494
2015-04-08,0.001836291621520214
2015-04-09,-0.005864726675803289
2015-04-10,-0.0018429812625188058
2015-04-13,-0.002585561822706861
2015-04-14,-0.0016660872070882737
2015-04-15,-0.0005567691534644759
2015-04-16,-0.002041042356925149
2015-04-17,-0.022127417698622587
2015-04-20,0.010648863970084577
2015-04-21,0.008278264617152642
2015-04-22,-0.0007464759051467595
2015-04-23,0.005975841992512443
2015-04-24,0.013179890638340908
2015-04-27,-0.014840445879377495
2015-04-28,0.007996731937329304
2015-04-29,0.003505686123808749
2015-04-30,-0.008641157261354504
2015-05-01,0.007789347822091619
2015-05-04,-0.0009202160885874999
2015-05-05,-0.00847311280573737
2015-05-06,-0.0009289346341359028
2015-05-07,0.005950369826234647
2015-05-08,-0.05674669065284421
