Date,MAA
2015-01-05,-0.0038079543529990767
2015-01-06,0.017399944404910883
2015-01-07,0.012439169539391282
2015-01-08,0.0025587707319236763
2015-01-09,0.006255375092340865
2015-01-12,0.02575149679768929
2015-01-13,-0.0024975058613461165
2015-01-14,0.009262682100176
2015-01-15,0.0001239571067455092
2015-01-16,0.00992086770140288
2015-01-20,-0.012893070582776445
2015-01-21,0.008583298725742372
2015-01-22,0.011963552797839005
2015-01-23,0.0007312733453079812
2015-01-26,0.004627879454746298
2015-01-27,-0.0001208952009409403
2015-01-28,-0.009214435831584655
2015-01-29,-0.01223696878124314
2015-01-30,-0.0173439123907968
2015-02-02,0.0031517717857447725
2015-02-03,-0.003770118695070157
2015-02-04,-0.006938353946448261
2015-02-05,-0.015116833345055647
2015-02-06,-0.03418051072000905
2015-02-09,-0.014155845349023144
2015-02-10,0.001490507853720846
2015-02-11,-0.004734952396621139
2015-02-12,0.011280499617555728
2015-02-13,-0.00792894833890756
2015-02-17,-0.0002704863191926865
2015-02-18,0.017614482540037724
2015-02-19,-0.018641675864484286
2015-02-20,0.010719155963080818
2015-02-23,-0.0004028929085084787
2015-02-24,-0.017593256521967637
2015-02-25,0.004101002931351516
2015-02-26,-0.020149642812344992
2015-02-27,0.0069476052739765315
2015-03-02,0.010900553692900994
2015-03-03,-0.0021837377795801416
2015-03-04,0.0019153664034192719
2015-03-05,0.0038231089940750085
2015-03-06,-0.032235894049947755
2015-03-09,0.008713580575615998
2015-03-10,0.0011145365348510516
2015-03-11,0.005845453656901478
2015-03-12,0.023107711653214347
2015-03-13,0.0028402618090483944
2015-03-16,0.016318391786138475
2015-03-17,0.014198378843017778
2015-03-18,0.016878033029780637
2015-03-19,-0.0033451850091467117
2015-03-20,0.027498299732021225
2015-03-23,-0.0052769224279748395
2015-03-24,-0.01111563821627859
2015-03-25,-0.01762656764705617
2015-03-26,-0.002470602867173044
2015-03-27,0.00013048970512263836
2015-03-30,0.014857531580270145
2015-03-31,-0.007705625527166582
2015-04-01,0.0006474483944811649
2015-04-02,0.008406258205760908
2015-04-06,0.01064508248336593
2015-04-07,-0.016624498654639663
2015-04-08,0.008517653074994413
2015-04-09,-0.026615701005082815
2015-04-10,-0.005258255989335048
2015-04-13,-0.0014684688321309203
2015-04-14,0.008156269746318445
2015-04-15,-0.012068882429564609
2015-04-16,0.008591493282241736
2015-04-17,-0.0022628863721859682
2015-04-20,0.00373553018932804
2015-04-21,0.004385932838665729
2015-04-22,0.013233054630531038
2015-04-23,0.00639916946828345
2015-04-24,-0.0042824165223217525
2015-04-27,-0.0016943627949879136
2015-04-28,0.0015665230740520286
2015-04-29,-0.013164641343601624
2015-04-30,-0.01452909056057028
2015-05-01,0.021712741797968116
2015-05-04,0.010625765910134977
2015-05-05,-0.02712864036684326
2015-05-06,0.0028019663916669657
2015-05-07,0.01543356784516936
2015-05-08,0.010744144155204749
2015-05-11,-0.021389669637434494
2015-05-12,0.002119457747884468
2015-05-13,-0.015333389790279761
2015-05-14,0.01825716090631402
2015-05-15,0.013183775057274083
2015-05-18,-0.0001300067023629614
2015-05-19,-0.0009106615174293564
2015-05-20,0.0011721306252228114
2015-05-21,-0.0009108497077428002
2015-05-22,0.0032556152819180895
2015-05-26,-0.010254532577222641
2015-05-27,0.01101621181830792
2015-05-28,0.0031136982512494082
2015-05-29,-0.012156042797927147
2015-06-01,0.01282928807966388
2015-06-02,-0.015639373647721944
2015-06-03,-0.020614427180635442
2015-06-04,0.00214517703991568
2015-06-05,-0.002541999472068679
2015-06-08,-0.008047285951618965
2015-06-09,-0.010681206930052922
2015-06-10,0.0062868123908299545
2015-06-11,0.006247535308440577
2015-06-12,0.0017546631769476129
2015-06-15,-0.008623261778035296
2015-06-16,0.00665965286883341
2015-06-17,-0.0012152249155307215
2015-06-18,0.015815009819120318
2015-06-19,0.0003993502819554795
2015-06-22,-0.007848024291441602
2015-06-23,-0.006703057454256478
2015-06-24,-0.0021593592097133296
2015-06-25,-0.00892788522082033
2015-06-26,0.008871356703142874
2015-06-29,-0.008522659647592468
2015-06-30,-0.006549385452503165
2015-07-01,0.02664484109822962
2015-07-02,0.00842795260745155
2015-07-06,0.003581813159755809
2015-07-07,0.010707808802214114
2015-07-08,-0.006801238925846276
2015-07-09,0.007242362692599702
2015-07-10,0.0020918198597752458
2015-07-13,-0.0014495828256133603
2015-07-14,0.0063345831442152
2015-07-15,0.0006559935281906792
2015-07-16,0.010353591505424031
2015-07-17,-0.0003887477091027991
2015-07-20,0.00817527477837765
2015-07-21,0.001158416029901188
2015-07-22,-0.00115707565491463
2015-07-23,-0.011198414980329585
2015-07-24,-0.001171535369128729
2015-07-27,-0.0006516085650786207
2015-07-28,-0.004825511604661936
2015-07-29,0.0011796479769872192
2015-07-30,0.0373037401293006
2015-07-31,0.013753997408396001
2015-08-03,0.010455544753422252
2015-08-04,-0.009238610027939909
2015-08-05,-0.009076332746924987
2015-08-06,0.010665023568894094
2015-08-07,0.008069252941996119
2015-08-10,-0.0003693365762692524
2015-08-11,0.006652574292250746
2015-08-12,-0.0009789262237980267
2015-08-13,0.0001223535511565288
2015-08-14,0.014454118572641672
2015-08-17,0.015817477827557047
2015-08-18,0.002733967874563481
2015-08-19,-0.008653564441965744
2015-08-20,-0.009446440849038895
2015-08-21,-0.022573645582892543
2015-08-24,-0.04100277053217305
2015-08-25,-0.01455252449150135
2015-08-26,0.02195493247200453
2015-08-27,0.027749282487636417
2015-08-28,0.003235225753186022
2015-08-31,-0.025301186446051394
2015-09-01,-0.013996525983857921
