Date,DDOG
2019-09-20,-0.03728356164119151
2019-09-23,-0.0011065259706478647
2019-09-24,-0.04458600341009211
2019-09-25,0.021739130434782705
2019-09-26,-0.07971635101534791
2019-09-27,-0.005240387673917657
2019-09-30,0.05082117652260143
2019-10-01,-0.044824549236312405
2019-10-02,-0.039827077261106236
2019-10-03,0.05755623749912386
2019-10-04,0.05564006886636341
2019-10-07,0.060195854812978844
2019-10-08,-0.03694649713700815
2019-10-09,0.036671345813329426
2019-10-10,-0.03129255852731716
2019-10-11,0.0019662836467564393
2019-10-14,-0.07232963691609029
2019-10-15,0.05167721597423203
2019-10-16,-0.07471260146903114
2019-10-17,0.05465833167180767
2019-10-18,-0.07037689794111934
2019-10-21,-0.04941398419456233
2019-10-22,-0.0656447616904231
2019-10-23,0.025677578097217157
2019-10-24,0.13004171562426903
2019-10-25,0.05538459190955525
2019-10-28,-0.029737623336783647
2019-10-29,0.01111787139884779
2019-10-30,0.03447250504639654
2019-10-31,-0.035047433857305355
2019-11-01,0.012801438023889222
2019-11-04,0.012345625023337359
2019-11-05,0.013646958172019996
2019-11-06,-0.05299336815259925
2019-11-07,-0.05353903158617668
2019-11-08,0.04857783359825296
2019-11-11,0.022554033306805277
2019-11-12,0.025335389214537374
2019-11-13,0.16831386174428808
2019-11-14,0.029360546043701197
2019-11-15,-0.01788730681351791
2019-11-18,-0.007629863774094026
2019-11-19,-0.029017811949425765
2019-11-20,-0.019157087375954118
2019-11-21,0.04244784345436714
2019-11-22,0.025231130827634063
2019-11-25,0.04312866516272407
2019-11-26,-0.052791452084383184
2019-11-27,0.03230582978886343
2019-11-29,-0.02603918147861528
2019-12-02,-0.02869762007617982
2019-12-03,-0.04621207290079421
2019-12-04,-0.022504693632950157
2019-12-05,-0.028710661190805564
2019-12-06,0.0013942899110301887
2019-12-09,-0.020885547290083073
2019-12-10,-0.009954450387941516
2019-12-11,0.02125819691398556
2019-12-12,0.00506329983231435
2019-12-13,0.08564235691281774
2019-12-16,0.0
2019-12-17,-0.04150555742078088
2019-12-18,0.02770303310496458
2019-12-19,-0.0028788435746459617
2019-12-20,0.010761151281688308
2019-12-23,-0.01843674670002915
2019-12-24,-0.01878304494187788
2019-12-26,0.023456428371679605
2019-12-27,-0.048735472042669925
2019-12-30,0.028247035184797875
2019-12-31,0.01750599764296301
2020-01-02,-0.028586502150689586
2020-01-03,0.01961845752147595
2020-01-06,0.06627481235399246
2020-01-07,0.004010021085045112
2020-01-08,-0.0027458963200361897
2020-01-09,0.006508093030486162
2020-01-10,-0.0012434528276289436
2020-01-13,0.01942228043477301
2020-01-14,-0.04079135869476602
2020-01-15,0.024446118494578783
2020-01-16,0.009445713955732904
2020-01-17,0.014282147442508997
2020-01-21,-0.001456605015637158
2020-01-22,0.02650134024511086
2020-01-23,0.013974422916372964
2020-01-24,-0.017752910811739242
2020-01-27,-0.018906021007597196
2020-01-28,0.021936704784049077
2020-01-29,0.04174569088954194
2020-01-30,0.07103831686377671
2020-01-31,-0.01764459640519933
2020-02-03,-0.020558337627378798
2020-02-04,0.05170128677345964
2020-02-05,-0.03928569310567176
2020-02-06,0.006997587973484709
2020-02-07,0.0245385686609485
2020-02-10,0.016320484374375832
2020-02-11,-0.002919695253824517
2020-02-12,0.04601541278079124
2020-02-13,-0.03019392865852244
2020-02-14,-0.03030930351965211
2020-02-18,0.001063216097292763
2020-02-19,0.00467284191694195
2020-02-20,-0.02769550908506868
2020-02-21,-0.006740625396327471
2020-02-24,-0.01576184798364688
2020-02-25,-0.014457244760178956
2020-02-26,-0.009027341762169683
2020-02-27,0.045092223846888047
2020-02-28,-0.01612547120531138
2020-03-02,-0.007973435175749
2020-03-03,-0.031033698621036776
2020-03-04,0.025921658074808507
2020-03-05,0.06232448323598039
2020-03-06,-0.07780127620578103
2020-03-09,-0.11004125067852555
2020-03-10,-0.021123124710728636
2020-03-11,-0.06421049017655223
2020-03-12,-0.0691789315007626
2020-03-13,0.06525679598145251
2020-03-16,-0.17867270382747447
2020-03-17,0.17817679594398617
2020-03-18,-0.059788896972201355
2020-03-19,0.031795404764566104
2020-03-20,0.008459293259879042
2020-03-23,-0.014379854010694637
2020-03-24,0.0483282698737022
2020-03-25,-0.023195216376497907
2020-03-26,0.018106281840805982
2020-03-27,0.007288629899731225
2020-03-30,0.005788734221589209
2020-03-31,0.03539567028018209
2020-04-01,-0.03057249828004649
2020-04-02,-0.008027597059052205
2020-04-03,0.002601160594131402
2020-04-06,0.04583454066105652
2020-04-07,-0.010474015055226937
2020-04-08,0.034818940024248235
2020-04-09,-0.0053836003963588785
2020-04-13,0.024898461432998564
2020-04-14,0.027462396220236274
2020-04-15,-0.004369009756154507
2020-04-16,0.023231741667215644
2020-04-17,0.019172607162777577
2020-04-20,0.014603963621386384
2020-04-21,-0.024152272210978487
2020-04-22,0.007250022888183549
2020-04-23,-0.00347479241665849
2020-04-24,0.04134495104171165
2020-04-27,0.03396312179631811
2020-04-28,0.008558846537189302
2020-04-29,0.024082639644610104
2020-04-30,0.010526257333573596
2020-05-01,-0.0031028234255897624
2020-05-04,0.018897338760979876
2020-05-05,0.0168011479882737
2020-05-06,-0.0008583069128701437
2020-05-07,0.065506854533947
2020-05-08,0.04273329783919433
2020-05-11,0.07655130716247949
2020-05-12,0.2364877412176165
2020-05-13,0.016410067432501618
2020-05-14,-0.06858116257848912
2020-05-15,0.030219376390939523
2020-05-18,0.0037224536385940254
2020-05-19,0.03931158214687813
2020-05-20,0.00913501872610234
2020-05-21,-0.01145682593433106
