Date,GL
2015-01-05,-0.017909993349558118
2015-01-06,-0.013536390427604128
2015-01-07,0.0011434718147351752
2015-01-08,0.015419912839103933
2015-01-09,-0.014435817019504693
2015-01-12,-0.00894022348535839
2015-01-13,-0.005566255651702545
2015-01-14,-0.009650585925269017
2015-01-15,-0.006042245980742544
2015-01-16,0.016667101412739305
2015-01-20,-0.009450511851786358
2015-01-21,0.0013628145368074218
2015-01-22,0.016333220433565998
2015-01-23,-0.009757137083088785
2015-01-26,0.001352121445675758
2015-01-27,-0.009839408792241655
2015-01-28,-0.01948570062930577
2015-01-29,0.010532384885252322
2015-01-30,-0.015338878138533185
2015-02-02,0.019772017535369946
2015-02-03,-0.0013709032982700542
2015-02-04,0.01843507061072458
2015-02-05,0.011361610462649274
2015-02-06,0.009329552969937538
2015-02-09,-0.0015089668710143167
2015-02-10,0.0015112472931135823
2015-02-11,0.008111650803935389
2015-02-12,0.0048652084801728
2015-02-13,0.006517845542538092
2015-02-17,-0.001295374566093077
2015-02-18,-0.004631124322955427
2015-02-19,0.0018613014161135144
2015-02-20,0.0065016384829319485
2015-02-23,-0.008305482646880025
2015-02-24,0.0024192804778890853
2015-02-25,-0.004641519899937774
2015-02-26,-0.0026113905479642208
2015-02-27,-0.004114447048546799
2015-03-02,0.013896502876991068
2015-03-03,-0.000555523843458805
2015-03-04,-0.010378118433927663
2015-03-05,0.004869165722429125
2015-03-06,0.0024225139058873246
2015-03-09,0.005391451005912984
2015-03-10,-0.014053136030100166
2015-03-11,0.0016876688020757147
2015-03-12,0.01441666454547419
2015-03-13,-0.011258707348424823
2015-03-16,0.01400048327726755
2015-03-17,0.0022089025097207227
2015-03-18,0.014695373037659332
2015-03-19,-0.006155178565254271
2015-03-20,0.013843465974909819
2015-03-23,-0.0025152858817845125
2015-03-24,-0.0027018252981885205
2015-03-25,-0.012642149143512582
2015-03-26,0.0016466048519845344
2015-03-27,-0.0016438980015589522
2015-03-30,0.01006041543170677
2015-03-31,-0.0029951775828402916
2015-04-01,0.0010921382784316869
2015-04-02,0.0023645504180034305
2015-04-06,0.0010887507357162374
2015-04-07,-0.001993633403098105
2015-04-08,0.00944438110362178
2015-04-09,0.006296801054110013
2015-04-10,-0.001251524519162328
2015-04-13,-0.0005368801832229542
2015-04-14,0.003044998468000326
2015-04-15,0.0073210975547337576
2015-04-16,0.004786506923709188
2015-04-17,-0.0033520033633063218
2015-04-20,0.0030092014017508717
2015-04-21,-0.00988334698984128
2015-04-22,0.00499114960249214
2015-04-23,-0.003192676935168892
2015-04-24,-0.0019570950636406126
2015-04-27,-0.00392260727297733
2015-04-28,0.007159354879206381
2015-04-29,0.004265373446405318
2015-04-30,-0.007078492250893964
2015-05-01,0.004812172182123042
2015-05-04,0.007449284368574283
2015-05-05,-0.0038733561581931752
2015-05-06,0.0045952218897789
2015-05-07,0.002463414907268424
2015-05-08,0.0038609734167931453
2015-05-11,-0.00034982611969081034
2015-05-12,-0.008919177019977909
2015-05-13,-0.0012352553187662263
2015-05-14,0.0026502599177478103
2015-05-15,-0.0052862892951194285
2015-05-18,0.00885735356227535
2015-05-19,0.012466916472017475
2015-05-20,0.004855969863189369
2015-05-21,-0.0012079642929661016
2015-05-22,-0.0032830748040721947
2015-05-26,-0.011962723592452096
2015-05-27,0.006667977691553695
2015-05-28,0.0012199656692495342
2015-05-29,-0.006441339759270748
2015-06-01,-0.0022781748184450556
2015-06-02,0.0049176656850915546
2015-06-03,0.00646639563767315
2015-06-04,-0.005556712943231679
2015-06-05,0.004365303280889243
2015-06-08,-0.004346330231270734
2015-06-09,0.0047144839593356025
2015-06-10,0.007994699601935107
2015-06-11,0.005862003076748223
2015-06-12,-0.0025712863633899907
2015-06-15,-0.004811812353759493
2015-06-16,0.006216508127845799
2015-06-17,0.0027458627328504903
2015-06-18,0.008728510328541494
2015-06-19,-0.0039022590923017964
2015-06-22,0.00545049622112348
2015-06-23,0.0005083307251989577
2015-06-24,-0.005926267578440614
2015-06-25,-0.00034075787271858893
2015-06-26,0.007837763526138852
2015-06-29,-0.022316114478221016
2015-06-30,0.009099623231932696
2015-07-01,0.011851618449886692
2015-07-02,-0.0015277017473035448
2015-07-06,-0.004250226464710516
2015-07-07,0.0030732107842494916
2015-07-08,-0.020765973499715984
2015-07-09,0.004171665270340075
2015-07-10,0.01696391084657467
2015-07-13,0.0064678862787983515
2015-07-14,0.00524283395481473
