Date,PRU
2015-01-05,-0.0317390411635452
2015-01-06,-0.02074468154439979
2015-01-07,0.0005847664384557305
2015-01-08,0.01602557325361209
2015-01-09,-0.017729761883596096
2015-01-12,-0.013009729743684972
2015-01-13,-0.00985621650737678
2015-01-14,-0.02638521972846941
2015-01-15,-0.017245724495471904
2015-01-16,0.015291987842877441
2015-01-20,-0.0060493033631676685
2015-01-21,0.0011175841743775727
2015-01-22,0.020099405345805454
2015-01-23,-0.01860860136569853
2015-01-26,0.0007435919899476673
2015-01-27,-0.015851335769856423
2015-01-28,-0.031207171183906368
2015-01-29,-0.0003891975067724651
2015-01-30,-0.014033365175022738
2015-02-02,0.029520484697946436
2015-02-03,0.02521761483945295
2015-02-04,-0.0024973330142566974
2015-02-05,-0.05720334649523162
2015-02-06,0.03292606577536361
2015-02-09,-0.0069409229867295474
2015-02-10,0.010612916743850676
2015-02-11,0.014216527853001315
2015-02-12,-0.006187569501596046
2015-02-13,0.020711510778289588
2015-02-17,0.007718268807402895
2015-02-18,-0.017170946148939215
2015-02-19,0.009300971355873155
2015-02-20,0.013672838797569087
2015-02-23,-0.0048258733760125905
2015-02-24,0.013802175929990002
2015-02-25,-0.008095004476330603
2015-02-26,0.002967547660057246
2015-02-27,-0.0032053740622663973
2015-03-02,0.016079069118594136
2015-03-03,-0.007912022602554747
2015-03-04,-0.011043317851387902
2015-03-05,0.0050871305381037235
2015-03-06,0.019627372676690902
2015-03-09,0.0004837406591793325
2015-03-10,-0.0335185817173177
2015-03-11,0.007386798208413259
2015-03-12,0.0232413382006329
2015-03-13,-0.01445378881535675
2015-03-16,0.02378588398086845
2015-03-17,-0.00902819402426347
2015-03-18,-0.005952692474083587
2015-03-19,-0.019796841478213922
2015-03-20,0.030794310606351294
2015-03-23,-0.011006596914616695
2015-03-24,-0.014553280465430585
2015-03-25,-0.014892099424811511
2015-03-26,0.008314407292393522
2015-03-27,-0.011244317870923726
2015-03-30,0.015542188767457832
2015-03-31,-0.000746410022878119
2015-04-01,-0.010708458965582701
2015-04-02,0.01359357219885049
2015-04-06,-0.005091845896154301
2015-04-07,-0.005616545810234519
2015-04-08,0.007029121787540227
2015-04-09,0.01121768865040429
2015-04-10,-0.009737538462372353
2015-04-13,0.007842046035684502
2015-04-14,-0.013091283036448464
2015-04-15,0.0021275598947896324
2015-04-16,0.0009985203258549014
2015-04-17,-0.012848833261326131
2015-04-20,0.01010973730768816
2015-04-21,-0.0027522741389942595
2015-04-22,0.017689112044238398
2015-04-23,0.0023422543967814846
2015-04-24,-0.006395489268559151
2015-04-27,-0.007055319234071211
2015-04-28,0.011592729091515652
2015-04-29,0.016882698818218467
2015-04-30,-0.011148419815386723
2015-05-01,0.021568077843656885
2015-05-04,0.009957017075119534
2015-05-05,-0.0093833297617969
2015-05-06,0.003596816532359659
2015-05-07,0.01756294038961559
2015-05-08,0.004813678908108798
2015-05-11,0.01390530598901596
2015-05-12,-0.006222957842415777
2015-05-13,-0.0017400057005533265
2015-05-14,0.0025556374068274046
2015-05-15,-0.009733352255508865
2015-05-18,0.011350303856629163
2015-05-19,-0.0017352926232496735
2015-05-20,-0.0074175844232517996
2015-05-21,0.006700581976276876
2015-05-22,-0.005955686975941066
2015-05-26,-0.0135100858814301
2015-05-27,0.014647809906652265
2015-05-28,-0.001525843110408931
2015-05-29,-0.005407099789693781
2015-06-01,-0.003427264847190914
2015-06-02,0.014230999172838432
2015-06-03,0.017189120352828935
2015-06-04,-0.004483472487437079
2015-06-05,0.01893795029829959
2015-06-08,-0.007479684606989112
2015-06-09,0.004452999045256423
2015-06-10,0.029328365744435425
2015-06-11,-0.006847070766339947
2015-06-12,-0.007672529026468089
2015-06-15,-0.007395802310256494
2015-06-16,0.012982568595219846
2015-06-17,-0.006575428282609819
2015-06-18,0.006955311141005449
2015-06-19,-0.005235834131383843
2015-06-22,0.018926756047256132
2015-06-23,0.005385675069633722
2015-06-24,-0.008418070576417191
2015-06-25,-0.010694303622798551
2015-06-26,0.011033024679907966
2015-06-29,-0.037808613812977954
2015-06-30,0.0026345209537150804
2015-07-01,0.016682010003932435
2015-07-02,-0.009102706494727664
2015-07-06,-0.007485554445672116
2015-07-07,-0.005828208507594024
2015-07-08,-0.024597921204971174
2015-07-09,0.010134729570605572
2015-07-10,0.019131603031906197
2015-07-13,0.014309187190820305
2015-07-14,0.0015796919134507537
2015-07-15,-0.0007889327295689252
2015-07-16,0.00958528395550129
2015-07-17,-0.008600543545439154
2015-07-20,-0.001239089311248831
2015-07-21,0.0006769051314161612
2015-07-22,0.00045063215914153965
2015-07-23,-0.004281770619621095
2015-07-24,-0.005883831741981593
2015-07-27,-0.009334740902337879
2015-07-28,0.011145615397396558
2015-07-29,0.01772745735392589
2015-07-30,0.0012282187559291557
2015-07-31,-0.014609109513788354
2015-08-03,0.008827513863252756
2015-08-04,0.007853022678439459
2015-08-05,0.00022231784751114425
2015-08-06,0.008902757166350694
2015-08-07,-0.013787877732428067
2015-08-10,0.025389095618800095
2015-08-11,-0.024323772585415293
2015-08-12,-0.010844140886535736
2015-08-13,0.008928208115975611
2015-08-14,0.009297997886791531
2015-08-17,-0.008768071795879573
2015-08-18,-0.002015774749232535
2015-08-19,-0.016043944735595894
2015-08-20,-0.032040800957435
2015-08-21,-0.0419882057547023
2015-08-24,-0.060170681630641654
2015-08-25,-0.022263147823446627
2015-08-26,0.043653891096327335
2015-08-27,0.0472502093580196
2015-08-28,0.0009862283557995344
2015-08-31,-0.00615749322058512
2015-09-01,-0.04436180520381705
