Date,HCA
2015-01-05,-0.029201181203683313
2015-01-06,-0.0016711234896348293
2015-01-07,0.01813355261251015
2015-01-08,0.026578968988139273
2015-01-09,-0.0037367447697200795
2015-01-12,-0.03281964668156989
2015-01-13,-0.0008311048731978188
2015-01-14,-0.023288705511945285
2015-01-15,-0.005534721174052848
2015-01-16,-0.0032821068435990863
2015-01-20,-0.02835066822316379
2015-01-21,0.0207777256049817
2015-01-22,0.016313198868417977
2015-01-23,-0.025000090057961333
2015-01-26,0.06351999403129449
2015-01-27,-0.007944963511060665
2015-01-28,-0.012703879008997832
2015-01-29,0.009650193500435611
2015-01-30,-0.019254621432112762
2015-02-02,-0.008756982667328383
2015-02-03,-0.004132221771233291
2015-02-04,-0.01330667830629384
2015-02-05,-0.0015951035091209542
2015-02-06,-0.012635839327498566
2015-02-09,-0.010591946948144582
2015-02-10,0.026018701637366304
2015-02-11,-0.0005794449491142162
2015-02-12,0.0007247261252856241
2015-02-13,-0.00695446575576919
2015-02-17,0.01138011987529075
2015-02-18,-0.0046162459379490706
2015-02-19,0.008695661452644776
2015-02-20,0.0027299721819289413
2015-02-23,0.015331722346898058
2015-02-24,-0.006350412154517482
2015-02-25,0.008095465047728512
2015-02-26,0.018173865638906106
2015-02-27,-0.010100796284421065
2015-03-02,0.006290164018596833
2015-03-03,-0.016669109867919363
2015-03-04,0.0584828138999447
2015-03-05,-0.02695814717027234
2015-03-06,-0.0012349099136247377
2015-03-09,-0.015517472842709323
2015-03-10,-0.02022603921966004
2015-03-11,0.021639732159703495
2015-03-12,0.009197872594382206
2015-03-13,-0.008561317134054724
2015-03-16,0.01866292858913776
2015-03-17,0.00027358639664898377
2015-03-18,0.02556024863834061
2015-03-19,0.005197931469035799
2015-03-20,0.008087898241996072
2015-03-23,0.021175906010155288
2015-03-24,-0.01468288430183462
2015-03-25,-0.011111485393624942
2015-03-26,0.005948859339663715
2015-03-27,-0.0003946323125496587
2015-03-30,0.001314705701112473
2015-03-31,-0.012340611267415591
2015-04-01,-0.005051119064826359
2015-04-02,0.002671830646638451
2015-04-06,0.01199185347948295
2015-04-07,-0.003028223530160634
2015-04-08,0.013734841117702734
2015-04-09,0.014199928487728553
2015-04-10,0.005009750171364846
2015-04-13,-0.010608205821945105
2015-04-14,-0.0009045215615683944
2015-04-15,0.02456721044918808
2015-04-16,-0.018046577394256857
2015-04-17,0.0029558351091054647
2015-04-20,0.006663263263053443
2015-04-21,-0.011201459871952979
2015-04-22,-0.00193102687114044
2015-04-23,-0.0011607944599261177
2015-04-24,0.0038738115654244343
2015-04-27,-0.017494319305290995
2015-04-28,-0.005629807314347479
2015-04-29,0.0014482995513460661
2015-04-30,-0.026952266522483614
2015-05-01,0.0066207575012298125
2015-05-04,0.012617677860162324
2015-05-05,-0.02425779846628362
2015-05-06,0.01209063480639383
2015-05-07,0.028053705675583185
2015-05-08,0.004047542117392
2015-05-11,0.009492964929486591
2015-05-12,-0.014427430992668189
2015-05-13,0.01594523871666964
2015-05-14,0.017239354237518878
2015-05-15,0.009738163289060076
2015-05-18,0.014529128444926265
2015-05-19,0.01876552511565399
2015-05-20,-0.004604991445507967
