Date,DVN
2015-01-05,-0.037073343781211965
2015-01-06,-0.02044306347325553
2015-01-07,0.004695459911357336
2015-01-08,0.03548570544392793
2015-01-09,0.009862939617876654
2015-01-12,-0.02118815568709398
2015-01-13,-0.004059495894039866
2015-01-14,-0.006622278461050346
2015-01-15,-0.010940017290919757
2015-01-16,0.04908403931301497
2015-01-20,-0.017463104965052767
2015-01-21,0.03286368875452972
2015-01-22,-0.005681755975163405
2015-01-23,-0.01779592355416304
2015-01-26,0.02593101724568858
2015-01-27,0.006156604794302245
2015-01-28,-0.05909784684561348
2015-01-29,0.004962925883081892
2015-01-30,0.02639652878915255
2015-02-02,0.04264149351256852
2015-02-03,0.019573479677720496
2015-02-04,-0.0010928362024381633
2015-02-05,0.01562523753256362
2015-02-06,0.004153846245434911
2015-02-09,-0.008273326365210276
2015-02-10,-0.00849692175109995
2015-02-11,0.006543971049592701
2015-02-12,0.01826646099426843
2015-02-13,0.010489725580153042
2015-02-17,0.00270787718645904
2015-02-18,-0.04051012466969717
2015-02-19,0.007193007039311361
2015-02-20,-0.009159998729780572
2015-02-23,0.0020370206435762483
2015-02-24,0.01391688801112756
2015-02-25,0.009407711312017009
2015-02-26,-0.044308535887010225
2015-02-27,-0.01534768435206102
2015-03-02,-0.011852458065869986
2015-03-03,0.006408008320927916
2015-03-04,0.009959117851005228
2015-03-05,-0.01665021930265498
2015-03-06,-0.027125053492286333
2015-03-09,-0.019262914998083636
2015-03-10,-0.018091148268781443
2015-03-11,0.019206869926900794
2015-03-12,-0.011583482666175815
2015-03-13,0.009270644349308244
2015-03-16,0.018197726185784413
2015-03-17,-0.011915179096387396
2015-03-18,0.03772588319936232
2015-03-19,-0.032868314101582974
2015-03-20,0.006866008011649827
2015-03-23,-0.011762950492457236
2015-03-24,-0.0022426370532602213
2015-03-25,0.031120301345094914
2015-03-26,0.007042554469937512
2015-03-27,-0.015151623470063047
2015-03-30,0.02637356521713241
2015-03-31,-0.006588290252540263
2015-04-01,0.021057597856443566
2015-04-02,0.015751644474400583
2015-04-06,0.013749378020462055
2015-04-07,-0.0012619858050253452
2015-04-08,-0.004579120891538224
2015-04-09,0.030139638483612563
2015-04-10,-0.0012320839230975933
2015-04-13,-0.004316722244614102
2015-04-14,0.02446587187914706
2015-04-15,0.011940544392641028
2015-04-16,-0.005376976663398314
2015-04-17,-0.010061645080706727
2015-04-20,0.011377343766636017
2015-04-21,-0.020849103651447876
2015-04-22,0.008425100952040188
2015-04-23,0.0071399537125962365
2015-04-24,0.0030164861834123258
2015-04-27,0.0009023650307848907
2015-04-28,0.01382232860472965
2015-04-29,0.021783725900107465
2015-04-30,-0.010731988109100254
2015-05-01,0.005863956941426052
2015-05-04,0.006121576901778392
2015-05-05,-0.03447761098812763
2015-05-06,0.012453286033515143
2015-05-07,-0.014967480955473511
2015-05-08,0.021362928290861394
2015-05-11,-0.02106367086386529
2015-05-12,0.01670202042373159
2015-05-13,-0.023975432055949764
2015-05-14,-0.004093797937025023
2015-05-15,0.002740473213965533
2015-05-18,0.005770207721125686
2015-05-19,-0.022041343776618927
2015-05-20,0.016054356123259783
2015-05-21,0.02567578066946674
2015-05-22,-0.0005922234046396024
2015-05-26,-0.017488979487936818
2015-05-27,-0.0036208100207825167
2015-05-28,-0.010143906896813215
2015-05-29,-0.002447163496285598
2015-06-01,-0.011499372338727554
2015-06-02,0.005584241477352592
2015-06-03,-0.01419117494719413
2015-06-04,-0.012987278097105648
2015-06-05,0.011413978032488226
2015-06-08,-0.020376203948407223
2015-06-09,-0.006079446318995485
2015-06-10,0.027205077978751158
2015-06-11,-0.00991027371137676
2015-06-12,-0.017000363598944745
2015-06-15,-0.0038790730466425893
2015-06-16,0.013467364818256833
2015-06-17,-0.013128431753622216
2015-06-18,-0.003244697139951125
2015-06-19,-0.007649636610574162
2015-06-22,0.006232490767429821
2015-06-23,0.0013041927158825573
2015-06-24,-0.005534751459770781
2015-06-25,-0.011622331847252143
2015-06-26,0.0013247810809708938
2015-06-29,-0.027125074616495493
2015-06-30,0.011390906350666974
2015-07-01,-0.029585255529305576
2015-07-02,0.002425120405817438
2015-07-06,-0.020563227670141182
2015-07-07,0.01129134646169283
2015-07-08,-0.030879232555100167
2015-07-09,0.007020565120248179
2015-07-10,-0.0016088430192330305
2015-07-13,-0.008057177830472217
2015-07-14,0.013357609637348222
2015-07-15,-0.02315645907368502
2015-07-16,-0.00857066942242235
2015-07-17,-0.013426582624359584
2015-07-20,-0.03374324296277953
2015-07-21,0.004823377881808533
2015-07-22,-0.01804901713121876
2015-07-23,0.00039098214586363866
2015-07-24,-0.03440198609050604
2015-07-27,-0.011538254883354138
2015-07-28,0.02375580805596389
2015-07-29,0.023804749123858215
2015-07-30,-0.011136855001866008
2015-07-31,-0.0235135543970304
2015-08-03,-0.021448589289687292
2015-08-04,0.00785762893997033
2015-08-05,-0.036725662721094565
2015-08-06,0.028754039884843152
2015-08-07,-0.0391303143300733
2015-08-10,0.031674290486132683
2015-08-11,-0.01211346245960554
2015-08-12,0.01226199770852765
2015-08-13,-0.039056409838202355
2015-08-14,0.0010869164886029292
2015-08-17,0.007598964055803403
2015-08-18,-0.004094068451425459
2015-08-19,-0.03375144338855662
2015-08-20,-0.04142400238517885
2015-08-21,-0.04017751087025101
2015-08-24,-0.07325423310097878
2015-08-25,-0.038077544967418664
2015-08-26,0.049686157036687106
2015-08-27,0.06059791352409727
2015-08-28,0.03482154323864006
2015-08-31,0.01089992634227821
2015-09-01,-0.05461749065022137
2015-09-02,0.00967002997799038
