Date,IP
2015-01-05,-0.01577785804366194
2015-01-06,-0.013549562050125696
2015-01-07,-0.0017408779583496514
2015-01-08,0.03430195371440048
2015-01-09,-0.005808522407639516
2015-01-12,0.0028280248998495683
2015-01-13,0.0016906162786369805
2015-01-14,0.002063487732908209
2015-01-15,-0.0007488460131548358
2015-01-16,0.013303416549908187
2015-01-20,0.0027738741458773752
2015-01-21,0.006638397085138692
2015-01-22,0.010808125912163735
2015-01-23,-0.020116419539717434
2015-01-26,0.009802107713405617
2015-01-27,-0.015017965284451207
2015-01-28,-0.011529057897149975
2015-01-29,0.006584544095929568
2015-01-30,-0.01588495818823088
2015-02-02,0.0020885658074389912
2015-02-03,0.018192052600984
2015-02-04,0.011725392593352923
2015-02-05,0.011221794608516023
2015-02-06,-0.008914139110604347
2015-02-09,-0.004955922365193155
2015-02-10,0.024718956399117697
2015-02-11,0.006527252078553092
2015-02-12,0.030264956112310504
2015-02-13,0.002098068432154765
2015-02-17,-0.0057580969505866
2015-02-18,0.004913936489596038
2015-02-19,-0.007334916028236327
2015-02-20,0.013195042933565881
2015-02-23,-0.003125676350136719
2015-02-24,-0.011321947037138624
2015-02-25,0.0008811285549787939
2015-02-26,-0.0008803528509433445
2015-02-27,-0.006166255374670415
2015-03-02,0.010104453242372635
2015-03-03,-0.006142338703952643
2015-03-04,-0.006886865112143314
2015-03-05,-0.011913215915475783
2015-03-06,-0.006838165980703748
2015-03-09,-0.0025367120229754514
2015-03-10,-0.013805969685285469
2015-03-11,-0.0046045948060876585
2015-03-12,0.015174069285021075
2015-03-13,-0.003098821894136905
2015-03-16,0.002559676089921803
2015-03-17,-0.0018236072012736138
2015-03-18,0.007308096381596796
2015-03-19,-0.015961843551109745
2015-03-20,0.02009221482594903
2015-03-23,-0.012287438325544908
2015-03-24,-0.0010981588477779747
2015-03-25,-0.012820505514667069
2015-03-26,0.00575155472543476
2015-03-27,0.0038739703811385695
2015-03-30,0.014516494946270164
2015-03-31,0.005071812162385392
2015-04-01,-0.010632518919675427
2015-04-02,-0.004189468577568856
2015-04-06,-0.006585358274564412
2015-04-07,-0.006260180412725469
2015-04-08,0.00963471536882432
2015-04-09,0.0
2015-04-10,0.032850113441845075
2015-04-13,-0.011726735160524138
2015-04-14,-0.011147159194017653
2015-04-15,-0.004909017757456446
2015-04-16,-0.0010961860321272443
2015-04-17,-0.011341203740433459
2015-04-20,0.011101271252884848
2015-04-21,-0.038975380272676996
2015-04-22,0.009901069871003143
2015-04-23,-0.0030167326414390905
2015-04-24,0.014939018542208915
2015-04-27,-0.006521042193376125
2015-04-28,0.0026256781708435817
2015-04-29,-0.007294885048232724
2015-04-30,0.012247837518487126
2015-05-01,0.00577047781154838
2015-05-04,-0.005367202649820935
2015-05-05,-0.05191653539368235
2015-05-06,0.016878939913951507
2015-05-07,0.003667336372281449
2015-05-08,0.009423274401169524
2015-05-11,0.007048425769776712
2015-05-12,-0.013998951560469042
2015-05-13,0.008442305934686978
2015-05-14,0.020166998092898236
2015-05-15,-0.006526890172422917
2015-05-18,0.006569770341902537
2015-05-19,0.0
2015-05-20,-0.007086503693251922
2015-05-21,0.004920286703479215
2015-05-22,0.0
2015-05-26,-0.010922462357643492
2015-05-27,0.007425397649306165
2015-05-28,-0.003780116823632662
2015-05-29,-0.016695203623578347
2015-06-01,-0.00019232462681095797
2015-06-02,-0.012543789383330783
2015-06-03,0.0013684040660941754
2015-06-04,-0.001756877704328752
2015-06-05,0.000391030601993414
2015-06-08,-0.012507243338391705
2015-06-09,-0.0033642059584133577
2015-06-10,0.010722709004893805
2015-06-11,0.012770092470008043
2015-06-12,-0.007759568046279197
2015-06-15,-0.011339102619482455
2015-06-16,-0.0005932425551112841
2015-06-17,0.007518825475581581
2015-06-18,0.002356598846704472
2015-06-19,0.0019590640320501507
2015-06-22,-0.028744651261623844
2015-06-23,-0.007448903146789032
2015-06-24,-0.004259611294496812
2015-06-25,-0.014667009460311964
2015-06-26,-0.002481090962439536
2015-06-29,-0.011398985882133283
2015-06-30,-0.0023056698697664357
2015-07-01,0.020172357709439037
2015-07-02,-0.012152550631864267
2015-07-06,-0.006046589042943751
2015-07-07,0.0069222017029737515
2015-07-08,-0.02458289945337877
2015-07-09,-0.004699526261528919
2015-07-10,0.007296781919842399
2015-07-13,0.018320987329447425
2015-07-14,-0.0010460563250165311
2015-07-15,-0.01109953645170525
2015-07-16,0.018848013052155776
2015-07-17,-0.009768877350632477
2015-07-20,0.02120088158102762
2015-07-21,-0.011511356701051856
2015-07-22,0.014971745009198845
2015-07-23,-0.0040974541817757615
2015-07-24,-0.017691765613343846
2015-07-27,-0.008167679823018914
2015-07-28,0.02892752905761009
2015-07-29,-0.035707097706677904
2015-07-30,0.010215167001439429
2015-07-31,0.008426495393282885
2015-08-03,-0.011072032396835407
2015-08-04,0.001479048605278921
2015-08-05,0.008015411391759875
2015-08-06,-0.010881206069479288
2015-08-07,0.005711854780367842
2015-08-10,0.009465669660905895
2015-08-11,-0.015003070341020552
2015-08-12,0.005973491882586446
2015-08-13,-0.005938280920177341
2015-08-14,0.009387711532509169
2015-08-17,0.017966676935582848
2015-08-18,-0.011627676322478186
2015-08-19,-0.012185031439525762
2015-08-20,-0.021267545559032208
2015-08-21,-0.03715777449897062
2015-08-24,-0.05190728182108406
2015-08-25,-0.03165928218299863
2015-08-26,0.03269436222239053
2015-08-27,0.02713646511241441
2015-08-28,0.013441875013482374
2015-08-31,-0.013492057601625751
2015-09-01,-0.03361161849109939
2015-09-02,0.006956012991471194
2015-09-03,0.004049841532855369
2015-09-04,-0.010676279378855291
2015-09-08,0.029736318512803672
2015-09-09,-0.02212394271027973
2015-09-10,-0.004048292792555586
