Date,STT
2015-01-05,-0.01659177943949619
2015-01-06,-0.02855328351662334
2015-01-07,0.009352180150821399
2015-01-08,0.02117788469010473
2015-01-09,-0.01451690622741486
2015-01-12,-0.00868114040427026
2015-01-13,-0.0023881077018488295
2015-01-14,-0.024471366887522383
2015-01-15,-0.007770659205215358
2015-01-16,0.012091052026673266
2015-01-20,-0.006244950140061878
2015-01-21,0.021038654499155873
2015-01-22,0.03144163235753661
2015-01-23,-0.060837578340193765
2015-01-26,0.012154866843856027
2015-01-27,-0.010098586565717715
2015-01-28,-0.017369625236553943
2015-01-29,0.0072951531829617
2015-01-30,-0.004038884609726567
2015-02-02,0.02055645289390129
2015-02-03,0.02247167431748598
2015-02-04,-0.011390836799184179
2015-02-05,0.012471414686268334
2015-02-06,0.019145778793563828
2015-02-09,0.00052567021779093
2015-02-10,0.01457402026380028
2015-02-11,-0.0036234088743687387
2015-02-12,0.005195378208096901
2015-02-13,-0.005944025613395909
2015-02-17,0.004419559752150581
2015-02-18,-0.013200075291956215
2015-02-19,0.003803171863009158
2015-02-20,0.014240675398082159
2015-02-23,-0.00682725179391519
2015-02-24,0.014397003717542933
2015-02-25,-0.016622064483803323
2015-02-26,-0.027304594752287192
2015-02-27,-0.004812036129680286
2015-03-02,0.015043784476353794
2015-03-03,-0.002646939886996713
2015-03-04,-0.0031838500872282127
2015-03-05,-0.006122895373628867
2015-03-06,-0.024909856855989565
2015-03-09,0.010438212674753089
2015-03-10,-0.030311039764313152
2015-03-11,0.015138639669247
2015-03-12,0.01726023872590221
2015-03-13,-0.003529312139628038
2015-03-16,0.020297373147763587
2015-03-17,0.00881177012895673
2015-03-18,-0.00569077539415952
2015-03-19,-0.003993186726224951
2015-03-20,0.018842389796395853
2015-03-23,-0.008787672201981622
2015-03-24,-0.010851021370753
2015-03-25,-0.019799238211874792
2015-03-26,0.005186233828815112
2015-03-27,-0.002443878208816197
2015-03-30,0.009703084542903806
2015-03-31,-0.004736961776455995
2015-04-01,-0.0010883536410857264
2015-04-02,0.007079998983834823
2015-04-06,0.009192747254197497
2015-04-07,0.007367480799414627
2015-04-08,0.007712836228897846
2015-04-09,0.005806137186101568
2015-04-10,0.0017058577700310718
2015-04-13,0.003929450488244557
2015-04-14,-0.003392441933352308
2015-04-15,0.0018329124492286741
2015-04-16,-0.0011762352513020602
2015-04-17,-0.009941963035024148
2015-04-20,0.007927668256871634
2015-04-21,0.005113014408301364
2015-04-22,0.016434106080200905
2015-04-23,0.0033361994010681073
2015-04-24,-0.023404557338411736
2015-04-27,0.0074644326346722245
2015-04-28,0.007149394838956047
2015-04-29,0.002194354157736722
2015-04-30,-0.006825449165391406
2015-05-01,0.0068723560824788255
2015-05-04,0.014037343343101583
2015-05-05,0.0001271394325048636
2015-05-06,-0.009397179387074739
2015-05-07,0.0020513119982721317
2015-05-08,0.007419791769987638
2015-05-11,-0.009270120679301774
2015-05-12,-0.0033322213764340747
2015-05-13,0.003086205639594386
2015-05-14,-0.00359002765460692
2015-05-15,0.001672803966424885
2015-05-18,0.010790183126423214
2015-05-19,0.005337305137093296
2015-05-20,-0.0020226604553235106
2015-05-21,-0.0006329760765438897
2015-05-22,-0.00354888299080236
2015-05-26,-0.012846520584730459
2015-05-27,0.011080873553793946
2015-05-28,0.008283557927661
2015-05-29,-0.015040348486930144
2015-06-01,-0.006288059967035964
2015-06-02,-0.003744737788912822
2015-06-03,0.015554029427443439
2015-06-04,-0.013018176310621854
2015-06-05,0.015388626006846984
2015-06-08,0.003438173516454812
2015-06-09,0.004569341352126166
2015-06-10,0.01933030922674983
2015-06-11,0.001983237355971834
2015-06-12,-0.002473841145612221
2015-06-15,-0.01016882299045263
2015-06-16,0.00025071098475915043
2015-06-17,-0.0043837316108575886
2015-06-18,0.005283652784949355
2015-06-19,-0.012013891151116396
2015-06-22,0.007219623765305494
2015-06-23,0.004779371498357943
2015-06-24,-0.0017524555376449147
2015-06-25,-0.013791444324774194
2015-06-26,0.004068204672967202
2015-06-29,-0.02988315154661303
2015-06-30,0.009306546832436924
2015-07-01,0.005584550029592128
2015-07-02,-0.00542401759515454
2015-07-06,-0.005064304153013399
2015-07-07,0.00013016084444661402
2015-07-08,-0.026491023043398676
2015-07-09,0.0046916777737491255
2015-07-10,0.013609109753782933
2015-07-13,0.016454099617797757
2015-07-14,0.0041439950259734015
2015-07-15,0.005803217097720248
2015-07-16,0.01679712024144764
2015-07-17,0.0010086496173387083
2015-07-20,0.0052914139186550635
2015-07-21,0.0018794313036012422
2015-07-22,0.010881975165430324
2015-07-23,-0.013734372379972104
2015-07-24,-0.05432194360076403
2015-07-27,-0.007296222454396206
2015-07-28,0.01790701083764734
2015-07-29,0.0032822192840169517
2015-07-30,0.009552779162838476
2015-07-31,-0.007647535284555973
2015-08-03,0.008228977009924865
2015-08-04,0.012436683951443372
2015-08-05,-0.0006398768700187629
2015-08-06,0.003201043956211347
2015-08-07,0.0020420174620794374
2015-08-10,0.012992138804284403
2015-08-11,-0.013831049546137786
2015-08-12,-0.015555561866788747
2015-08-13,0.00440345481059401
2015-08-14,0.011863249789262564
2015-08-17,-0.00433300697936434
2015-08-18,0.003199945468875587
2015-08-19,-0.005486290764174395
2015-08-20,-0.02604197954893772
2015-08-21,-0.026870458918648255
2015-08-24,-0.05982642437039831
2015-08-25,-0.019724111693439905
2015-08-26,0.03936011074977652
2015-08-27,0.030662742169108803
2015-08-28,0.00233061890494235
2015-08-31,-0.016276952201842332
2015-09-01,-0.031145652242160038
2015-09-02,0.016360383530493072
