Date,AKAM
2015-01-05,-0.020711484162703853
2015-01-06,-0.02050372111593879
2015-01-07,-0.008406104119420443
2015-01-08,0.02343749752307822
2015-01-09,-0.01283093908466848
2015-01-12,-0.0004935633415493745
2015-01-13,0.000658451284400785
2015-01-14,-0.01776610980077853
2015-01-15,-0.018087389598340664
2015-01-16,0.010063110043311063
2015-01-20,0.007261065456132698
2015-01-21,0.010393946622378136
2015-01-22,0.006139023213448613
2015-01-23,0.006266508442282381
2015-01-26,0.002458172895057009
2015-01-27,-0.014386092525088934
2015-01-28,-0.021562435185263684
2015-01-29,0.016273928753304023
2015-01-30,-0.029858230070847758
2015-02-02,0.0056740342489765005
2015-02-03,0.02786796386805457
2015-02-04,-0.0028276475709508864
2015-02-05,0.009007521412095931
2015-02-06,0.010580250816495829
2015-02-09,-0.0027809910137764904
2015-02-10,0.020505249651789903
2015-02-11,0.024754877643322848
2015-02-12,0.06023523667279407
2015-02-13,0.017458209337322783
2015-02-17,0.023120605567827468
2015-02-18,-0.0009948791105314214
2015-02-19,0.01806795598982358
2015-02-20,0.0008385297657276247
2015-02-23,-0.01926842823080399
2015-02-24,-0.0017083587818471635
2015-02-25,-0.009555130805703027
2015-02-26,0.0015838821480949061
2015-02-27,-0.0007187381270559179
2015-03-02,0.023305928174373047
2015-03-03,-0.017854585858364858
2015-03-04,0.017034102934575746
2015-03-05,0.0005628892950739761
2015-03-06,-0.015895306113775765
2015-03-09,-0.005145806390261409
2015-03-10,-0.005747148486326958
2015-03-11,0.016763059440262573
2015-03-12,0.009380273265912065
2015-03-13,-0.00295690079412525
2015-03-16,0.017935380825427005
2015-03-17,-0.0002775287451827202
2015-03-18,0.01137940220102629
2015-03-19,-0.0017837164972158703
2015-03-20,0.0016495222897874307
2015-03-23,0.0037051822820066693
2015-03-24,-0.0072463601821124435
2015-03-25,-0.02699351422665086
2015-03-26,0.005520161093069298
2015-03-27,0.0035191440987911715
2015-03-30,0.00855660825526372
2015-03-31,-0.011821953492103243
2015-04-01,-0.01041527742968551
2015-04-02,0.007538028697201993
2015-04-06,0.0011293313832640983
2015-04-07,0.0022561148652064933
2015-04-08,0.00998873193841776
2015-04-09,-0.007382626724305341
2015-04-10,0.0026662195666020683
2015-04-13,-0.0015395467466744472
2015-04-14,-0.0026632299097947287
2015-04-15,0.002670341643529195
2015-04-16,0.016120011002413115
2015-04-17,-0.008139003383603405
