Date,LW
2016-11-11,-0.014507215108567895
2016-11-14,0.010036929743369338
2016-11-15,0.007949838476680515
2016-11-16,0.04173498289056288
2016-11-17,0.025552154451071507
2016-11-18,0.005228867085437239
2016-11-21,-0.028763688565906387
2016-11-22,0.030245437279293075
2016-11-23,0.00978616557605494
2016-11-25,-0.013022145576293775
2016-11-28,0.004602431485733582
2016-11-29,0.013744697705252884
2016-11-30,0.008737565189840923
2016-12-01,-0.028972346588461928
2016-12-02,0.014764699653340818
2016-12-05,0.0200059719709913
2016-12-06,0.005051658950226301
2016-12-07,0.02749858321505516
2016-12-08,0.033956923293261054
2016-12-09,0.012524332645015956
2016-12-12,0.00962055644475468
2016-12-13,-0.0040840253846564645
2016-12-14,-0.03909163687754991
2016-12-15,-0.02190629970296276
2016-12-16,0.025596370033718285
2016-12-19,-0.022121804716456084
2016-12-20,0.013631177430282193
2016-12-21,0.0020028620077974235
2016-12-22,0.037407227988950575
2016-12-23,0.014312922337790468
2016-12-27,0.013297276654764989
2016-12-28,-0.002945755486687851
2016-12-29,0.014504570187204191
2016-12-30,0.0021180183796267738
2017-01-03,-0.009511280510753561
2017-01-04,-0.013603501188222289
2017-01-05,-0.009734927618975764
2017-01-06,0.005734336577006838
2017-01-09,0.0016292915705229394
2017-01-10,-0.0013553978958158464
2017-01-11,0.0013572374926575925
2017-01-12,0.0018975336509150509
2017-01-13,0.0070346503627753965
2017-01-17,-0.008866219445281098
2017-01-18,-0.006776989479079232
2017-01-19,0.008733711400267241
2017-01-20,0.004058375766726741
2017-01-23,-0.009161554877318179
2017-01-24,0.019580691976575748
2017-01-25,-0.021872524057197196
2017-01-26,-0.004166164402396588
2017-01-27,0.0030278481886518716
2017-01-30,0.009330487713325786
2017-01-31,0.015769027015420045
2017-02-01,0.010974667292463547
2017-02-02,0.017209073701567768
2017-02-03,0.012494007184559841
2017-02-06,0.008739992991754653
2017-02-07,0.004332024233594467
2017-02-08,-0.006343491361226583
2017-02-09,-0.002042784082098237
2017-02-10,0.004861859218834308
2017-02-13,0.004074342088787208
2017-02-14,0.005579487630794189
2017-02-15,-0.0005043034763145826
2017-02-16,0.006813157518303248
2017-02-17,-0.007017731935771376
2017-02-21,0.0
2017-02-22,0.005805290112211203
2017-02-23,-0.008782956292781585
2017-02-24,0.00202520002478912
2017-02-27,-0.0025263022207436814
2017-02-28,-0.007345625791230992
2017-03-01,0.019392409735172977
2017-03-02,0.0067588006953052115
2017-03-03,0.004475368177060179
2017-03-06,0.0004950476104623736
2017-03-07,0.007916630054953133
2017-03-08,-0.0004906000130925348
2017-03-09,0.006384832913207683
2017-03-10,0.010248864311353634
2017-03-13,0.00314013708470684
2017-03-14,0.016373645646420742
2017-03-15,0.003553393075782507
2017-03-16,-0.008734271270643745
2017-03-17,0.006191620519466978
2017-03-20,0.0054443275049487205
2017-03-21,0.00918040092374195
2017-03-22,-0.010029837768092853
2017-03-23,0.013430317194744301
2017-03-24,-0.00790490982699299
2017-03-27,0.0067961667304765605
2017-03-28,-0.0009311952198045592
2017-03-29,-0.006523641584245232
2017-03-30,-0.012898688970355954
2017-03-31,-0.0007128067372378366
2017-04-03,-0.0014261198543105147
2017-04-04,0.004523330886097243
2017-04-05,-0.010665741583067656
2017-04-06,0.033540528090952426
2017-04-07,-0.0034767904699406493
2017-04-10,-0.0053503111158262895
2017-04-11,0.0028066525247669727
2017-04-12,-0.016791281333359276
2017-04-13,-0.006878584283106726
2017-04-17,0.008598216271171522
2017-04-18,0.0035520149305035
2017-04-19,-0.004247270531058334
2017-04-20,0.009478331991866318
2017-04-21,-0.007980790052345643
2017-04-24,0.00970185906314236
2017-04-25,-0.004921320468272761
2017-04-26,-0.0007569649830870828
2017-04-27,0.009469128943180305
2017-04-28,-0.020872330620251844
2017-05-01,0.0011978791486690898
2017-05-02,-0.009809077012066236
2017-05-03,-0.011838471691246744
2017-05-04,0.008802258509710503
2017-05-05,0.007513039167449831
2017-05-08,0.0002405720740150663
2017-05-09,0.004088535965615314
2017-05-10,0.017245588677159196
2017-05-11,-0.006357294060689855
2017-05-12,0.0
2017-05-15,0.017298261835424933
2017-05-16,0.03587214611508327
2017-05-17,-0.006745841668328367
2017-05-18,-0.005207263006614338
2017-05-19,0.010013848442459006
2017-05-22,0.004506506818961364
2017-05-23,-0.008075455057167447
2017-05-24,0.028720254771182452
2017-05-25,0.0030775896788335366
2017-05-26,0.0006574065667006579
2017-05-30,0.011169693016975346
2017-05-31,0.005197832780897471
2017-06-01,0.01960787745880399
2017-06-02,0.0012680364725383697
2017-06-05,-0.014141176600109384
2017-06-06,-0.000856305995707185
2017-06-07,0.00514269736973505
2017-06-08,-0.008740282764257201
2017-06-09,-0.010107562553571148
2017-06-12,-0.013034806267370413
2017-06-13,0.012106392372058128
2017-06-14,-0.008481790707299708
2017-06-15,-0.005922600857572902
2017-06-16,-0.005516177721868631
2017-06-19,0.010650054106430051
2017-06-20,0.00395155556948934
2017-06-21,0.0019684685998684337
2017-06-22,-0.005019745857811508
2017-06-23,-0.0006580771823154752
2017-06-26,-0.004828983397501485
2017-06-27,-0.014336018159993635
2017-06-28,0.015216050233133327
2017-06-29,-0.027330817303759636
2017-06-30,-0.0020393533479780013
2017-07-03,-0.004087429953904542
2017-07-05,-0.01345189407402314
2017-07-06,-0.008550764233940522
2017-07-07,0.0046618759585792535
2017-07-10,-0.008352557733962707
2017-07-11,0.024567172656862146
2017-07-12,0.004795697824463652
2017-07-13,-0.005227477782782097
2017-07-14,-0.0027417629160447765
